frame,time,ball_center_y,ball_radius_px,ball_bottom_v,floor_v,left_support_v,right_support_v,floor_gap_px,floor_score,is_local_peak,is_bounce_turn,is_candidate,floor_contact_state
1,0.0,388.459,46.265,434.724,671.087,,,236.363,4.845461532121308e-122,1,0,0,0
2,0.041667,381.28,46.539,427.81899999999996,671.087,,,243.26800000000003,3.117021430840779e-129,0,0,0,0
3,0.083333,379.743,46.553,426.296,671.087,,,244.791,7.579739082439126e-131,0,0,0,0
4,0.125,383.106,45.554,428.65999999999997,671.087,,,242.42700000000002,2.4028132977180103e-128,0,0,0,0
5,0.166667,395.05,47.204,442.254,671.087,,,228.83299999999997,1.9581323891883757e-114,0,0,0,0
6,0.208333,417.918,48.281,466.199,671.087,,,204.88799999999998,6.975233720435811e-92,0,0,0,0
7,0.25,454.762,51.399,506.161,671.087,,,164.926,8.603578313127354e-60,0,0,0,0
8,0.291667,517.203,45.82,563.023,671.087,,,108.06399999999996,4.3844839685783886e-26,0,0,0,0
9,0.333333,582.494,45.684,628.178,671.087,,,42.90899999999999,0.00010044387893460563,0,0,0,0
10,0.375,599.5,46.22,645.72,671.087,,,25.366999999999962,0.04005813740330587,1,1,1,0
11,0.416667,557.0,44.654,601.654,671.087,,,69.43299999999999,3.39984070119404e-11,0,0,0,0
12,0.458333,515.5,45.213,560.713,671.087,,,110.37400000000002,3.517315761104596e-27,0,0,0,0
13,0.5,484.292,45.35,529.6419999999999,671.087,,,141.44500000000005,3.5977331505882603e-44,0,0,0,0
14,0.541667,458.856,45.746,504.602,671.087,,,166.485,6.497480898048869e-61,0,0,0,0
15,0.583333,438.0,45.256,483.256,671.087,,,187.83100000000002,2.4513266199507713e-77,0,0,0,0
16,0.625,423.168,46.477,469.645,671.087,,,201.442,7.657430292144013e-89,0,0,0,0
17,0.666667,413.418,46.884,460.302,671.087,,,210.78499999999997,3.317371974168103e-97,0,0,0,0
18,0.708333,414.977,45.717,460.69399999999996,671.087,,,210.39300000000003,7.573700423495063e-97,0,0,0,0
