frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
1,0.000000,2.591619,4.114283,0.219141,3.546353,6181,0.112914,0.1619,0.0000,mask
2,0.041667,2.628296,4.117893,0.194095,3.607754,6169,0.020979,0.0304,0.0000,mask
3,0.083333,2.686345,4.126425,0.195090,3.602344,6143,0.000000,-0.1126,0.0000,mask
4,0.125000,2.676255,4.127266,0.239149,3.487242,6072,0.047028,0.0661,0.0000,mask
5,0.166667,2.718340,4.149560,0.325235,3.265459,6203,0.022320,0.0315,0.0000,mask
6,0.208333,2.566809,4.100479,0.434648,2.984819,6427,0.265227,0.3431,0.0000,mask
7,0.250000,2.549854,4.092210,0.545602,2.701004,6495,0.363968,0.4857,0.0000,mask
8,0.291667,2.735650,4.212632,0.647074,2.442465,5838,0.319764,0.5014,0.0000,mask
9,0.333333,2.389802,3.975825,0.738335,2.211349,5661,0.510458,0.5945,0.0000,mask
10,0.375000,2.450179,4.015121,0.817544,2.011992,5675,0.513115,0.6380,0.0000,mask
11,0.416667,2.505569,4.060413,0.874208,1.870024,5135,0.585672,0.7299,0.0000,mask
12,0.458333,2.616973,4.160356,0.893567,1.821915,5789,0.468998,0.6485,0.0000,mask
13,0.500000,2.702589,4.195774,0.868544,1.885136,6027,0.366474,0.6261,0.1742,mask
14,0.541667,2.664127,4.189755,0.809302,2.033672,6105,0.337692,0.5279,0.0000,mask
15,0.583333,2.568336,4.106528,0.741646,2.201731,6099,0.253009,0.4134,0.0000,mask
16,0.625000,2.643582,4.151726,0.693876,2.317407,6183,0.148570,0.2579,0.0000,mask
17,0.666667,2.594687,4.110438,0.682321,2.340029,6153,0.265476,0.4141,0.0000,mask
18,0.708333,2.567428,4.086497,0.707386,2.270335,5972,0.317830,0.4691,0.0000,mask
19,0.750000,2.523622,4.051176,0.758456,2.137120,5957,0.349479,0.4991,0.0000,mask
20,0.791667,2.377143,3.929706,0.817363,1.986718,5658,0.497519,0.6724,0.0000,mask
21,0.833333,2.398933,3.940903,0.860080,1.877630,5675,0.557512,0.7402,0.0000,mask
22,0.875000,2.381083,3.920468,0.865413,1.859847,5362,0.730148,0.7813,0.0000,mask
23,0.916667,2.336501,3.879637,0.828567,1.943689,5268,0.638742,0.6857,0.0000,mask
24,0.958333,2.315491,3.863085,0.765472,2.090640,5980,0.610059,0.7421,0.0000,mask
25,1.000000,2.254732,3.821643,0.702744,2.237145,6415,0.572160,0.6668,0.0000,mask
26,1.041667,2.217185,3.798662,0.663382,2.327821,5870,0.548851,0.6442,0.0000,mask
27,1.083333,2.222477,3.843762,0.659123,2.333765,5895,0.454874,0.6258,0.1048,mask
28,1.125000,2.219887,3.863997,0.690458,2.253495,6099,0.419494,0.6314,0.1933,mask
29,1.166667,2.292533,3.881254,0.749145,2.107498,6307,0.394338,0.5509,0.1346,mask
30,1.208333,2.294221,3.869060,0.820890,1.931342,6605,0.321526,0.5105,0.2395,mask
31,1.250000,2.332729,3.869588,0.891390,1.760175,6569,0.423426,0.5958,0.1264,mask
32,1.291667,2.187604,3.759327,0.954580,1.608116,6748,0.436823,0.6392,0.1671,mask
33,1.333333,2.211956,3.708232,1.012540,1.468537,6669,0.466432,0.6199,0.0000,mask
34,1.375000,2.229917,3.763837,1.063981,1.342948,6169,0.590871,0.7478,0.1259,mask
35,1.416667,2.269568,3.749435,1.096989,1.259744,5654,0.583941,0.6443,0.0000,mask
36,1.458333,2.311262,3.790379,1.099647,1.248806,5947,0.635887,0.6971,0.0000,mask
37,1.500000,2.209749,3.690798,1.075516,1.303167,5792,0.630684,0.7733,0.0221,mask
38,1.541667,2.246493,3.766274,1.041124,1.383918,6414,0.616185,0.7946,0.1091,mask
39,1.583333,2.129838,3.695049,1.006885,1.465982,6322,0.531174,0.7595,0.2052,mask
40,1.625000,2.246908,3.752258,0.966123,1.565258,6227,0.628363,0.8108,0.0483,mask
41,1.666667,2.354852,3.846307,0.906809,1.710905,6249,0.514694,0.6522,0.0000,mask
