frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,0.301103,-0.084385,4.109968,0.284361,-0.018744,4.102343,0.331351,0.029206,4.063284,0.312679,0.070304,4.075530,0.317169,0.072163,4.096492,0.315388,0.065049,4.114958,0.311107,0.043887,4.132611,1,-0.314519,-0.087883,3.737025,-0.341386,-0.052093,3.684125,-0.247461,-0.005887,3.654223,-0.351973,-0.023583,3.581064,-0.386788,-0.010818,3.596555,-0.403031,-0.002222,3.626143,-0.402827,0.000263,3.669276
2,0.083333,1,0.301292,-0.084833,4.109005,0.283128,-0.019134,4.101013,0.329155,0.028765,4.061077,0.310875,0.069762,4.073176,0.315952,0.071623,4.093926,0.314651,0.064641,4.112389,0.310901,0.043753,4.130297,1,-0.310854,-0.086399,3.734311,-0.341778,-0.049364,3.685311,-0.249208,-0.005347,3.650539,-0.355573,-0.021151,3.582935,-0.388713,-0.007272,3.599390,-0.402318,0.002618,3.628772,-0.400887,0.005029,3.671533
3,0.125000,1,0.299479,-0.085761,4.103064,0.280775,-0.019807,4.098571,0.324768,0.027746,4.056690,0.307842,0.068733,4.068784,0.313603,0.070736,4.089203,0.312957,0.064074,4.107713,0.310039,0.043652,4.126132,1,-0.308436,-0.080847,3.731636,-0.341887,-0.041893,3.689195,-0.252323,-0.001003,3.647568,-0.359041,-0.012839,3.588304,-0.389780,0.002062,3.605631,-0.400081,0.012968,3.634326,-0.397424,0.015172,3.676543
4,0.166667,1,0.295135,-0.087188,4.102288,0.277742,-0.020568,4.095293,0.318821,0.026045,4.050133,0.304445,0.067366,4.062909,0.310566,0.069749,4.082966,0.310524,0.063550,4.101631,0.308458,0.043671,4.120763,1,-0.307291,-0.068678,3.740064,-0.340786,-0.026078,3.698469,-0.255935,0.011450,3.650212,-0.358840,0.007045,3.600582,-0.387429,0.022033,3.618470,-0.395270,0.032377,3.646128,-0.392042,0.033679,3.687656
5,0.208333,1,0.292257,-0.087728,4.100169,0.274627,-0.021192,4.091451,0.312658,0.023979,4.041857,0.301256,0.065975,4.056322,0.307433,0.068890,4.076014,0.307999,0.063099,4.094946,0.306680,0.043710,4.114822,1,-0.306722,-0.045080,3.753964,-0.337516,0.001030,3.715845,-0.258028,0.035464,3.662143,-0.353732,0.043314,3.624390,-0.380137,0.057508,3.643107,-0.386373,0.065328,3.669766,-0.383073,0.063828,3.709892
6,0.250000,1,0.290008,-0.088588,4.092365,0.271881,-0.021478,4.087482,0.307705,0.022326,4.033338,0.298506,0.064908,4.049958,0.304698,0.068301,4.069296,0.305954,0.062705,4.088577,0.305262,0.043661,4.109023,1,-0.302012,-0.010681,3.769780,-0.331307,0.038108,3.742117,-0.256179,0.071090,3.685643,-0.344182,0.094413,3.662474,-0.366790,0.107301,3.682049,-0.371690,0.110949,3.707642,-0.368654,0.104063,3.744745
7,0.291667,1,0.286990,-0.088650,4.089858,0.270041,-0.021191,4.083878,0.305118,0.021775,4.026453,0.296925,0.064377,4.044566,0.303176,0.068038,4.063592,0.305027,0.062467,4.083251,0.304710,0.043671,4.104009,1,-0.295230,0.034904,3.803383,-0.322340,0.078509,3.774487,-0.249820,0.112989,3.719401,-0.332230,0.150193,3.710754,-0.348882,0.161636,3.730581,-0.352454,0.160489,3.754764,-0.349449,0.146818,3.787321
8,0.333333,1,0.285261,-0.088581,4.085968,0.270090,-0.019895,4.081136,0.305825,0.022628,4.022459,0.298062,0.064658,4.040733,0.304220,0.068378,4.059479,0.306286,0.062792,4.079402,0.305800,0.044305,4.100267,1,-0.287782,0.067910,3.830977,-0.312327,0.113658,3.807002,-0.241134,0.152069,3.756562,-0.321203,0.197418,3.757631,-0.331843,0.207647,3.777349,-0.334333,0.202434,3.800215,-0.330310,0.183031,3.828557
9,0.375000,1,0.287803,-0.085921,4.081058,0.273185,-0.016934,4.080277,0.310389,0.025119,4.022125,0.303293,0.066428,4.039507,0.308950,0.070171,4.057996,0.310726,0.064591,4.077911,0.309401,0.046491,4.098797,1,-0.278099,0.089301,3.852461,-0.303927,0.137397,3.833698,-0.233804,0.179877,3.787643,-0.314389,0.227413,3.791766,-0.321496,0.236977,3.811364,-0.323238,0.229394,3.833807,-0.317258,0.207014,3.860224
10,0.416667,1,0.293711,-0.081021,4.084691,0.280027,-0.011704,4.082608,0.318806,0.029624,4.025872,0.312810,0.070653,4.042180,0.317476,0.074605,4.060535,0.318528,0.069039,4.080212,0.315949,0.051149,4.101144,1,-0.272389,0.098195,3.872549,-0.299517,0.147410,3.851030,-0.230831,0.192392,3.806114,-0.314127,0.238272,3.809311,-0.320472,0.247807,3.828565,-0.321353,0.239715,3.851543,-0.313232,0.217098,3.878441
