frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,514.076,390.355,514.076,390.353,-0.000096,-0.001530,0.001533
2,513.419,378.239,513.419,378.241,0.000133,0.001665,0.001671
3,514.522,375.839,514.522,375.839,-0.000065,-0.000361,0.000367
4,516.141,378.446,516.141,378.446,0.000093,0.000279,0.000294
5,519.269,393.824,519.269,393.824,-0.000053,-0.000194,0.000201
6,521.670,420.095,521.670,420.095,-0.000068,0.000297,0.000304
7,522.923,462.126,522.923,462.126,0.000018,-0.000355,0.000355
8,524.976,514.434,524.976,514.436,0.000237,0.001555,0.001573
9,529.148,583.961,529.148,583.962,-0.000332,0.000722,0.000794
10,528.421,601.546,528.421,622.944,0.000054,21.398220,21.398220
11,527.462,557.767,527.462,557.771,0.000287,0.004095,0.004105
12,529.070,517.332,529.070,517.332,-0.000449,-0.000360,0.000575
13,525.838,485.698,525.838,485.698,0.000317,-0.000076,0.000326
14,526.331,459.700,526.331,459.700,0.000006,-0.000017,0.000018
15,527.823,438.871,527.823,438.871,-0.000204,-0.000083,0.000220
16,527.348,423.359,527.348,423.359,0.000204,0.000090,0.000223
17,529.287,416.293,529.287,416.293,-0.000138,-0.000187,0.000232
18,530.680,417.553,530.680,417.553,0.000163,-0.000301,0.000342
19,533.560,433.814,533.560,433.815,-0.000190,0.001129,0.001145
20,534.040,482.778,534.040,482.777,0.000027,-0.000534,0.000534
21,535.175,540.956,535.175,540.957,0.000261,0.001271,0.001298
22,539.066,604.311,539.066,604.311,-0.000236,-0.000081,0.000250
23,538.213,600.868,538.213,621.905,-0.000052,21.036724,21.036724
24,533.800,545.411,533.800,545.415,0.000047,0.004286,0.004287
25,528.938,505.726,528.938,505.725,0.000067,-0.000736,0.000739
26,524.993,474.955,524.993,474.955,-0.000119,0.000035,0.000124
27,520.833,452.553,520.833,452.553,0.000124,-0.000081,0.000148
28,519.796,436.642,519.796,436.642,0.000043,0.000112,0.000120
29,520.589,428.366,520.589,428.366,-0.000136,-0.000132,0.000190
30,520.286,424.626,520.286,424.626,0.000067,-0.000194,0.000205
31,521.106,427.299,521.106,427.299,-0.000185,0.000384,0.000426
32,522.738,445.650,522.739,445.649,0.000722,-0.000636,0.000962
