frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-0.340199,0.082003,3.967606,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.076,390.355,46.265,514.076,390.353,44.418,434.771,668.476,0.001533,0,0,0
2,0.041667,-0.341387,0.049195,3.960811,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.419,378.239,46.539,513.419,378.241,44.494,422.735,668.476,0.001671,0,0,0
3,0.083333,-0.337832,0.042643,3.954016,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.522,375.839,46.553,514.522,375.839,44.571,420.409,668.476,0.000367,0,0,0
4,0.125000,-0.332900,0.049579,3.947221,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.141,378.446,45.554,516.141,378.446,44.647,423.094,668.476,0.000294,0,0,0
5,0.166667,-0.323935,0.090753,3.940427,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,47.204,519.269,393.824,44.724,438.548,668.476,0.000201,0,0,0
6,0.208333,-0.316945,0.160964,3.933632,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,48.281,521.670,420.095,44.801,464.897,668.476,0.000304,0,0,0
7,0.250000,-0.313047,0.273069,3.926837,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,51.399,522.923,462.126,44.879,507.005,668.476,0.000355,0,0,0
8,0.291667,-0.307025,0.412224,3.920042,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,45.820,524.976,514.436,44.957,559.392,668.476,0.001573,0,0,0
9,0.333333,-0.295377,0.596769,3.913248,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,45.684,529.148,583.962,45.035,628.997,668.476,0.000794,0,0,0
10,0.375000,-0.296797,0.699425,3.906453,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,46.220,528.421,622.944,45.113,668.057,668.476,21.398220,0,1,0
