frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_observed_side,handle_visible,handle_conf,handle_center_x,handle_center_y,handle_bbox_x1,handle_bbox_y1,handle_bbox_x2,handle_bbox_y2,handle_area_px,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,basketball,513.500,390.500,cotracker_box_center,1,513.500,390.500,cotracker_box_center,1,514.079,390.370,6050.0,470.000,347.000,558.000,435.000,88.000,88.000,514.500,434.000,507.000,522.000,46.265,89.963,86.607,1.000000,0.860273,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,1.000000,0.860273,1.000000,1.000000,470.000,390.355,1.000000,557.000,390.355,1.000000,514.076,347.000,1.000000,514.076,434.000,1.000000
2,0.041667,basketball,514.167,384.082,cotracker_box_center,1,514.167,384.082,cotracker_box_center,1,516.077,382.234,6038.5,472.000,337.000,560.000,426.000,88.000,89.000,516.500,425.000,510.000,523.000,46.539,89.037,87.260,0.988764,0.862031,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,1.000000,0.862031,1.000000,1.000000,471.747,383.992,1.000000,556.587,385.741,1.000000,513.784,339.994,1.000000,513.712,428.170,1.000000
3,0.083333,basketball,514.694,382.633,cotracker_tb_center,1,514.694,382.633,cotracker_tb_center,1,518.139,380.621,6013.0,474.000,335.000,562.000,424.000,88.000,89.000,516.500,423.000,506.000,527.000,46.553,88.515,87.333,0.988764,0.861791,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.750000,0.861791,0.861791,1.000000,473.509,383.851,1.000000,557.568,386.048,0.000000,514.595,339.131,1.000000,514.793,426.135,1.000000
4,0.125000,basketball,516.095,385.087,cotracker_tb_center,1,516.095,385.087,cotracker_tb_center,1,519.885,383.962,5945.5,476.000,338.000,564.000,428.000,88.000,90.000,519.500,427.000,512.000,527.000,45.554,87.851,86.755,0.977778,0.871266,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.500000,0.871266,0.871266,1.000000,475.193,386.840,0.000000,558.923,389.184,0.000000,515.667,342.199,1.000000,516.522,427.975,1.000000
5,0.166667,basketball,519.269,393.824,cotracker_center_fallback,1,519.269,393.824,cotracker_center_fallback,1,521.882,395.788,6076.5,478.000,348.000,565.000,442.000,87.000,94.000,527.000,441.000,519.000,535.000,47.204,89.604,85.949,0.925532,0.875538,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.875538,0.875538,1.000000,477.305,397.039,0.000000,560.819,398.016,0.000000,517.757,352.316,1.000000,520.525,438.400,0.000000
6,0.208333,basketball,521.670,420.095,cotracker_center_fallback,1,521.670,420.095,cotracker_center_fallback,1,524.211,418.564,6293.0,481.000,371.000,567.000,465.000,86.000,94.000,520.500,464.000,518.000,523.000,48.281,93.079,87.014,0.914894,0.855092,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.855092,0.855092,1.000000,479.215,417.465,0.000000,562.067,416.104,0.000000,522.149,371.656,1.000000,522.379,461.935,0.000000
7,0.250000,basketball,522.923,462.126,cotracker_center_fallback,1,522.923,462.126,cotracker_center_fallback,1,526.332,458.430,6358.5,483.000,406.000,568.000,506.000,85.000,100.000,521.500,505.000,518.000,525.000,51.399,97.803,83.426,0.850000,0.825173,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.825173,0.825173,0.000000,481.431,457.714,0.000000,561.810,451.830,0.000000,527.279,397.354,1.000000,522.556,501.367,0.000000
8,0.291667,basketball,524.976,514.434,cotracker_center_fallback,1,524.976,514.434,cotracker_center_fallback,1,527.981,518.212,5710.0,483.000,479.000,572.000,560.000,89.000,81.000,528.500,559.000,523.000,534.000,45.820,89.358,83.191,1.098765,0.865297,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.865297,0.865297,0.000000,484.793,508.808,0.000000,566.090,509.401,0.000000,533.625,415.547,0.000000,523.510,553.424,0.000000
9,0.333333,basketball,529.148,583.961,cotracker_center_fallback,1,529.148,583.961,cotracker_center_fallback,1,530.842,582.913,5534.0,491.000,540.000,572.000,625.000,81.000,85.000,531.500,624.000,524.000,539.000,45.684,87.463,81.513,0.952941,0.860338,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.860338,0.860338,0.000000,490.697,574.214,0.000000,567.863,578.722,0.000000,536.053,426.818,0.000000,527.550,626.642,0.000000
10,0.375000,basketball,528.421,601.546,cotracker_center_fallback,1,528.421,601.546,cotracker_center_fallback,1,531.676,602.486,5551.5,491.000,558.000,573.000,646.000,82.000,88.000,531.500,645.000,525.000,538.000,46.220,88.930,80.270,0.931818,0.872949,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.872949,0.872949,0.000000,491.991,592.161,0.000000,568.519,598.138,0.000000,534.294,443.320,0.000000,527.407,635.214,0.000000
