frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap
1,0.000000,-0.311055,0.074998,3.611203,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.500,390.500,,513.500,390.500,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,-0.053659,3.667256,513.500,390.500,509.777,349.742,0.034877,3.646080,3.611203,3.734974,3.611203,-0.021176
2,0.041667,-0.309415,0.059216,3.611203,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.167,384.082,,514.167,384.082,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,1,1,1,0,1,0,hand,right,right_hand,right_hand,-0.054241,3.663545,514.167,384.082,511.200,341.260,0.052342,3.663545,3.611203,3.731001,3.611203,0.000000
3,0.083333,-0.308244,0.055676,3.612668,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,514.694,382.633,,514.694,382.633,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,-0.050013,3.660486,514.694,382.633,507.509,341.863,0.072793,3.685461,3.612683,3.735680,3.612683,0.024974
4,0.125000,-0.304921,0.061737,3.614124,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.095,385.087,,516.095,385.087,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,-0.037309,3.669440,516.095,385.087,510.871,343.235,0.020017,3.634141,3.614162,3.746379,3.614162,-0.035299
5,0.166667,-0.297230,0.083272,3.615590,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.269,393.824,,519.269,393.824,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,-0.009671,3.685719,519.269,393.824,508.873,356.685,0.018247,3.633837,3.615642,3.748465,3.615642,-0.051882
6,0.208333,-0.291432,0.148006,3.616988,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.670,420.095,,521.670,420.095,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.032352,3.706092,521.670,420.095,515.026,376.270,-0.053594,3.563394,3.617121,3.737715,3.617121,-0.142698
7,0.250000,-0.288453,0.251617,3.618328,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.923,462.126,,522.923,462.126,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.089653,3.749129,522.923,462.126,523.392,409.313,-0.042657,3.575671,3.618601,3.710804,3.618601,-0.173458
8,0.291667,-0.283501,0.380635,3.619685,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.976,514.434,,524.976,514.434,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.131219,3.786225,524.976,514.434,521.169,479.862,2.437364,6.057049,3.620080,3.692898,3.620080,2.270823
9,0.333333,-0.273313,0.552192,3.620948,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.148,583.961,,529.148,583.961,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.158073,3.815989,529.148,583.961,549.484,619.154,-0.107549,3.513399,3.621560,3.675386,3.621560,-0.302590
10,0.375000,-0.275213,0.595782,3.622365,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.421,601.546,,528.421,601.546,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.168980,3.840481,528.421,601.546,552.493,637.307,0.008248,3.630613,3.623040,3.656406,3.623040,-0.209868
11,0.416667,-0.277695,0.488003,3.623875,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.462,557.767,,527.462,557.767,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.165606,3.852963,527.462,557.767,541.711,596.411,0.075393,3.699268,3.624519,3.630150,3.624519,-0.153694
12,0.458333,-0.273844,0.388394,3.625433,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.070,517.332,,529.070,517.332,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.148050,3.847499,529.070,517.332,528.789,474.359,1.796760,5.422193,3.625999,3.603279,3.625999,1.574694
13,0.500000,-0.281937,0.310426,3.626897,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.838,485.698,,525.838,485.698,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.114402,3.813038,525.838,485.698,524.665,441.239,3.841463,7.468360,3.627478,3.593601,3.627478,3.655322
14,0.541667,-0.280835,0.246323,3.628397,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.331,459.700,,526.331,459.700,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.071485,3.785596,526.331,459.700,521.964,414.938,3.813060,7.441457,3.628958,3.584943,3.628958,3.655861
15,0.583333,-0.277264,0.194943,3.629901,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.823,438.871,,527.823,438.871,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.038150,3.755041,527.823,438.871,521.931,395.060,2.160910,5.790811,3.630437,3.577366,3.630437,2.035770
16,0.625000,-0.278551,0.156666,3.631373,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.348,423.359,,527.348,423.359,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.020730,3.729562,527.348,423.359,524.084,379.730,0.550248,4.181621,3.631917,3.586881,3.631917,0.452059
17,0.666667,-0.273867,0.139250,3.632837,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,,529.287,416.293,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.020257,3.714808,529.287,416.293,526.704,371.573,0.008560,3.641397,3.633397,3.623405,3.633397,-0.073410
18,0.708333,-0.270528,0.142423,3.634274,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,,530.680,417.553,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.043412,3.699178,530.680,417.553,528.713,374.519,-0.016328,3.617946,3.634876,3.631064,3.634876,-0.081231
19,0.750000,-0.263503,0.182734,3.635675,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,,533.560,433.814,,,526.726,proxy_support,radius_free_proxy_observations,0.000000,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.088233,3.699030,533.560,433.814,530.408,390.480,-0.002018,3.633657,3.636356,3.615525,3.636356,-0.065373
