frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
1,0.000000,-0.309144,0.074537,3.589019,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,513.500,390.500,,513.500,390.500,,428.573,428.573,513.500,390.500,513.500,390.500,428.573,428.573,0.000113,0.513437,0.513437,0.000000,2.607849,0.981170,0.034877,1,1
2,0.041667,-0.307174,0.058787,3.585046,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,514.167,384.082,,514.167,384.082,,424.707,424.707,514.167,384.082,514.167,384.082,424.707,424.707,0.000124,0.606828,0.606828,0.000000,2.643286,0.941760,0.052342,1,1
3,0.083333,-0.306287,0.055322,3.589725,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,514.694,382.633,,514.694,382.633,,424.535,424.535,514.694,382.633,514.694,382.633,424.535,424.535,0.000074,0.598608,0.598608,0.000000,2.684907,0.904818,0.072793,1,1
4,0.125000,-0.303765,0.061503,3.600424,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,516.095,385.087,,516.095,385.087,,426.381,426.381,516.095,385.087,516.095,385.087,426.381,426.381,0.000213,0.581378,0.581378,0.000000,2.698723,0.901701,0.020017,1,1
5,0.166667,-0.296155,0.082971,3.602510,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,519.269,393.824,,519.269,393.824,,437.372,437.372,519.269,393.824,519.269,393.824,437.372,437.372,0.000261,0.545157,0.545157,0.000000,2.711986,0.890524,0.018247,1,1
6,0.208333,-0.289399,0.146974,3.591760,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,521.670,420.095,,521.670,420.095,,463.211,463.211,521.670,420.095,521.670,420.095,463.211,463.211,0.000062,0.520783,0.520783,0.000000,2.622873,0.968887,-0.053594,1,1
7,0.250000,-0.284189,0.247897,3.564849,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,522.923,462.126,,522.923,462.126,,503.996,503.996,522.923,462.126,522.923,462.126,503.996,503.996,0.000223,0.386406,0.386406,0.000000,2.627793,0.937056,-0.042657,0,1
8,0.291667,-0.277803,0.372989,3.546943,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,524.976,514.434,,524.976,514.435,,565.061,565.060,524.976,514.434,524.976,514.435,565.060,565.061,0.001416,0.466492,0.140367,0.000000,2.723716,0.823227,2.437364,0,1
9,0.333333,-0.266416,0.538182,3.529431,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,529.148,583.961,,529.144,583.939,,614.975,614.997,529.148,583.961,529.144,583.939,614.997,614.975,0.022730,1.000000,0.209921,1.000000,2.551272,0.978159,-0.107549,0,1
10,0.375000,-0.266709,0.577310,3.510451,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,528.421,601.546,,528.422,601.519,,628.374,628.401,528.421,601.546,528.422,601.519,628.401,628.374,0.027170,1.000000,0.279895,1.000000,2.509030,1.001421,0.008248,0,1
11,0.416667,-0.266982,0.469244,3.484195,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,527.462,557.767,,527.466,557.789,,598.150,598.128,527.462,557.767,527.466,557.789,598.128,598.150,0.021895,0.699737,0.209921,0.603810,2.516390,0.967805,0.075393,0,1
12,0.458333,-0.261147,0.370384,3.457324,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,529.070,517.332,,529.070,517.332,,560.717,560.717,529.070,517.332,529.070,517.332,560.717,560.717,0.000364,0.466492,0.143299,0.000000,2.570190,0.887134,1.796760,0,1
13,0.500000,-0.268002,0.295084,3.447646,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,525.838,485.698,,525.838,485.698,,527.331,527.331,525.838,485.698,525.838,485.698,527.331,527.331,0.000228,0.066978,0.066978,0.000000,2.663978,0.783668,3.841463,0,0
14,0.541667,-0.266175,0.233464,3.438988,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,526.331,459.700,,526.331,459.700,,502.057,502.057,526.331,459.700,526.331,459.700,502.057,502.057,0.000021,0.188678,0.188678,0.000000,2.674232,0.764756,3.813060,0,0
15,0.583333,-0.262103,0.184283,3.431411,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,527.823,438.871,,527.823,438.871,,481.433,481.433,527.823,438.871,527.823,438.871,481.433,481.433,0.000141,0.311755,0.311755,0.000000,2.632877,0.798534,2.160910,0,1
16,0.625000,-0.263942,0.148450,3.440926,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,527.348,423.359,,527.348,423.359,,467.068,467.068,527.348,423.359,527.348,423.359,467.068,467.068,0.000156,0.451578,0.451578,0.000000,2.636054,0.804872,0.550248,1,1
17,0.666667,-0.262153,0.133293,3.477450,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,529.287,416.293,,529.287,416.293,,459.044,459.044,529.287,416.293,529.287,416.293,459.044,459.044,0.000258,0.536550,0.536550,0.000000,2.633945,0.843505,0.008560,1,1
18,0.708333,-0.259424,0.136577,3.485109,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,530.680,417.553,,530.680,417.553,,458.190,458.190,530.680,417.553,530.680,417.553,458.190,458.190,0.000349,0.545689,0.545689,0.000000,2.613565,0.871544,-0.016328,1,1
19,0.750000,-0.251464,0.174387,3.469570,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,533.560,433.814,,533.560,433.815,,476.069,476.068,533.560,433.814,533.560,433.815,476.068,476.069,0.000724,0.535677,0.535677,0.000000,2.603126,0.866444,-0.002018,1,1
20,0.791667,-0.247695,0.287009,3.433054,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,534.040,482.778,,534.040,482.778,,517.999,517.999,534.040,482.778,534.040,482.778,517.999,517.999,0.000349,0.309594,0.309594,0.000000,2.504573,0.928481,-0.072256,0,1
21,0.833333,-0.243334,0.420063,3.409129,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,535.175,540.956,,535.175,540.957,,580.372,580.371,535.175,540.956,535.175,540.957,580.371,580.372,0.001210,0.086797,0.003853,0.234724,2.445397,0.963732,0.041338,0,0
22,0.875000,-0.233776,0.565772,3.401380,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,539.066,604.311,,539.063,604.282,,630.386,630.415,539.066,604.311,539.063,604.282,630.415,630.386,0.029484,1.000000,0.130094,1.000000,2.430783,0.970597,0.012039,0,1
23,0.916667,-0.236462,0.559516,3.411704,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,538.213,600.868,,538.212,600.850,,632.842,632.860,538.213,600.868,538.212,600.850,632.860,632.842,0.018169,1.000000,0.195141,1.000000,2.414422,0.997282,0.021368,0,1
24,0.958333,-0.248931,0.434603,3.442382,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,533.800,545.411,,533.800,545.412,,591.457,591.456,533.800,545.411,533.800,545.412,591.456,591.457,0.001477,0.867291,0.271645,0.426043,2.369664,1.072718,0.125020,0,1
25,1.000000,-0.264040,0.346450,3.491476,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,528.938,505.726,,528.938,505.726,,545.371,545.371,528.938,505.726,528.938,505.726,545.371,545.371,0.000176,0.650468,0.547946,0.000000,2.313867,1.177609,-0.038615,1,1
26,1.041667,-0.274915,0.274791,3.510583,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,524.993,474.955,,524.993,474.955,,515.235,515.235,524.993,474.955,524.993,474.955,515.235,515.235,0.000072,0.569777,0.569777,0.000000,2.263822,1.246761,-0.005201,1,1
27,1.083333,-0.284012,0.220583,3.500146,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,520.833,452.553,,520.833,452.553,,491.624,491.624,520.833,452.553,520.833,452.553,491.624,491.624,0.000092,0.461596,0.461596,0.000000,2.249813,1.250333,0.034359,1,1
28,1.125000,-0.284914,0.181661,3.480961,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,519.796,436.642,,519.796,436.642,,476.115,476.115,519.796,436.642,519.796,436.642,476.115,476.115,0.000088,0.474633,0.474633,0.000000,2.239419,1.241542,0.073357,1,1
29,1.166667,-0.281910,0.161401,3.467132,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,520.589,428.366,,520.589,428.366,,468.839,468.839,520.589,428.366,520.589,428.366,468.839,468.839,0.000162,0.495830,0.495830,0.000000,2.282833,1.184299,0.126605,1,1
30,1.208333,-0.281961,0.152212,3.458984,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,520.286,424.626,,520.286,424.626,,465.857,465.857,520.286,424.626,520.286,424.626,465.857,465.857,0.000190,0.529665,0.529665,0.000000,2.304464,1.154520,0.115378,1,1
31,1.250000,-0.279535,0.158229,3.452873,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,521.106,427.299,,521.106,427.299,,471.054,471.054,521.106,427.299,521.106,427.299,471.054,471.054,0.000352,0.548210,0.548210,0.000000,2.340408,1.112465,0.087785,1,1
32,1.291667,-0.274564,0.200546,3.438689,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,522.738,445.650,,522.738,445.650,,486.734,486.734,522.738,445.650,522.738,445.650,486.734,486.734,0.000607,0.523256,0.523256,0.000000,2.287791,1.150898,-0.001729,1,1
33,1.333333,-0.252960,0.266949,3.423928,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,531.500,474.500,,531.499,474.501,,521.778,521.777,531.500,474.500,531.499,474.501,521.777,521.778,0.001076,0.542660,0.542660,0.000000,2.252651,1.171277,0.036688,1,1
34,1.375000,-0.260273,0.400098,3.408780,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,527.866,532.374,,527.867,532.374,,578.594,578.594,527.866,532.374,527.867,532.374,578.594,578.594,0.000658,0.343181,0.215675,0.266611,2.242725,1.166055,0.026105,0,1
35,1.416667,-0.250647,0.548175,3.415259,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,532.221,595.727,,532.219,595.722,,626.351,626.356,532.221,595.727,532.219,595.722,626.356,626.351,0.005147,0.986871,0.154624,1.000000,2.270152,1.145107,0.070220,0,1
36,1.458333,-0.249245,0.606329,3.429363,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,533.267,619.694,,533.262,619.657,,637.293,637.330,533.267,619.694,533.262,619.657,637.330,637.293,0.037350,1.000000,0.205910,1.000000,2.295433,1.133930,0.069242,0,1
37,1.500000,-0.265659,0.500578,3.444891,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,526.743,573.378,,526.746,573.403,,609.977,609.952,526.743,573.378,526.746,573.403,609.952,609.977,0.025606,0.514772,0.168757,0.792738,2.241442,1.203449,-0.027936,0,1
38,1.541667,-0.277571,0.404837,3.467503,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,522.439,531.462,,522.439,531.462,,574.058,574.058,522.439,531.462,522.439,531.462,574.058,574.058,0.000137,0.471100,0.471100,0.250668,2.237014,1.230489,0.058664,1,1
39,1.583333,-0.281543,0.323487,3.498032,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,521.798,495.812,,521.798,495.812,,538.048,538.048,521.798,495.812,521.798,495.812,538.048,538.048,0.000145,0.540238,0.540238,0.000000,2.182564,1.315468,0.000894,1,1
40,1.625000,-0.292095,0.258704,3.504445,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,517.592,468.415,,517.592,468.415,,510.724,510.724,517.592,468.415,517.592,468.415,510.724,510.724,0.000059,0.541034,0.541034,0.000000,2.209113,1.295332,0.044904,1,1
41,1.666667,-0.305017,0.209482,3.500625,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,512.037,447.883,,512.037,447.883,,490.126,490.126,512.037,447.883,512.037,447.883,490.126,490.126,0.000171,0.512699,0.512699,0.000000,2.300989,1.199636,0.135583,1,1
42,1.708333,-0.308969,0.177734,3.499454,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,510.336,434.589,,510.336,434.589,,476.170,476.170,510.336,434.589,510.336,434.589,476.170,476.170,0.000171,0.483649,0.483649,0.000000,2.387519,1.111935,0.113495,1,1
43,1.750000,-0.314534,0.160414,3.499580,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,508.005,427.318,,508.005,427.318,,469.640,469.640,508.005,427.318,508.005,427.318,469.640,469.640,0.000174,0.450716,0.450716,0.000000,2.480786,1.018794,0.132893,1,1
44,1.791667,-0.310862,0.153905,3.502045,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,509.638,424.541,,509.638,424.541,,467.729,467.729,509.638,424.541,509.638,424.541,467.729,467.729,0.000118,0.464149,0.464149,0.000000,2.525476,0.976569,0.117810,1,1
45,1.833333,-0.297195,0.169727,3.505489,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,515.492,431.106,,515.492,431.106,,473.669,473.669,515.492,431.106,515.492,431.106,473.669,473.669,0.000122,0.490093,0.490093,0.000000,2.513274,0.992215,0.063792,1,1
46,1.875000,-0.283866,0.215866,3.504783,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,521.052,450.454,,521.052,450.454,,491.180,491.180,521.052,450.454,521.052,450.454,491.180,491.180,0.000074,0.528906,0.528906,0.000000,2.333458,1.171325,-0.099169,1,1
47,1.916667,-0.266725,0.298276,3.494165,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,527.895,485.366,,527.895,485.366,,525.581,525.581,527.895,485.366,527.895,485.366,525.581,525.581,0.000072,0.410996,0.410996,0.000000,2.202563,1.291602,-0.084889,0,1
48,1.958333,-0.244283,0.413535,3.476586,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,536.808,534.688,,536.808,534.689,,579.525,579.524,536.808,534.688,536.808,534.689,579.524,579.525,0.000551,0.093443,0.093443,0.221173,2.178587,1.297999,0.017989,0,0
49,2.000000,-0.214815,0.548807,3.462697,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,548.897,592.756,,548.892,592.761,,623.035,623.030,548.897,592.756,548.892,592.761,623.030,623.035,0.006850,0.751965,0.141377,1.000000,2.146826,1.315871,0.004284,0,1
50,2.041667,-0.198569,0.621961,3.448988,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,555.445,624.880,,555.448,624.836,,638.920,638.964,555.445,624.880,555.448,624.836,638.964,638.920,0.044572,1.000000,0.211090,1.000000,2.253222,1.195766,0.116312,0,1
