frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,514.076,390.355,1.000000,470.000,390.355,1.000000,557.000,390.355,1.000000,514.076,347.000,1.000000,514.076,434.000,1.000000
2,0.041667,513.419,378.239,1.000000,471.747,383.992,1.000000,556.587,385.741,1.000000,513.784,339.994,1.000000,513.712,428.170,1.000000
3,0.083333,514.522,375.839,1.000000,473.509,383.851,1.000000,557.568,386.048,0.000000,514.595,339.131,1.000000,514.793,426.135,1.000000
4,0.125000,516.141,378.446,1.000000,475.193,386.840,0.000000,558.923,389.184,0.000000,515.667,342.199,1.000000,516.522,427.975,1.000000
5,0.166667,519.269,393.824,1.000000,477.305,397.039,0.000000,560.819,398.016,0.000000,517.757,352.316,1.000000,520.525,438.400,0.000000
6,0.208333,521.670,420.095,1.000000,479.215,417.465,0.000000,562.067,416.104,0.000000,522.149,371.656,1.000000,522.379,461.935,0.000000
7,0.250000,522.923,462.126,0.000000,481.431,457.714,0.000000,561.810,451.830,0.000000,527.279,397.354,1.000000,522.556,501.367,0.000000
8,0.291667,524.976,514.434,0.000000,484.793,508.808,0.000000,566.090,509.401,0.000000,533.625,415.547,0.000000,523.510,553.424,0.000000
9,0.333333,529.148,583.961,0.000000,490.697,574.214,0.000000,567.863,578.722,0.000000,536.053,426.818,0.000000,527.550,626.642,0.000000
10,0.375000,528.421,601.546,0.000000,491.991,592.161,0.000000,568.519,598.138,0.000000,534.294,443.320,0.000000,527.407,635.214,0.000000
11,0.416667,527.462,557.767,0.000000,488.537,544.574,0.000000,567.104,548.456,0.000000,534.146,432.788,0.000000,526.137,591.070,0.000000
12,0.458333,529.070,517.332,0.000000,490.213,509.228,0.000000,565.973,513.060,0.000000,533.247,420.740,0.000000,525.785,551.873,0.000000
13,0.500000,525.838,485.698,0.000000,487.544,477.050,0.000000,564.417,479.105,0.000000,528.512,407.756,0.000000,523.564,520.379,0.000000
14,0.541667,526.331,459.700,0.000000,487.879,451.805,0.000000,564.292,452.617,0.000000,526.843,392.715,0.000000,524.502,495.509,0.000000
15,0.583333,527.823,438.871,0.000000,487.386,431.168,0.000000,565.577,433.233,0.000000,527.446,378.685,0.000000,525.126,474.873,0.000000
16,0.625000,527.348,423.359,0.000000,486.409,416.726,0.000000,565.330,417.590,0.000000,527.805,370.530,0.000000,525.446,461.324,0.000000
17,0.666667,529.287,416.293,0.000000,487.827,409.523,0.000000,567.477,411.288,0.000000,530.563,370.200,1.000000,527.759,453.518,0.000000
18,0.708333,530.680,417.553,0.000000,489.466,410.288,0.000000,567.942,413.471,0.000000,532.801,374.228,0.000000,528.749,454.033,0.000000
19,0.750000,533.560,433.814,0.000000,492.793,426.680,0.000000,570.086,429.039,0.000000,538.875,391.953,0.000000,529.003,472.306,0.000000
20,0.791667,534.040,482.778,0.000000,496.321,474.910,0.000000,571.138,479.422,0.000000,538.593,435.654,0.000000,531.007,513.813,0.000000
21,0.833333,535.175,540.956,0.000000,500.724,530.784,0.000000,575.030,536.352,0.000000,538.622,460.416,0.000000,535.815,569.194,0.000000
22,0.875000,539.066,604.311,0.000000,503.073,593.741,0.000000,575.909,598.988,0.000000,543.093,460.583,0.000000,540.915,634.052,0.000000
23,0.916667,538.213,600.868,0.000000,502.928,591.594,0.000000,574.523,588.997,0.000000,541.697,461.600,0.000000,541.453,630.027,0.000000
24,0.958333,533.800,545.411,0.000000,498.293,536.123,0.000000,572.468,535.333,0.000000,538.111,456.652,0.000000,535.547,576.576,0.000000
25,1.000000,528.938,505.726,0.000000,492.237,496.259,0.000000,567.783,498.766,0.000000,532.064,445.988,1.000000,530.789,541.533,0.000000
