frame,raw_state,effective_state,raw_visibility,effective_visibility,raw_part,effective_part,raw_handle_contact,effective_handle_contact,effective_constraint,effective_reason,changed
1,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
2,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
3,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
4,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
5,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
6,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
7,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
8,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
9,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
10,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
11,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
12,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
13,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
14,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
15,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
16,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
17,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
18,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
19,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
20,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
21,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
22,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
23,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
24,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
25,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
26,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
27,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
28,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
29,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
30,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
31,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
32,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
33,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
34,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
35,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
36,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
