frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale
1,0.0,0.007869070,-0.043890456,4.014058441,-0.04045340954802956,-2.317809634016321,-0.017141272773698,-0.9821225854154016,-0.022598173141202212,-1.294779945696781,1.1397341839777082
2,0.041666666666666664,0.008037019,-0.039237004,4.017110515,-0.040503908978576586,-2.3207030382544795,-0.021920940535144432,-1.2559773756210242,-0.02227746309143684,-1.2764046133977947,1.1384507356755622
3,0.08333333333333333,0.008234678,-0.034312339,4.020057154,-0.04076960257521334,-2.3359261599854166,-0.02808303780712947,-1.609039542254845,-0.022104857538972303,-1.2665150437210526,1.136350582980327
4,0.125,0.008474600,-0.029061391,4.022389725,-0.04115067651214188,-2.357760088253857,-0.03586076125230282,-2.0546702698832284,-0.021430377111073533,-1.2278701618382752,1.130048481527949
5,0.16666666666666666,0.008777732,-0.023623949,4.023701625,-0.04176216317286752,-2.392795693141984,-0.046981868305705665,-2.6918627675563824,-0.021373615095496096,-1.2246179379090323,1.12483800883099
6,0.20833333333333334,0.009132631,-0.018200723,4.023679056,-0.04260927467892861,-2.4413316072162554,-0.05833775935441657,-3.3425073972579074,-0.020869489501627134,-1.1957336690358145,1.1159206648753632
7,0.25,0.009549573,-0.013046027,4.022194229,-0.04368942978414703,-2.50321993596478,-0.06886382828227784,-3.945606721688154,-0.020414904995424036,-1.1696878953983385,1.1086182034260634
8,0.2916666666666667,0.009999584,-0.008382811,4.019336911,-0.04521195602015027,-2.5904542634857046,-0.07514225495008872,-4.305334071736102,-0.01984286224452198,-1.136912260070597,1.0993865200622848
9,0.3333333333333333,0.010434633,-0.004398207,4.015461592,-0.047121803200997014,-2.699880446463182,-0.07866430180807243,-4.507132491945882,-0.01951818179430095,-1.1183094405825247,1.0921769224351783
10,0.375,0.010800225,-0.001250025,4.011092978,-0.049273170833507685,-2.823144731987095,-0.0801637314077392,-4.593043479683778,-0.01965587554442698,-1.126198711330075,1.0866277596971192
