frame,time,ball_center_x,ball_center_y,radius,mask_area
1,0.000000,645.760,342.064,21.095,1398.0
2,0.041667,646.575,345.087,20.905,1373.0
3,0.083333,647.226,348.693,21.042,1391.0
4,0.125000,647.512,352.120,20.974,1382.0
5,0.166667,647.760,356.006,21.298,1425.0
6,0.208333,648.078,358.896,21.506,1453.0
7,0.250000,647.878,361.360,21.829,1497.0
8,0.291667,648.662,363.173,21.727,1483.0
9,0.333333,648.814,364.613,21.756,1487.0
10,0.375000,647.969,365.354,22.040,1526.0
11,0.416667,648.068,365.675,21.989,1519.0
12,0.458333,648.851,365.913,21.609,1467.0
13,0.500000,648.949,365.907,21.558,1460.0
14,0.541667,649.020,365.872,21.543,1458.0
15,0.583333,648.245,365.646,21.982,1518.0
16,0.625000,648.842,365.442,21.646,1472.0
17,0.666667,648.458,364.763,21.668,1475.0
18,0.708333,647.741,362.587,21.887,1505.0
19,0.750000,645.774,359.289,22.097,1534.0
20,0.791667,644.113,354.219,21.916,1509.0
21,0.833333,642.475,348.959,22.018,1523.0
22,0.875000,640.847,342.039,21.543,1458.0
23,0.916667,637.516,334.771,21.602,1466.0
24,0.958333,633.962,327.118,21.268,1421.0
25,1.000000,630.484,319.092,21.253,1419.0
26,1.041667,626.179,310.708,21.200,1412.0
27,1.083333,621.681,301.826,21.320,1428.0
28,1.125000,615.964,292.883,20.966,1381.0
29,1.166667,611.357,283.330,21.193,1411.0
30,1.208333,604.915,273.866,21.756,1487.0
31,1.250000,599.640,264.478,21.675,1476.0
32,1.291667,593.675,255.019,21.771,1489.0
33,1.333333,586.353,245.833,21.982,1518.0
34,1.375000,581.289,236.566,22.255,1556.0
35,1.416667,575.290,228.197,22.575,1601.0
36,1.458333,569.943,219.195,22.834,1638.0
37,1.500000,562.994,210.430,22.476,1587.0
38,1.541667,556.662,202.180,22.369,1572.0
39,1.583333,550.501,194.647,22.398,1576.0
40,1.625000,544.641,188.229,22.897,1647.0
41,1.666667,539.072,181.836,22.973,1658.0
42,1.708333,534.204,175.275,22.862,1642.0
43,1.750000,529.816,169.130,22.771,1629.0
44,1.791667,524.843,163.967,22.708,1620.0
45,1.833333,519.985,159.265,22.412,1578.0
46,1.875000,515.744,155.029,22.596,1604.0
47,1.916667,511.804,150.925,22.931,1652.0
48,1.958333,508.076,147.355,23.507,1736.0
49,2.000000,505.047,143.171,23.330,1710.0
50,2.041667,501.632,140.092,22.848,1640.0
51,2.083333,499.003,137.022,23.392,1719.0
52,2.125000,496.504,134.596,23.358,1714.0
53,2.166667,494.280,132.238,23.541,1741.0
54,2.208333,492.439,130.073,23.588,1748.0
55,2.250000,491.006,128.029,23.602,1750.0
56,2.291667,489.720,126.078,23.419,1723.0
57,2.333333,488.605,124.417,23.466,1730.0
58,2.375000,487.744,122.532,23.500,1735.0
59,2.416667,486.889,121.319,23.602,1750.0
60,2.458333,486.428,120.118,23.534,1740.0
61,2.500000,485.616,118.306,23.337,1711.0
62,2.541667,484.982,117.160,23.446,1727.0
63,2.583333,484.748,116.257,23.676,1761.0
64,2.625000,484.428,115.126,23.843,1786.0
65,2.666667,484.156,113.764,24.612,1903.0
66,2.708333,484.121,111.455,23.830,1784.0
67,2.750000,484.313,108.797,23.385,1718.0
68,2.791667,484.317,106.730,23.146,1683.0
69,2.833333,484.504,104.922,23.118,1679.0
70,2.875000,484.545,103.435,23.042,1668.0
71,2.916667,484.342,101.996,22.834,1638.0
72,2.958333,484.059,100.799,22.771,1629.0
73,3.000000,483.801,99.584,22.680,1616.0
74,3.041667,483.568,98.614,22.638,1610.0
75,3.083333,482.806,97.949,22.813,1635.0
76,3.125000,483.040,97.083,22.518,1593.0
77,3.166667,482.577,96.330,22.841,1639.0
78,3.208333,482.464,95.865,22.862,1642.0
79,3.250000,482.928,95.553,22.638,1610.0
80,3.291667,482.986,95.385,22.624,1608.0
81,3.333333,483.086,95.395,22.659,1613.0
82,3.375000,483.495,95.816,22.680,1616.0
83,3.416667,484.020,96.604,22.701,1619.0
84,3.458333,484.396,98.192,23.166,1686.0
85,3.500000,485.448,100.046,22.820,1636.0
86,3.541667,486.185,102.340,22.890,1646.0
87,3.583333,487.068,105.014,23.324,1709.0
88,3.625000,488.372,108.147,23.371,1716.0
89,3.666667,489.086,111.253,23.642,1756.0
90,3.708333,490.477,114.360,23.716,1767.0
91,3.750000,491.934,117.433,23.262,1700.0
92,3.791667,493.861,120.825,23.187,1689.0
93,3.833333,496.689,125.484,23.642,1756.0
94,3.875000,500.185,129.654,23.910,1796.0
95,3.916667,504.333,135.203,23.595,1749.0
96,3.958333,509.397,141.356,23.221,1694.0
97,4.000000,514.152,149.277,23.180,1688.0
98,4.041667,519.918,156.580,22.771,1629.0
99,4.083333,525.517,165.367,23.139,1682.0
100,4.125000,531.983,175.335,22.869,1643.0
101,4.166667,537.835,185.907,23.730,1769.0
102,4.208333,546.132,195.524,22.848,1640.0
103,4.250000,552.764,206.283,22.248,1555.0
104,4.291667,560.724,217.771,22.778,1630.0
105,4.333333,568.276,228.030,22.198,1548.0
106,4.375000,576.101,239.952,23.118,1679.0
107,4.416667,583.156,250.372,22.911,1649.0
108,4.458333,589.496,260.814,22.298,1562.0
109,4.500000,595.912,271.088,21.996,1520.0
110,4.541667,602.052,281.222,22.198,1548.0
111,4.583333,608.374,290.323,22.054,1528.0
112,4.625000,613.236,299.138,21.887,1505.0
113,4.666667,617.828,306.890,22.083,1532.0
114,4.708333,622.488,314.614,21.499,1452.0
115,4.750000,625.715,321.137,22.104,1535.0
