frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
1,0.000000,left,handle:left:rigid_keyframe_contact_region,633.395,339.551,29.453296,29.453296,0.617583,0.617583,soft,1,1
2,0.041667,left,handle:left:rigid_keyframe_contact_region,633.422,346.660,31.295442,31.295442,0.580356,0.580356,soft,1,1
3,0.083333,left,handle:left:rigid_keyframe_contact_region,634.293,346.358,30.606624,30.606624,0.594268,0.594268,soft,1,1
4,0.125000,left,handle:left:rigid_keyframe_contact_region,634.300,354.415,32.756550,32.756550,0.550953,0.550953,soft,1,1
5,0.166667,left,handle:left:rigid_keyframe_contact_region,632.345,356.752,30.331787,30.331787,0.599823,0.599823,soft,1,1
6,0.208333,left,handle:left:rigid_keyframe_contact_region,636.049,362.252,34.437390,34.437390,0.934379,0.517445,soft,1,1
7,0.250000,left,handle:left:rigid_keyframe_contact_region,633.003,364.723,31.807376,31.807376,0.846270,0.570033,soft,1,1
8,0.291667,left,handle:left:rigid_keyframe_contact_region,633.046,365.309,30.392688,30.392688,0.821915,0.598592,soft,1,1
9,0.333333,left,handle:left:rigid_keyframe_contact_region,635.581,364.310,30.298953,30.298953,0.958503,0.600487,soft,1,1
10,0.375000,left,handle:left:rigid_keyframe_contact_region,633.202,367.257,28.986570,28.986570,0.627012,0.627012,soft,1,1
11,0.416667,left,handle:left:rigid_keyframe_contact_region,637.079,362.062,28.569662,28.569662,0.635427,0.635427,soft,1,1
12,0.458333,left,handle:left:rigid_keyframe_contact_region,638.084,367.351,31.423115,31.423115,0.577780,0.577780,soft,1,1
13,0.500000,left,handle:left:rigid_keyframe_contact_region,637.603,367.386,30.703137,30.703137,0.592317,0.592317,soft,1,1
14,0.541667,left,handle:left:rigid_keyframe_contact_region,637.618,367.370,30.545821,30.545821,0.595497,0.595497,soft,1,1
15,0.583333,left,handle:left:rigid_keyframe_contact_region,635.500,363.084,26.721402,26.721402,0.672546,0.672546,soft,1,1
16,0.625000,left,handle:left:rigid_keyframe_contact_region,633.934,365.297,26.794647,26.794647,0.891594,0.671083,soft,1,1
17,0.666667,left,handle:left:rigid_keyframe_contact_region,637.127,360.975,28.462330,28.462330,1.000000,0.637591,soft,1,1
18,0.708333,left,handle:left:rigid_keyframe_contact_region,632.112,363.917,26.704229,26.704229,1.000000,0.672889,soft,1,1
19,0.750000,left,handle:left:rigid_keyframe_contact_region,635.527,362.202,31.899271,31.899271,1.000000,0.568182,soft,1,1
20,0.791667,left,handle:left:rigid_keyframe_contact_region,628.401,354.543,25.144006,25.144006,1.000000,0.703819,strong,1,1
21,0.833333,left,handle:left:rigid_keyframe_contact_region,631.094,347.000,27.950079,27.950079,1.000000,0.647910,soft,1,1
22,0.875000,left,handle:left:rigid_keyframe_contact_region,629.675,337.001,27.029078,27.029078,1.000000,0.666395,soft,1,1
23,0.916667,left,handle:left:rigid_keyframe_contact_region,623.439,336.537,25.961413,25.961413,0.852606,0.687673,soft,1,1
