frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
1,1,64,0.000000,anchor_contact_event,left_hand,0.617583,soft,0.000000,0.617583,0.197965,0.000000,0.000000,0.000000
2,1,64,0.041667,anchor_contact_event,left_hand,0.580356,soft,0.000000,0.580356,0.094422,0.000000,0.000000,0.000000
3,1,64,0.083333,anchor_contact_event,left_hand,0.594268,soft,0.000000,0.594268,0.000000,0.000000,0.000000,0.000000
4,1,64,0.125000,anchor_contact_event,left_hand,0.550953,soft,0.000000,0.550953,0.000000,0.000000,0.000000,0.000000
5,1,64,0.166667,anchor_contact_event,left_hand,0.599823,soft,0.000000,0.599823,0.593275,0.000000,0.000000,0.000000
6,1,64,0.208333,anchor_contact_event,left_hand,0.517445,soft,0.000000,0.517445,0.934379,0.000000,0.000000,0.000000
7,1,64,0.250000,anchor_contact_event,left_hand,0.570033,soft,0.000000,0.570033,0.846270,0.000000,0.000000,0.000000
8,1,64,0.291667,anchor_contact_event,left_hand,0.598592,soft,0.000000,0.598592,0.821915,0.000000,0.000000,0.000000
9,1,64,0.333333,anchor_contact_event,left_hand,0.600487,soft,0.000000,0.600487,0.958503,0.000000,0.000000,0.000000
10,1,64,0.375000,anchor_contact_event,left_hand,0.627012,soft,0.000000,0.627012,0.490563,0.000000,0.000000,0.000000
11,1,64,0.416667,anchor_contact_event,left_hand,0.635427,soft,0.000000,0.635427,0.247891,0.000000,0.000000,0.000000
12,1,64,0.458333,anchor_contact_event,left_hand,0.577780,soft,0.000000,0.577780,0.036081,0.000000,0.000000,0.000000
13,1,64,0.500000,anchor_contact_event,left_hand,0.592317,soft,0.000000,0.592317,0.225012,0.000000,0.000000,0.000000
14,1,64,0.541667,anchor_contact_event,left_hand,0.595497,soft,0.000000,0.595497,0.000000,0.000000,0.000000,0.000000
15,1,64,0.583333,anchor_contact_event,left_hand,0.672546,soft,0.000000,0.672546,0.018544,0.000000,0.000000,0.000000
16,1,64,0.625000,anchor_contact_event,left_hand,0.671083,soft,0.000000,0.671083,0.891594,0.000000,0.000000,0.000000
17,1,64,0.666667,anchor_contact_event,left_hand,0.637591,soft,0.000000,0.637591,1.000000,0.000000,0.000000,0.000000
18,1,64,0.708333,anchor_contact_event,left_hand,0.672889,soft,0.000000,0.672889,1.000000,0.000000,0.000000,0.000000
