frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
16,left_hand,penetration,0.0441,0.0494,0.0480,0.22
17,left_hand,penetration,0.0405,0.0501,0.0480,0.39
18,left_hand,penetration,0.0387,0.0489,0.0480,0.44
21,left_hand,penetration,0.0466,0.0516,0.0480,0.24
22,left_hand,penetration,0.0429,0.0490,0.0480,0.30
23,left_hand,penetration,0.0402,0.0492,0.0480,0.43
24,left_hand,penetration,0.0364,0.0490,0.0480,0.68
25,left_hand,penetration,0.0330,0.0489,0.0480,1.07
26,left_hand,penetration,0.0260,0.0487,0.0480,1.58
27,left_hand,penetration,0.0110,0.0487,0.0480,1.80
28,left_hand,penetration,0.0084,0.0488,0.0480,1.84
29,left_hand,penetration,0.0207,0.0489,0.0480,1.42
30,left_hand,penetration,0.0318,0.0489,0.0480,1.00
31,left_hand,penetration,0.0348,0.0490,0.0480,0.70
32,left_hand,penetration,0.0325,0.0489,0.0480,0.67
33,left_hand,penetration,0.0326,0.0488,0.0480,0.72
34,left_hand,penetration,0.0356,0.0488,0.0480,0.63
35,left_hand,penetration,0.0425,0.0501,0.0480,0.37
42,left_hand,penetration,0.0390,0.0488,0.0480,1.62
43,left_hand,penetration,0.0329,0.0486,0.0480,2.48
44,left_hand,penetration,0.0268,0.0483,0.0480,3.36
45,left_hand,penetration,0.0248,0.0484,0.0480,3.88
46,left_hand,penetration,0.0219,0.0482,0.0480,4.29
47,left_hand,penetration,0.0172,0.0482,0.0480,4.28
48,left_hand,penetration,0.0126,0.0483,0.0480,3.84
49,left_hand,penetration,0.0161,0.0484,0.0480,3.06
50,left_hand,penetration,0.0199,0.0488,0.0480,2.16
51,left_hand,penetration,0.0273,0.0494,0.0480,1.60
52,left_hand,penetration,0.0277,0.0488,0.0480,1.43
53,left_hand,penetration,0.0269,0.0488,0.0480,1.41
54,left_hand,penetration,0.0277,0.0488,0.0480,1.39
55,left_hand,penetration,0.0310,0.0489,0.0480,1.41
56,left_hand,penetration,0.0299,0.0487,0.0480,1.77
57,left_hand,penetration,0.0252,0.0486,0.0480,2.32
58,left_hand,penetration,0.0203,0.0485,0.0480,3.00
59,left_hand,penetration,0.0161,0.0485,0.0480,3.61
60,left_hand,penetration,0.0129,0.0485,0.0480,4.05
61,left_hand,penetration,0.0104,0.0485,0.0480,4.21
62,left_hand,penetration,0.0094,0.0485,0.0480,4.09
63,left_hand,penetration,0.0107,0.0486,0.0480,3.78
64,left_hand,penetration,0.0138,0.0486,0.0480,3.32
65,left_hand,penetration,0.0192,0.0488,0.0480,2.72
66,left_hand,penetration,0.0254,0.0487,0.0480,2.22
67,left_hand,penetration,0.0287,0.0488,0.0480,1.84
68,left_hand,penetration,0.0293,0.0488,0.0480,1.64
69,left_hand,penetration,0.0281,0.0487,0.0480,1.54
70,left_hand,penetration,0.0256,0.0488,0.0480,1.51
71,left_hand,penetration,0.0236,0.0488,0.0480,1.54
72,left_hand,penetration,0.0228,0.0487,0.0480,1.57
73,left_hand,penetration,0.0227,0.0487,0.0480,1.59
74,left_hand,penetration,0.0242,0.0487,0.0480,1.57
75,left_hand,penetration,0.0261,0.0488,0.0480,1.50
76,left_hand,penetration,0.0277,0.0488,0.0480,1.40
77,left_hand,penetration,0.0290,0.0488,0.0480,1.30
78,left_hand,penetration,0.0299,0.0489,0.0480,1.21
79,left_hand,penetration,0.0297,0.0488,0.0480,1.19
80,left_hand,penetration,0.0284,0.0488,0.0480,1.25
81,left_hand,penetration,0.0263,0.0488,0.0480,1.42
82,left_hand,penetration,0.0235,0.0487,0.0480,1.83
83,left_hand,penetration,0.0208,0.0487,0.0480,2.32
84,left_hand,penetration,0.0192,0.0487,0.0480,2.87
85,left_hand,penetration,0.0193,0.0487,0.0480,3.45
86,left_hand,penetration,0.0133,0.0484,0.0480,4.03
87,left_hand,penetration,0.0100,0.0485,0.0480,4.20
88,left_hand,penetration,0.0124,0.0487,0.0480,3.85
89,left_hand,penetration,0.0143,0.0487,0.0480,3.38
90,left_hand,penetration,0.0162,0.0487,0.0480,2.88
91,left_hand,penetration,0.0196,0.0487,0.0480,2.40
92,left_hand,penetration,0.0239,0.0486,0.0480,2.21
93,left_hand,penetration,0.0299,0.0487,0.0480,1.96
94,left_hand,penetration,0.0306,0.0485,0.0480,2.31
95,left_hand,penetration,0.0364,0.0484,0.0480,2.12
96,left_hand,penetration,0.0410,0.0497,0.0480,1.42
97,left_hand,penetration,0.0403,0.0508,0.0480,1.08
98,left_hand,penetration,0.0369,0.0489,0.0480,1.01
99,left_hand,penetration,0.0358,0.0489,0.0480,1.10
100,left_hand,penetration,0.0324,0.0488,0.0480,1.43
101,left_hand,penetration,0.0308,0.0487,0.0480,1.97
102,left_hand,penetration,0.0304,0.0488,0.0480,2.86
103,left_hand,penetration,0.0263,0.0473,0.0480,4.19
104,left_hand,penetration,0.0244,0.0473,0.0480,3.42
105,left_hand,penetration,0.0235,0.0487,0.0480,2.86
106,left_hand,penetration,0.0299,0.0489,0.0480,1.97
107,left_hand,penetration,0.0391,0.0498,0.0480,1.26
108,left_hand,penetration,0.0468,0.0557,0.0480,0.88
110,left_hand,penetration,0.0439,0.0500,0.0480,0.71
111,left_hand,penetration,0.0369,0.0488,0.0480,0.90
112,left_hand,penetration,0.0332,0.0489,0.0480,0.88
113,left_hand,penetration,0.0323,0.0489,0.0480,0.78
114,left_hand,penetration,0.0358,0.0490,0.0480,0.56
115,left_hand,penetration,0.0400,0.0490,0.0480,0.37
116,left_hand,penetration,0.0467,0.0520,0.0480,0.22
