frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
1,0.000000,645.760,342.064,21.095,3.696158,3.700736
2,0.041667,646.575,345.087,20.905,3.677196,3.704381
3,0.083333,647.226,348.693,21.042,3.719203,3.690793
4,0.125000,647.512,352.120,20.974,3.710387,3.673381
5,0.166667,647.760,356.006,21.298,3.718960,3.656049
6,0.208333,648.078,358.896,21.506,3.622857,3.642227
7,0.250000,647.878,361.360,21.829,3.568905,3.620991
8,0.291667,648.662,363.173,21.727,3.574839,3.601812
9,0.333333,648.814,364.613,21.756,3.580436,3.576898
10,0.375000,647.969,365.354,22.040,3.570551,3.560902
11,0.416667,648.068,365.675,21.989,3.576134,3.553689
12,0.458333,648.851,365.913,21.609,3.544561,3.549501
13,0.500000,648.949,365.907,21.558,3.510888,3.543806
14,0.541667,649.020,365.872,21.543,3.518412,3.542928
15,0.583333,648.245,365.646,21.982,3.545531,3.537083
16,0.625000,648.842,365.442,21.646,3.540566,3.544671
17,0.666667,648.458,364.763,21.668,3.564409,3.559134
18,0.708333,647.741,362.587,21.887,3.535217,3.568460
19,0.750000,645.774,359.289,22.097,3.597675,3.566282
20,0.791667,644.113,354.219,21.916,3.612133,3.557596
21,0.833333,642.475,348.959,22.018,3.583692,3.547162
22,0.875000,640.847,342.039,21.543,3.530283,3.545113
23,0.916667,637.516,334.771,21.602,3.479761,3.526520
24,0.958333,633.962,327.118,21.268,3.491371,3.503697
25,1.000000,630.484,319.092,21.253,3.520875,3.487738
26,1.041667,626.179,310.708,21.200,3.467525,3.488662
27,1.083333,621.681,301.826,21.320,3.452369,3.499727
28,1.125000,615.964,292.883,20.966,3.471982,3.522367
29,1.166667,611.357,283.330,21.193,3.536750,3.528493
30,1.208333,604.915,273.866,21.756,3.557213,3.543793
31,1.250000,599.640,264.478,21.675,3.649858,3.555319
32,1.291667,593.675,255.019,21.771,3.563755,3.576122
33,1.333333,586.353,245.833,21.982,3.574626,3.599475
34,1.375000,581.289,236.566,22.255,3.533049,3.633160
35,1.416667,575.290,228.197,22.575,3.617603,3.651366
36,1.458333,569.943,219.195,22.834,3.700220,3.674747
37,1.500000,562.994,210.430,22.476,3.793009,3.692060
38,1.541667,556.662,202.180,22.369,3.777302,3.712718
39,1.583333,550.501,194.647,22.398,3.727419,3.718762
40,1.625000,544.641,188.229,22.897,3.695817,3.704791
41,1.666667,539.072,181.836,22.973,3.677656,3.680526
42,1.708333,534.204,175.275,22.862,3.659913,3.661321
43,1.750000,529.816,169.130,22.771,3.602422,3.643412
44,1.791667,524.843,163.967,22.708,3.623156,3.624576
45,1.833333,519.985,159.265,22.412,3.642865,3.622026
46,1.875000,515.744,155.029,22.596,3.602060,3.631889
47,1.916667,511.804,150.925,22.931,3.563960,3.640666
48,1.958333,508.076,147.355,23.507,3.659803,3.635957
49,2.000000,505.047,143.171,23.330,3.728961,3.620879
50,2.041667,501.632,140.092,22.848,3.663857,3.623357
51,2.083333,499.003,137.022,23.392,3.590197,3.626300
52,2.125000,496.504,134.596,23.358,3.537316,3.780796
53,2.166667,494.280,132.238,23.541,3.619407,3.921073
54,2.208333,492.439,130.073,23.588,3.584558,4.036304
55,2.250000,491.006,128.029,23.602,4.741276,4.044541
56,2.291667,489.720,126.078,23.419,4.710901,4.050920
57,2.333333,488.605,124.417,23.466,4.470473,4.044780
58,2.375000,487.744,122.532,23.500,3.647857,4.045669
59,2.416667,486.889,121.319,23.602,3.581970,3.884219
60,2.458333,486.428,120.118,23.534,3.576429,3.723253
61,2.500000,485.616,118.306,23.337,3.590774,3.590732
62,2.541667,484.982,117.160,23.446,3.611126,3.581331
63,2.583333,484.748,116.257,23.676,3.584143,3.579355
64,2.625000,484.428,115.126,23.843,3.542824,3.577384
65,2.666667,484.156,113.764,24.612,3.582046,3.566430
66,2.708333,484.121,111.455,23.830,3.568145,3.553777
67,2.750000,484.313,108.797,23.385,3.562628,3.541176
68,2.791667,484.317,106.730,23.146,3.514100,3.537883
69,2.833333,484.504,104.922,23.118,3.522555,3.532102
70,2.875000,484.545,103.435,23.042,3.495935,3.525686
71,2.916667,484.342,101.996,22.834,3.519774,3.518274
72,2.958333,484.059,100.799,22.771,3.541576,3.522856
73,3.000000,483.801,99.584,22.680,3.523235,3.528964
74,3.041667,483.568,98.614,22.638,3.510744,3.537095
75,3.083333,482.806,97.949,22.813,3.546176,3.538794
76,3.125000,483.040,97.083,22.518,3.565308,3.537390
77,3.166667,482.577,96.330,22.841,3.552852,3.537266
78,3.208333,482.464,95.865,22.862,3.531667,3.537543
79,3.250000,482.928,95.553,22.638,3.531753,3.535118
80,3.291667,482.986,95.385,22.624,3.522362,3.536677
81,3.333333,483.086,95.395,22.659,3.512684,3.529692
82,3.375000,483.495,95.816,22.680,3.529202,3.528291
83,3.416667,484.020,96.604,22.701,3.576218,3.522499
84,3.458333,484.396,98.192,23.166,3.503961,3.518984
85,3.500000,485.448,100.046,22.820,3.521859,3.517190
86,3.541667,486.185,102.340,22.890,3.491206,3.535302
87,3.583333,487.068,105.014,23.324,3.497756,3.550446
88,3.625000,488.372,108.147,23.371,3.500125,3.561077
89,3.666667,489.086,111.253,23.642,3.655988,3.561613
90,3.708333,490.477,114.360,23.716,3.682223,3.564425
91,3.750000,491.934,117.433,23.262,3.578377,3.569225
92,3.791667,493.861,120.825,23.187,3.525609,3.580802
93,3.833333,496.689,125.484,23.642,3.510895,3.575716
94,3.875000,500.185,129.654,23.910,3.531354,3.558700
95,3.916667,504.333,135.203,23.595,3.581170,3.556658
96,3.958333,509.397,141.356,23.221,3.620385,3.555361
97,4.000000,514.152,149.277,23.180,3.563112,3.558964
98,4.041667,519.918,156.580,22.771,3.564079,3.563777
99,4.083333,525.517,165.367,23.139,3.516529,3.567051
100,4.125000,531.983,175.335,22.869,3.536118,3.576177
101,4.166667,537.835,185.907,23.730,3.565044,3.596812
102,4.208333,546.132,195.524,22.848,3.604092,3.597464
103,4.250000,552.764,206.283,22.248,3.684265,3.604117
104,4.291667,560.724,217.771,22.778,3.707554,3.623448
105,4.333333,568.276,228.030,22.198,3.568647,3.641856
106,4.375000,576.101,239.952,23.118,3.563101,3.666689
107,4.416667,583.156,250.372,22.911,3.671435,3.661446
108,4.458333,589.496,260.814,22.298,3.693897,3.653758
109,4.500000,595.912,271.088,21.996,3.777928,3.665276
110,4.541667,602.052,281.222,22.198,3.647563,3.672950
111,4.583333,608.374,290.323,22.054,3.653734,3.666853
112,4.625000,613.236,299.138,21.887,3.649277,3.650828
113,4.666667,617.828,306.890,22.083,3.616820,3.614201
114,4.708333,622.488,314.614,21.499,3.628755,3.600893
115,4.750000,625.715,321.137,22.104,3.581722,3.588909
116,4.791667,628.519,327.180,22.032,3.521536,3.583532
117,4.833333,631.412,332.326,21.461,3.554407,3.588938
118,4.875000,633.588,337.029,21.380,3.569844,3.597677
119,4.916667,635.431,341.037,21.763,3.611642,3.624322
120,4.958333,637.263,344.298,21.822,3.654660,3.647259
121,5.000000,639.070,347.668,22.140,3.689926,3.661974
122,5.041667,640.307,350.015,21.631,3.768242,3.672382
123,5.083333,640.997,351.877,22.119,3.682095,3.668906
124,5.125000,642.359,354.025,21.822,3.657414,3.660501
125,5.166667,642.384,355.697,22.219,3.642696,3.643689
126,5.208333,643.497,357.258,21.982,3.587312,3.613568
127,5.250000,643.940,358.614,21.945,3.595820,3.597131
128,5.291667,644.199,359.962,21.982,3.572247,3.583883
129,5.333333,644.162,361.431,22.126,3.557389,3.574074
130,5.375000,644.004,362.593,22.219,3.567039,3.565509
131,5.416667,643.158,363.663,22.462,3.564677,3.549970
132,5.458333,642.949,364.489,22.447,3.574037,3.535387
133,5.500000,642.892,365.306,22.447,3.527352,3.520448
134,5.541667,642.696,365.320,22.405,3.487052,3.502972
135,5.583333,642.668,365.247,22.490,3.470168,3.485516
136,5.625000,642.735,365.177,22.546,3.452815,3.467101
137,5.666667,642.744,365.191,22.539,3.444701,3.459382
138,5.708333,642.580,365.504,22.454,3.442484,3.455596
139,5.750000,642.179,365.554,22.518,3.445134,3.458038
140,5.791667,642.556,365.995,22.169,3.473321,3.462011
141,5.833333,642.137,366.102,22.133,3.460552,3.467340
142,5.875000,641.374,366.013,22.334,3.487260,3.470036
143,5.916667,641.229,366.033,22.305,3.480621,3.472041
144,5.958333,641.248,366.072,22.284,3.482005,3.471737
