frame,time,ball_u,floor_depth_proxy,floor_row_proxy
1,0.000000,645.760,4.116400,109.000
2,0.041667,646.575,4.110426,109.000
3,0.083333,647.226,4.104261,109.000
4,0.125000,647.512,4.077242,109.000
5,0.166667,647.760,4.098465,109.000
6,0.208333,648.078,4.036906,109.000
7,0.250000,647.878,4.008822,109.000
8,0.291667,648.662,4.046863,109.000
9,0.333333,648.814,4.072670,109.000
10,0.375000,647.969,4.056375,109.000
11,0.416667,648.068,4.049048,109.000
12,0.458333,648.851,4.008687,109.000
13,0.500000,648.949,4.000663,109.000
14,0.541667,649.020,4.004387,109.000
15,0.583333,648.245,4.032480,109.000
16,0.625000,648.842,4.032320,109.000
17,0.666667,648.458,4.059741,109.000
18,0.708333,647.741,4.026336,109.000
19,0.750000,645.774,4.014255,109.000
20,0.791667,644.113,3.957199,109.000
21,0.833333,642.475,3.971777,109.000
22,0.875000,640.847,3.938496,109.000
23,0.916667,637.516,3.939865,109.000
24,0.958333,633.962,3.950285,109.000
25,1.000000,630.484,3.991684,109.000
26,1.041667,626.179,3.921683,109.000
27,1.083333,621.681,3.874632,109.000
28,1.125000,615.964,3.810149,109.000
29,1.166667,611.357,3.779213,109.000
30,1.208333,604.915,3.681732,109.000
31,1.250000,599.640,3.633038,109.000
32,1.291667,593.675,3.495113,109.000
33,1.333333,586.353,3.420721,109.000
34,1.375000,581.289,3.445428,109.000
35,1.416667,575.290,3.511443,109.000
36,1.458333,569.943,3.558302,109.000
37,1.500000,562.994,3.608897,109.000
38,1.541667,556.662,3.613291,109.000
39,1.583333,550.501,3.581142,109.000
40,1.625000,544.641,3.680741,109.000
41,1.666667,539.072,3.685431,109.000
42,1.708333,534.204,3.717133,109.000
43,1.750000,529.816,3.865320,109.000
44,1.791667,524.843,3.980710,109.000
45,1.833333,519.985,3.939809,109.000
46,1.875000,515.744,3.906857,109.000
47,1.916667,511.804,3.734767,109.000
48,1.958333,508.076,3.671840,109.000
49,2.000000,505.047,3.705456,109.000
50,2.041667,501.632,3.654242,109.000
51,2.083333,499.003,3.624131,109.000
52,2.125000,496.504,3.593024,109.000
53,2.166667,494.280,3.638731,109.000
54,2.208333,492.439,3.637148,109.000
55,2.250000,491.006,3.705301,109.000
56,2.291667,489.720,3.706972,109.000
57,2.333333,488.605,3.718696,109.000
58,2.375000,487.744,3.716624,109.000
59,2.416667,486.889,3.698864,109.000
60,2.458333,486.428,3.711694,109.000
