frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
1,0.000000,0.007807242,0.447322,0.020697,1.1858,0,-0.005798,-0.3322,visible,-0.019756,-0.025552,-2.3178,0.007807242,0.447322,smooth_entry_physical_phase_no_hide
2,0.041667,-0.005382856,-0.308415,0.010916,0.6255,0,-0.002588,-0.1483,visible,-0.029583,-0.032170,-2.3207,-0.005382856,-0.308415,smooth_entry_physical_phase_no_hide
3,0.083333,-0.017185875,-0.984678,0.000691,0.0396,0,-0.001435,-0.0822,visible,-0.040068,-0.041502,-2.3359,-0.017185875,-0.984678,smooth_entry_physical_phase_no_hide
4,0.125000,-0.027678874,-1.585883,-0.010834,-0.6207,0,-0.000485,-0.0278,visible,-0.051961,-0.052446,-2.3578,-0.027678874,-1.585883,smooth_entry_physical_phase_no_hide
5,0.166667,-0.036938913,-2.116444,-0.022818,-1.3074,0,0.000445,0.0255,visible,-0.064535,-0.064091,-2.3928,-0.036938913,-2.116444,smooth_entry_physical_phase_no_hide
6,0.208333,-0.045043053,-2.580777,-0.034367,-1.9691,0,0.001369,0.0784,visible,-0.076901,-0.075536,-2.4413,-0.045043053,-2.580777,smooth_entry_physical_phase_no_hide
7,0.250000,-0.052068354,-2.983297,-0.045021,-2.5795,0,0.002709,0.1552,visible,-0.088594,-0.085896,-2.5032,-0.052068354,-2.983297,smooth_entry_physical_phase_no_hide
8,0.291667,-0.058091875,-3.328419,-0.052844,-3.0277,0,0.003328,0.1907,visible,-0.097899,-0.094586,-2.5905,-0.058091875,-3.328419,smooth_entry_physical_phase_no_hide
9,0.333333,-0.063190676,-3.620559,-0.057424,-3.2901,0,0.003336,0.1912,visible,-0.104355,-0.101036,-2.6999,-0.063190676,-3.620559,smooth_entry_physical_phase_no_hide
10,0.375000,-0.067441818,-3.864132,-0.058982,-3.3794,0,0.003070,0.1759,visible,-0.108044,-0.104991,-2.8231,-0.067441818,-3.864132,smooth_entry_physical_phase_no_hide
11,0.416667,-0.070922359,-4.063552,-0.057535,-3.2965,0,0.002251,0.1290,visible,-0.108783,-0.106545,-2.9486,-0.070922359,-4.063552,smooth_entry_physical_phase_no_hide
12,0.458333,-0.073709362,-4.223235,-0.053832,-3.0844,0,0.001023,0.0586,visible,-0.107255,-0.106238,-3.0727,-0.073709362,-4.223235,smooth_entry_physical_phase_no_hide
13,0.500000,-0.075879884,-4.347597,-0.049515,-2.8370,0,0.000368,0.0211,visible,-0.105086,-0.104720,-3.1952,-0.075879884,-4.347597,smooth_entry_physical_phase_no_hide
14,0.541667,-0.077510987,-4.441052,-0.045364,-2.5992,0,0.000709,0.0406,visible,-0.102982,-0.102276,-3.3117,-0.077510987,-4.441052,smooth_entry_physical_phase_no_hide
15,0.583333,-0.078679730,-4.508016,-0.040989,-2.3485,0,0.001779,0.1019,visible,-0.100583,-0.098813,-3.4243,-0.078679730,-4.508016,smooth_entry_physical_phase_no_hide
16,0.625000,-0.079463173,-4.552904,-0.034603,-1.9826,0,0.002249,0.1288,visible,-0.096091,-0.093852,-3.5315,-0.079463173,-4.552904,smooth_entry_physical_phase_no_hide
17,0.666667,-0.079938376,-4.580132,-0.026290,-1.5063,0,0.002636,0.1511,visible,-0.089814,-0.087188,-3.6466,-0.079938376,-4.580132,smooth_entry_physical_phase_no_hide
18,0.708333,-0.080182399,-4.594113,-0.015347,-0.8793,0,0.002266,0.1298,visible,-0.081192,-0.078933,-3.7778,-0.080182399,-4.594113,smooth_entry_physical_phase_no_hide
19,0.750000,-0.080272302,-4.599264,-0.001706,-0.0978,0,0.000175,0.0100,visible,-0.070286,-0.070111,-3.9326,-0.080272302,-4.599264,smooth_entry_physical_phase_no_hide
20,0.791667,-0.080285146,-4.600000,0.013648,0.7820,0,-0.005151,-0.2951,visible,-0.058101,-0.063242,-4.1128,-0.080285146,-4.600000,smooth_entry_physical_phase_no_hide
21,0.833333,-0.060629665,-3.473824,0.025604,1.4670,0,-0.013178,-0.7551,visible,-0.049501,-0.062658,-4.3044,-0.060629665,-3.473824,smooth_entry_physical_phase_no_hide
22,0.875000,-0.007070774,-0.405126,0.026977,1.5456,0,-0.022940,-1.3144,visible,-0.051721,-0.074614,-4.5103,-0.007070774,-0.405126,smooth_entry_physical_phase_no_hide
23,0.916667,0.072280205,4.141351,0.006955,0.3985,0,-0.028780,-1.6490,visible,-0.075664,-0.104325,-4.7379,0.072280205,4.141351,smooth_entry_physical_phase_no_hide
24,0.958333,0.169311949,9.700860,-0.044066,-2.5248,0,-0.018405,-1.0545,visible,-0.130510,-0.148735,-4.9742,0.169311949,9.700860,smooth_entry_physical_phase_no_hide
25,1.000000,0.275913134,15.808658,-0.128925,-7.3869,0,0.030007,1.7193,visible,-0.218169,-0.188792,-5.2147,0.275913134,15.808658,smooth_entry_physical_phase_no_hide
26,1.041667,0.383972435,22.000000,-0.237670,-13.6175,0,0.138324,7.9254,visible,-0.327014,-0.193587,-5.4701,0.383972435,22.000000,smooth_entry_physical_phase_no_hide
27,1.083333,0.506145483,29.000000,-0.360581,-20.6598,1,0.317946,18.2170,hidden,-0.444704,-0.142412,-5.7446,0.506145483,29.000000,smooth_entry_physical_phase_no_hide
28,1.125000,0.628318531,36.000000,-0.487690,-27.9426,1,0.551499,31.5986,hidden,-0.558592,-0.041177,-6.0159,0.628318531,36.000000,smooth_entry_physical_phase_no_hide
29,1.166667,0.750491578,43.000000,-0.613009,-35.1229,1,0.809745,46.3950,hidden,-0.661430,0.086911,-6.2862,0.750491578,43.000000,smooth_entry_physical_phase_no_hide
30,1.208333,0.872664626,50.000000,-0.733974,-42.0536,1,1.072514,61.4505,hidden,-0.750215,0.222256,-6.5554,0.872664626,50.000000,smooth_entry_physical_phase_no_hide
31,1.250000,0.994837674,57.000000,-0.846102,-48.4781,1,1.328338,76.1082,hidden,-0.822168,0.355201,-6.8243,0.994837674,57.000000,smooth_entry_physical_phase_no_hide
32,1.291667,1.117010721,64.000000,-0.950983,-54.4873,1,1.577174,90.3654,hidden,-0.879548,0.481410,-7.1005,1.117010721,64.000000,smooth_entry_physical_phase_no_hide
33,1.333333,1.239183769,71.000000,-1.051174,-60.2278,1,1.821341,104.3552,hidden,-0.924630,0.598220,-7.3848,1.239183769,71.000000,smooth_entry_physical_phase_no_hide
34,1.375000,1.361356817,78.000000,-1.146986,-65.7174,1,2.061129,118.0940,hidden,-0.958301,0.703374,-7.6783,1.361356817,78.000000,smooth_entry_physical_phase_no_hide
35,1.416667,1.483529864,85.000000,-1.241702,-71.1443,1,2.299823,131.7702,hidden,-0.981976,0.795102,-7.9609,1.483529864,85.000000,smooth_entry_physical_phase_no_hide
36,1.458333,1.605702912,92.000000,-1.338268,-76.6771,1,2.540365,145.5522,hidden,-0.995982,0.871984,-8.1851,1.605702912,92.000000,smooth_entry_physical_phase_no_hide
37,1.500000,1.727875959,99.000000,-1.442052,-82.6235,1,2.788126,159.7479,hidden,-0.999767,0.930494,-8.6123,1.727875959,99.000000,smooth_entry_physical_phase_no_hide
38,1.541667,1.850049007,106.000000,-1.560771,-89.4256,1,3.050812,174.7987,hidden,-0.988445,0.970634,-9.2928,1.850049007,106.000000,smooth_entry_physical_phase_no_hide
39,1.583333,1.972222055,113.000000,-1.718241,-98.4479,1,3.352138,192.0633,hidden,-0.950238,0.994360,-9.7033,1.972222055,113.000000,smooth_entry_physical_phase_no_hide
40,1.625000,2.094395102,120.000000,-2.047673,-117.3230,1,3.824625,219.1349,hidden,-0.794148,0.999555,-10.1022,2.094395102,120.000000,smooth_entry_physical_phase_no_hide
41,1.666667,2.216568150,127.000000,-2.734563,-156.6789,1,4.650893,266.4765,hidden,-0.216974,0.987667,-10.7897,2.216568150,127.000000,smooth_entry_physical_phase_no_hide
42,1.708333,2.331971280,133.612112,2.850251,163.3073,0,-0.805127,-46.1304,hidden,0.473152,0.963019,-11.5464,2.331971280,133.612112,smooth_entry_physical_phase_no_hide
43,1.750000,2.411342011,138.159720,2.209935,126.6199,0,-0.054781,-3.1387,visible,0.911206,0.932395,-12.2925,2.411342011,138.159720,smooth_entry_physical_phase_no_hide
44,1.791667,2.478296377,141.995923,2.242650,128.4944,0,0.002935,0.1681,visible,0.900959,0.899681,-12.7787,2.478296377,141.995923,smooth_entry_physical_phase_no_hide
45,1.833333,2.530727415,145.000000,2.317176,132.7644,0,0.008343,0.4780,visible,0.873644,0.869554,-13.6493,2.530727415,145.000000,smooth_entry_physical_phase_no_hide
46,1.875000,2.571501373,147.336176,2.402688,137.6639,0,0.001934,0.1108,hidden,0.837437,0.836379,-14.5344,2.571501373,147.336176,smooth_entry_physical_phase_no_hide
47,1.916667,2.605972009,149.311198,2.489352,142.6294,0,-0.003395,-0.1945,hidden,0.792922,0.794986,-15.0887,2.605972009,149.311198,smooth_entry_physical_phase_no_hide
48,1.958333,2.635763629,151.018132,2.570827,147.2975,0,-0.001361,-0.0780,visible,0.751623,0.752520,-16.0287,2.635763629,151.018132,smooth_entry_physical_phase_no_hide
49,2.000000,2.662500540,152.550044,2.647244,151.6759,0,0.011972,0.6859,visible,0.712176,0.703721,-17.0881,2.662500540,152.550044,smooth_entry_physical_phase_no_hide
