frame,time,tx,ty,tz,radius_m
1,0.000000,0.017367669,-0.044108112,4.014411499,0.05
2,0.041667,0.018691087,-0.035425525,4.017485047,0.05
3,0.083333,0.020082389,-0.026066107,4.020459303,0.05
4,0.125000,0.021233918,-0.016461224,4.022838569,0.05
5,0.166667,0.021997763,-0.006025544,4.024159759,0.05
6,0.208333,0.022236083,0.002304828,4.024161269,0.05
7,0.250000,0.022313926,0.009237205,4.022701335,0.05
8,0.291667,0.024406908,0.013997806,4.019879114,0.05
9,0.333333,0.024807898,0.017463259,4.016036918,0.05
10,0.375000,0.023524097,0.019456565,4.011689515,0.05
11,0.416667,0.023623513,0.020187924,4.007222572,0.05
12,0.458333,0.024929593,0.020979382,4.002940489,0.05
13,0.500000,0.025123030,0.021057803,3.998748120,0.05
14,0.541667,0.024989021,0.020911796,3.994625816,0.05
15,0.583333,0.023872230,0.020094621,3.990694705,0.05
16,0.625000,0.024710428,0.019602295,3.987054275,0.05
17,0.666667,0.024068218,0.017432691,3.983647450,0.05
18,0.708333,0.021252489,0.012301938,3.980443334,0.05
19,0.750000,0.016194418,0.003399381,3.977309616,0.05
20,0.791667,0.011868664,-0.010392702,3.974215970,0.05
21,0.833333,0.007162817,-0.025150069,3.971003669,0.05
22,0.875000,0.002405211,-0.043190161,3.967354102,0.05
23,0.916667,-0.006283716,-0.062610982,3.963037990,0.05
24,0.958333,-0.016081604,-0.083519837,3.957629199,0.05
25,1.000000,-0.028947166,-0.107567208,3.950599066,0.05
26,1.041667,-0.042566009,-0.132147877,3.941584976,0.05
27,1.083333,-0.056052176,-0.156289207,3.930292746,0.05
28,1.125000,-0.069285643,-0.179855445,3.916683254,0.05
29,1.166667,-0.082443429,-0.203012009,3.901052953,0.05
30,1.208333,-0.095747543,-0.225935515,3.883901891,0.05
31,1.250000,-0.109341086,-0.248709553,3.865732517,0.05
32,1.291667,-0.123277686,-0.271315305,3.846999661,0.05
33,1.333333,-0.137527779,-0.293661819,3.828140583,0.05
34,1.375000,-0.152009326,-0.315625229,3.809610813,0.05
35,1.416667,-0.166638302,-0.337076377,3.792014690,0.05
36,1.458333,-0.181321568,-0.357901845,3.776456589,0.05
37,1.500000,-0.195971744,-0.378000058,3.764160219,0.05
38,1.541667,-0.210490284,-0.397290032,3.755640217,0.05
39,1.583333,-0.224785493,-0.415715401,3.750179332,0.05
40,1.625000,-0.238781751,-0.433252732,3.746863242,0.05
41,1.666667,-0.252418991,-0.449905410,3.745072064,0.05
42,1.708333,-0.265653945,-0.465686582,3.744382142,0.05
43,1.750000,-0.278463517,-0.480615182,3.744642212,0.05
44,1.791667,-0.290828660,-0.494717051,3.745776022,0.05
45,1.833333,-0.302716501,-0.508027120,3.747912303,0.05
46,1.875000,-0.314081767,-0.520581107,3.751141595,0.05
47,1.916667,-0.324865260,-0.532403885,3.755476540,0.05
48,1.958333,-0.334992215,-0.543497879,3.761053992,0.05
49,2.000000,-0.344412933,-0.553879187,3.768162649,0.05
50,2.041667,-0.353098607,-0.563531007,3.776559377,0.05
51,2.083333,-0.361015437,-0.572464894,3.785589841,0.05
52,2.125000,-0.368156069,-0.580702707,3.794528145,0.05
53,2.166667,-0.374514069,-0.588283938,3.802932451,0.05
54,2.208333,-0.380097992,-0.595249974,3.810697099,0.05
55,2.250000,-0.384935562,-0.601640769,3.817806856,0.05
56,2.291667,-0.389088866,-0.607498227,3.824644194,0.05
57,2.333333,-0.392626355,-0.612858690,3.831027917,0.05
58,2.375000,-0.395605492,-0.617757477,3.836100315,0.05
59,2.416667,-0.398077800,-0.622233809,3.839146744,0.05
60,2.458333,-0.400093649,-0.626365021,3.840016684,0.05
61,2.500000,-0.401699832,-0.630239884,3.839137107,0.05
62,2.541667,-0.402930077,-0.633940128,3.837077865,0.05
63,2.583333,-0.403835778,-0.637584786,3.834301732,0.05
64,2.625000,-0.404462718,-0.641292058,3.831123457,0.05
65,2.666667,-0.404851413,-0.645147709,3.827804095,0.05
66,2.708333,-0.405041143,-0.649165587,3.824612624,0.05
67,2.750000,-0.405095447,-0.653276617,3.821667907,0.05
68,2.791667,-0.405091601,-0.657358844,3.818980009,0.05
69,2.833333,-0.405095448,-0.661300663,3.816473692,0.05
70,2.875000,-0.405173559,-0.665024822,3.814233592,0.05
71,2.916667,-0.405362741,-0.668486124,3.812298897,0.05
72,2.958333,-0.405660076,-0.671658392,3.810734695,0.05
73,3.000000,-0.406042536,-0.674529708,3.809607761,0.05
74,3.041667,-0.406469908,-0.677087803,3.808874631,0.05
75,3.083333,-0.406895111,-0.679326448,3.808532010,0.05
76,3.125000,-0.407251573,-0.681234076,3.808672789,0.05
77,3.166667,-0.407489016,-0.682767811,3.809275821,0.05
78,3.208333,-0.407543906,-0.683861323,3.810244835,0.05
79,3.250000,-0.407372098,-0.684433856,3.811489663,0.05
80,3.291667,-0.406950649,-0.684387805,3.812982965,0.05
81,3.333333,-0.406239598,-0.683612812,3.814724975,0.05
82,3.375000,-0.405191861,-0.681997008,3.816766243,0.05
83,3.416667,-0.403755012,-0.679444998,3.819226560,0.05
84,3.458333,-0.401886923,-0.675909328,3.822152447,0.05
85,3.500000,-0.399553439,-0.671411772,3.825386203,0.05
86,3.541667,-0.396766996,-0.666054539,3.828812116,0.05
87,3.583333,-0.393503478,-0.659885303,3.832335580,0.05
88,3.625000,-0.389714322,-0.652911565,3.835928047,0.05
89,3.666667,-0.385332529,-0.645106278,3.839629462,0.05
90,3.708333,-0.380268891,-0.636404094,3.843403735,0.05
91,3.750000,-0.374418549,-0.626698140,3.846953862,0.05
92,3.791667,-0.367666861,-0.615846321,3.849734736,0.05
93,3.833333,-0.359903762,-0.603687909,3.851211970,0.05
94,3.875000,-0.351041954,-0.590067289,3.850833191,0.05
95,3.916667,-0.341028657,-0.574844396,3.848525747,0.05
96,3.958333,-0.329841805,-0.557920937,3.844689045,0.05
97,4.000000,-0.317498020,-0.539258305,3.839988088,0.05
98,4.041667,-0.304041382,-0.518890460,3.834420833,0.05
99,4.083333,-0.289547269,-0.496905745,3.828364905,0.05
100,4.125000,-0.274119081,-0.473465257,3.822228482,0.05
101,4.166667,-0.257887217,-0.448785459,3.816593048,0.05
102,4.208333,-0.241011101,-0.423116118,3.812157321,0.05
103,4.250000,-0.223694486,-0.396719316,3.809517507,0.05
104,4.291667,-0.206149216,-0.369874571,3.809165863,0.05
105,4.333333,-0.188604607,-0.342869273,3.811573234,0.05
106,4.375000,-0.171283648,-0.315977881,3.817347610,0.05
107,4.416667,-0.154392110,-0.289471376,3.827388241,0.05
108,4.458333,-0.138113157,-0.263596567,3.841745185,0.05
109,4.500000,-0.122592745,-0.238577104,3.858985682,0.05
110,4.541667,-0.107948273,-0.214612985,3.877752348,0.05
111,4.583333,-0.094274084,-0.191879392,3.897219535,0.05
112,4.625000,-0.081637846,-0.170514276,3.916736530,0.05
113,4.666667,-0.070069277,-0.150621361,3.935695163,0.05
114,4.708333,-0.059569342,-0.132265212,3.953455909,0.05
115,4.750000,-0.050117244,-0.115471040,3.969271571,0.05
116,4.791667,-0.041660477,-0.100223624,3.982127430,0.05
117,4.833333,-0.034130021,-0.086470208,3.991668423,0.05
118,4.875000,-0.027457092,-0.074130571,3.998376691,0.05
119,4.916667,-0.021565112,-0.063104094,4.002828680,0.05
120,4.958333,-0.016390129,-0.053282096,4.005410655,0.05
121,5.000000,-0.011875463,-0.044552887,4.006456398,0.05
122,5.041667,-0.007967227,-0.036806540,4.006338564,0.05
123,5.083333,-0.004612682,-0.029930576,4.005560220,0.05
124,5.125000,-0.001765073,-0.023818196,4.004148397,0.05
125,5.166667,0.000614741,-0.018379385,4.002397450,0.05
126,5.208333,0.002568204,-0.013537623,4.000498196,0.05
127,5.250000,0.004128195,-0.009227123,3.998629072,0.05
128,5.291667,0.005329449,-0.005393237,3.997229605,0.05
129,5.333333,0.006211748,-0.001998256,3.996311159,0.05
130,5.375000,0.006820964,0.000985685,3.996037651,0.05
131,5.416667,0.007207170,0.003582850,3.996643792,0.05
132,5.458333,0.007423694,0.005815108,3.998058669,0.05
133,5.500000,0.007511971,0.007706610,3.999856345,0.05
134,5.541667,0.007502388,0.009287181,4.001282464,0.05
135,5.583333,0.007417224,0.010597112,4.001687240,0.05
136,5.625000,0.007272653,0.011679465,4.001687240,0.05
137,5.666667,0.007082174,0.012574675,4.001687240,0.05
138,5.708333,0.006856214,0.013316552,4.001687240,0.05
139,5.750000,0.006605323,0.013930104,4.001687240,0.05
140,5.791667,0.006342447,0.014433998,4.001687240,0.05
141,5.833333,0.006076917,0.014840620,4.001687240,0.05
142,5.875000,0.005821761,0.015164219,4.001687240,0.05
143,5.916667,0.005594163,0.015419564,4.001687240,0.05
144,5.958333,0.005402453,0.015619825,4.001687240,0.05
145,6.000000,0.005248186,0.015775791,4.001687240,0.05
146,6.041667,0.005128362,0.015896631,4.001687240,0.05
147,6.083333,0.005036232,0.015989017,4.001687240,0.05
148,6.125000,0.004961552,0.016056907,4.001687240,0.05
149,6.166667,0.004889901,0.016101503,4.001687240,0.05
150,6.208333,0.004811537,0.016126106,4.001687240,0.05
151,6.250000,0.004721293,0.016136459,4.001687240,0.05
152,6.291667,0.004623431,0.016137005,4.001687240,0.05
153,6.333333,0.004521734,0.016133480,4.001687240,0.05
154,6.375000,0.004426489,0.016133397,4.001687240,0.05
155,6.416667,0.004341277,0.016141030,4.001687240,0.05
156,6.458333,0.004262609,0.016156217,4.001687240,0.05
157,6.500000,0.004179756,0.016174197,4.001687240,0.05
158,6.541667,0.004086538,0.016192858,4.001687240,0.05
159,6.583333,0.003979501,0.016210785,4.001687240,0.05
160,6.625000,0.003857815,0.016227323,4.001687240,0.05
161,6.666667,0.003857815,0.016227323,4.001687240,0.05
162,6.708333,0.003857815,0.016227323,4.001687240,0.05
163,6.750000,0.003857815,0.016227323,4.001687240,0.05
164,6.791667,0.003857815,0.016227323,4.001687240,0.05
165,6.833333,0.003857815,0.016227323,4.001687240,0.05
166,6.875000,0.003857815,0.016227323,4.001687240,0.05
167,6.916667,0.003857815,0.016227323,4.001687240,0.05
168,6.958333,0.003857815,0.016227323,4.001687240,0.05
169,7.000000,0.003857815,0.016227323,4.001687240,0.05
170,7.041667,0.003857815,0.016227323,4.001687240,0.05
171,7.083333,0.003857815,0.016227323,4.001687240,0.05
172,7.125000,0.003857815,0.016227323,4.001687240,0.05
173,7.166667,0.003857815,0.016227323,4.001687240,0.05
174,7.208333,0.003857815,0.016227323,4.001687240,0.05
175,7.250000,0.003857815,0.016227323,4.001687240,0.05
176,7.291667,0.003857815,0.016227323,4.001687240,0.05
177,7.333333,0.003857815,0.016227323,4.001687240,0.05
178,7.375000,0.003857815,0.016227323,4.001687240,0.05
179,7.416667,0.003857815,0.016227323,4.001687240,0.05
180,7.458333,0.003857815,0.016227323,4.001687240,0.05
181,7.500000,0.003857815,0.016227323,4.001687240,0.05
182,7.541667,0.003857815,0.016227323,4.001687240,0.05
183,7.583333,0.003857815,0.016227323,4.001687240,0.05
184,7.625000,0.003857815,0.016227323,4.001687240,0.05
185,7.666667,0.003857815,0.016227323,4.001687240,0.05
186,7.708333,0.003857815,0.016227323,4.001687240,0.05
187,7.750000,0.003857815,0.016227323,4.001687240,0.05
188,7.791667,0.003857815,0.016227323,4.001687240,0.05
189,7.833333,0.003857815,0.016227323,4.001687240,0.05
190,7.875000,0.003857815,0.016227323,4.001687240,0.05
191,7.916667,0.003857815,0.016227323,4.001687240,0.05
192,7.958333,0.003857815,0.016227323,4.001687240,0.05
193,8.000000,0.003857815,0.016227323,4.001687240,0.05
194,8.041667,0.003857815,0.016227323,4.001687240,0.05
195,8.083333,0.003857815,0.016227323,4.001687240,0.05
196,8.125000,0.003857815,0.016227323,4.001687240,0.05
197,8.166667,0.003857815,0.016227323,4.001687240,0.05
198,8.208333,0.003857815,0.016227323,4.001687240,0.05
199,8.250000,0.003857815,0.016227323,4.001687240,0.05
200,8.291667,0.003857815,0.016227323,4.001687240,0.05
201,8.333333,0.003857815,0.016227323,4.001687240,0.05
202,8.375000,0.003857815,0.016227323,4.001687240,0.05
203,8.416667,0.003857815,0.016227323,4.001687240,0.05
204,8.458333,0.003857815,0.016227323,4.001687240,0.05
205,8.500000,0.003857815,0.016227323,4.001687240,0.05
206,8.541667,0.003857815,0.016227323,4.001687240,0.05
207,8.583333,0.003857815,0.016227323,4.001687240,0.05
208,8.625000,0.003857815,0.016227323,4.001687240,0.05
209,8.666667,0.003857815,0.016227323,4.001687240,0.05
210,8.708333,0.003857815,0.016227323,4.001687240,0.05
211,8.750000,0.003857815,0.016227323,4.001687240,0.05
212,8.791667,0.003857815,0.016227323,4.001687240,0.05
213,8.833333,0.003857815,0.016227323,4.001687240,0.05
214,8.875000,0.003857815,0.016227323,4.001687240,0.05
215,8.916667,0.003857815,0.016227323,4.001687240,0.05
216,8.958333,0.003857815,0.016227323,4.001687240,0.05
217,9.000000,0.003857815,0.016227323,4.001687240,0.05
218,9.041667,0.003857815,0.016227323,4.001687240,0.05
219,9.083333,0.003857815,0.016227323,4.001687240,0.05
220,9.125000,0.003857815,0.016227323,4.001687240,0.05
221,9.166667,0.003857815,0.016227323,4.001687240,0.05
222,9.208333,0.003857815,0.016227323,4.001687240,0.05
223,9.250000,0.003857815,0.016227323,4.001687240,0.05
224,9.291667,0.003857815,0.016227323,4.001687240,0.05
225,9.333333,0.003857815,0.016227323,4.001687240,0.05
226,9.375000,0.003857815,0.016227323,4.001687240,0.05
227,9.416667,0.003857815,0.016227323,4.001687240,0.05
228,9.458333,0.003857815,0.016227323,4.001687240,0.05
229,9.500000,0.003857815,0.016227323,4.001687240,0.05
230,9.541667,0.003857815,0.016227323,4.001687240,0.05
231,9.583333,0.003857815,0.016227323,4.001687240,0.05
232,9.625000,0.003857815,0.016227323,4.001687240,0.05
233,9.666667,0.003857815,0.016227323,4.001687240,0.05
