frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
1,0.000000,0.017368,-0.044108,4.014411,-0.040453,-0.017141,-0.022598,1.167387,0.05
2,0.041667,0.018691,-0.035426,4.017485,-0.040504,-0.021921,-0.022277,1.168831,0.05
3,0.083333,0.020082,-0.026066,4.020459,-0.040770,-0.028083,-0.022105,1.170538,0.05
4,0.125000,0.021234,-0.016461,4.022839,-0.041151,-0.035861,-0.021430,1.170085,0.05
5,0.166667,0.021998,-0.006026,4.024160,-0.041762,-0.046982,-0.021374,1.172831,0.05
6,0.208333,0.022236,0.002305,4.024161,-0.042609,-0.058338,-0.020869,1.173034,0.05
7,0.250000,0.022314,0.009237,4.022701,-0.043689,-0.068864,-0.020415,1.174670,0.05
8,0.291667,0.024407,0.013998,4.019879,-0.045212,-0.075142,-0.019843,1.173198,0.05
9,0.333333,0.024808,0.017463,4.016037,-0.047122,-0.078664,-0.019518,1.172245,0.05
10,0.375000,0.023524,0.019457,4.011690,-0.049273,-0.080164,-0.019656,1.171466,0.05
11,0.416667,0.023624,0.020188,4.007223,-0.051463,-0.079868,-0.019492,1.170106,0.05
12,0.458333,0.024930,0.020979,4.002940,-0.053629,-0.078507,-0.018951,1.167340,0.05
13,0.500000,0.025123,0.021058,3.998748,-0.055766,-0.078590,-0.018690,1.165977,0.05
14,0.541667,0.024989,0.020912,3.994626,-0.057800,-0.080707,-0.018470,1.164952,0.05
15,0.583333,0.023872,0.020095,3.990695,-0.059765,-0.084590,-0.018420,1.165452,0.05
16,0.625000,0.024710,0.019602,3.987054,-0.061636,-0.088055,-0.017704,1.164225,0.05
17,0.666667,0.024068,0.017433,3.983647,-0.063645,-0.090817,-0.017294,1.163538,0.05
18,0.708333,0.021252,0.012302,3.980443,-0.065935,-0.092448,-0.017102,1.163624,0.05
19,0.750000,0.016194,0.003399,3.977310,-0.068638,-0.091007,-0.017141,1.162810,0.05
20,0.791667,0.011869,-0.010393,3.974216,-0.071782,-0.086371,-0.017596,1.161389,0.05
21,0.833333,0.007163,-0.025150,3.971004,-0.075125,-0.079964,-0.017986,1.161266,0.05
22,0.875000,0.002405,-0.043190,3.967354,-0.078720,-0.070464,-0.018272,1.158451,0.05
23,0.916667,-0.006284,-0.062611,3.963038,-0.082691,-0.059704,-0.019220,1.157454,0.05
24,0.958333,-0.016082,-0.083520,3.957629,-0.086817,-0.048473,-0.019546,1.153572,0.05
25,1.000000,-0.028947,-0.107567,3.950599,-0.091013,-0.040390,-0.019770,1.151916,0.05
26,1.041667,-0.042566,-0.132148,3.941585,-0.095472,-0.034113,-0.020264,1.148687,0.05
27,1.083333,-0.056052,-0.156289,3.930293,-0.100262,-0.029236,-0.020928,1.146142,0.05
28,1.125000,-0.069286,-0.179855,3.916683,-0.104998,-0.025654,-0.020957,1.141921,0.05
29,1.166667,-0.082443,-0.203012,3.901053,-0.109715,-0.024073,-0.021341,1.137054,0.05
30,1.208333,-0.095748,-0.225936,3.883902,-0.114412,-0.026308,-0.021594,1.133473,0.05
31,1.250000,-0.109341,-0.248710,3.865733,-0.119107,-0.030878,-0.021249,1.128670,0.05
32,1.291667,-0.123278,-0.271315,3.847000,-0.123928,-0.036159,-0.020730,1.123545,0.05
33,1.333333,-0.137528,-0.293662,3.828141,-0.128889,-0.042333,-0.020190,1.119100,0.05
34,1.375000,-0.152009,-0.315625,3.809611,-0.134011,-0.048200,-0.019396,1.114419,0.05
35,1.416667,-0.166638,-0.337076,3.792015,-0.138944,-0.053377,-0.015373,1.113717,0.05
36,1.458333,-0.181322,-0.357902,3.776457,-0.142857,-0.053886,0.001646,1.131247,0.05
37,1.500000,-0.195972,-0.378000,3.764160,-0.150314,-0.058108,-0.001398,1.105113,0.05
38,1.541667,-0.210490,-0.397290,3.755640,-0.162189,-0.068658,-0.033327,1.103225,0.05
39,1.583333,-0.224785,-0.415715,3.750179,-0.169354,-0.083240,-0.038351,1.102763,0.05
40,1.625000,-0.238782,-0.433253,3.746863,-0.176316,-0.105498,-0.040752,1.083496,0.05
41,1.666667,-0.252419,-0.449905,3.745072,-0.188316,-0.131307,-0.059210,1.064438,0.05
42,1.708333,-0.265654,-0.465687,3.744382,-0.201523,-0.156930,-0.079090,1.069558,0.05
43,1.750000,-0.278464,-0.480615,3.744642,-0.214544,-0.181299,-0.096592,1.052845,0.05
44,1.791667,-0.290829,-0.494717,3.745776,-0.223031,-0.200427,-0.099167,1.060502,0.05
45,1.833333,-0.302717,-0.508027,3.747912,-0.238225,-0.220831,-0.113873,1.066850,0.05
46,1.875000,-0.314082,-0.520581,3.751142,-0.253673,-0.248153,-0.130384,1.056233,0.05
47,1.916667,-0.324865,-0.532404,3.755477,-0.263348,-0.274482,-0.134241,1.041798,0.05
48,1.958333,-0.334992,-0.543498,3.761054,-0.279754,-0.299252,-0.147035,1.055589,0.05
49,2.000000,-0.344413,-0.553879,3.768163,-0.298244,-0.321791,-0.162573,1.068201,0.05
50,2.041667,-0.353099,-0.563531,3.776559,-0.314311,-0.345501,-0.177647,1.059353,0.05
51,2.083333,-0.361015,-0.572465,3.785590,-0.317893,-0.363672,-0.176533,1.067710,0.05
52,2.125000,-0.368156,-0.580703,3.794528,-0.319775,-0.384803,-0.177927,1.055660,0.05
53,2.166667,-0.374514,-0.588284,3.802932,-0.328309,-0.407035,-0.191844,1.071803,0.05
54,2.208333,-0.380098,-0.595250,3.810697,-0.338069,-0.430288,-0.211626,1.065168,0.05
55,2.250000,-0.384936,-0.601641,3.817807,-0.343743,-0.447432,-0.227475,1.077219,0.05
56,2.291667,-0.389089,-0.607498,3.824644,-0.338640,-0.464386,-0.235821,1.063545,0.05
57,2.333333,-0.392626,-0.612859,3.831028,-0.337953,-0.482887,-0.253262,1.078390,0.05
58,2.375000,-0.395605,-0.617757,3.836100,-0.334618,-0.508680,-0.276343,1.074614,0.05
59,2.416667,-0.398078,-0.622234,3.839147,-0.322400,-0.529960,-0.292305,1.057066,0.05
60,2.458333,-0.400094,-0.626365,3.840017,-0.321992,-0.541754,-0.315022,1.057122,0.05
61,2.500000,-0.401700,-0.630240,3.839137,-0.295211,-0.537285,-0.344778,1.079311,0.05
62,2.541667,-0.402930,-0.633940,3.837078,-0.268672,-0.532136,-0.374300,1.073440,0.05
63,2.583333,-0.403836,-0.637585,3.834302,-0.242405,-0.526318,-0.403559,1.060494,0.05
64,2.625000,-0.404463,-0.641292,3.831123,-0.216438,-0.519843,-0.432528,1.089137,0.05
65,2.666667,-0.404851,-0.645148,3.827804,-0.190798,-0.512723,-0.461184,1.079211,0.05
66,2.708333,-0.405041,-0.649166,3.824613,-0.165507,-0.504970,-0.489502,1.079939,0.05
67,2.750000,-0.405095,-0.653277,3.821668,-0.140587,-0.496599,-0.517465,1.079345,0.05
68,2.791667,-0.215388,-0.579640,3.872363,-0.116057,-0.487624,-0.545052,1.059010,0.05
69,2.833333,-0.212053,-0.583362,3.870312,-0.091935,-0.478060,-0.572250,1.102822,0.05
70,2.875000,-0.212099,-0.586534,3.868206,-0.068234,-0.467923,-0.599045,1.099613,0.05
71,2.916667,-0.211845,-0.589646,3.862461,-0.004638,-0.454906,-0.629963,1.092401,0.05
72,2.958333,-0.220225,-0.600143,3.866429,0.008659,-0.497694,-0.784243,1.029876,0.05
73,3.000000,-0.220945,-0.600752,3.867505,0.012728,-0.524214,-0.794167,1.021012,0.05
74,3.041667,-0.220292,-0.599117,3.868774,-0.018647,-0.551491,-0.776393,1.022269,0.05
75,3.083333,-0.220968,-0.598568,3.872271,-0.063435,-0.583661,-0.771286,1.029707,0.05
76,3.125000,-0.220300,-0.597574,3.874106,-0.082829,-0.619008,-0.760910,1.038735,0.05
77,3.166667,-0.221863,-0.598004,3.876353,-0.081600,-0.683004,-0.783173,1.033394,0.05
78,3.208333,-0.222370,-0.597937,3.876890,-0.082380,-0.708233,-0.789093,1.033984,0.05
79,3.250000,-0.223080,-0.596436,3.878357,-0.106145,-0.726112,-0.768572,1.029238,0.05
80,3.291667,-0.223214,-0.594262,3.880096,-0.143841,-0.750466,-0.739441,1.029389,0.05
81,3.333333,-0.222659,-0.594385,3.881421,-0.157417,-0.761078,-0.738703,1.042081,0.05
82,3.375000,-0.223180,-0.596609,3.879742,-0.133439,-0.734879,-0.763749,1.033689,0.05
83,3.416667,-0.222059,-0.603981,3.873671,-0.034225,-0.641817,-0.837961,1.039543,0.05
84,3.458333,-0.222115,-0.614647,3.858203,0.144116,-0.454330,-0.916707,1.038686,0.05
85,3.500000,-0.225641,-0.624262,3.840336,0.316322,-0.242876,-0.956934,1.035620,0.05
86,3.541667,-0.223554,-0.620640,3.819191,0.475997,-0.063613,-0.793424,1.081706,0.05
87,3.583333,-0.227692,-0.624469,3.812603,0.570774,0.060033,-0.764084,1.074677,0.05
88,3.625000,-0.227456,-0.619976,3.811692,0.610907,0.124242,-0.727618,1.075274,0.05
89,3.666667,-0.222365,-0.590235,3.807804,0.685301,0.135106,-0.463528,1.099844,0.05
90,3.708333,-0.225530,-0.573669,3.810274,0.733226,0.154762,-0.362447,1.057639,0.05
91,3.750000,-0.228491,-0.562904,3.813087,0.774395,0.144971,-0.335605,1.024580,0.05
92,3.791667,-0.226432,-0.552495,3.810488,0.808242,0.124431,-0.317418,1.043677,0.05
93,3.833333,-0.224794,-0.540599,3.809622,0.837123,0.100441,-0.296547,1.064907,0.05
94,3.875000,-0.223776,-0.527140,3.808643,0.865989,0.068279,-0.265193,1.079910,0.05
95,3.916667,-0.219675,-0.511130,3.804773,0.885982,0.047529,-0.236271,1.094827,0.05
96,3.958333,-0.217624,-0.495491,3.803400,0.907258,0.019687,-0.203771,1.087832,0.05
97,4.000000,-0.212129,-0.477581,3.798598,0.920762,0.003533,-0.171777,1.125732,0.05
98,4.041667,-0.206743,-0.455085,3.797288,0.930235,-0.008069,-0.145443,1.119788,0.05
99,4.083333,-0.198605,-0.431945,3.794769,0.939696,-0.025053,-0.121849,1.140208,0.05
100,4.125000,-0.190839,-0.404664,3.791903,0.952306,-0.055250,-0.094734,1.158664,0.05
101,4.166667,-0.151268,-0.375757,3.864835,0.018479,-0.093971,-0.005431,1.133552,0.05
102,4.208333,-0.142608,-0.353804,3.867022,0.018828,-0.087170,-0.005012,1.126527,0.05
103,4.250000,-0.133872,-0.329796,3.865849,0.019157,-0.075970,-0.004827,1.134533,0.05
104,4.291667,-0.124479,-0.305945,3.866120,0.019421,-0.067150,-0.003992,1.132157,0.05
105,4.333333,-0.117877,-0.286020,3.870054,0.019549,-0.058601,-0.002776,1.136495,0.05
106,4.375000,-0.114004,-0.264101,3.873228,0.019559,-0.055121,-0.001384,1.132130,0.05
107,4.416667,-0.110025,-0.242707,3.878106,0.019757,-0.051388,-0.001290,1.135701,0.05
108,4.458333,-0.105829,-0.222984,3.881636,0.020202,-0.045929,-0.001698,1.139461,0.05
109,4.500000,-0.101705,-0.203989,3.886768,0.020815,-0.040329,-0.001460,1.143754,0.05
110,4.541667,-0.097610,-0.186138,3.893462,0.021515,-0.034453,-0.001046,1.153417,0.05
111,4.583333,-0.091983,-0.170897,3.901250,0.022205,-0.030090,-0.000942,1.159545,0.05
112,4.625000,-0.086866,-0.156295,3.908482,0.023017,-0.027203,-0.000728,1.164074,0.05
113,4.666667,-0.081402,-0.143324,3.915780,0.023828,-0.024447,-0.000446,1.169953,0.05
114,4.708333,-0.076998,-0.130712,3.922122,0.024589,-0.021192,-0.000296,1.176706,0.05
115,4.750000,-0.073642,-0.119776,3.929910,0.025333,-0.018464,-0.000330,1.180283,0.05
116,4.791667,-0.070017,-0.109224,3.935176,0.026114,-0.013576,-0.000272,1.184465,0.05
117,4.833333,-0.065597,-0.100000,3.939736,0.026883,-0.006224,-0.000063,1.188928,0.05
118,4.875000,-0.062493,-0.090110,3.943032,0.027611,-0.000508,0.000074,1.190178,0.05
119,4.916667,-0.060178,-0.082749,3.947837,0.028302,0.002987,-0.000039,1.190091,0.05
120,4.958333,-0.058149,-0.076299,3.950852,0.028954,0.003802,0.000015,1.192613,0.05
121,5.000000,-0.056488,-0.072011,3.953775,0.029579,0.000677,0.000109,1.191537,0.05
122,5.041667,-0.053915,-0.068061,3.952398,0.030217,-0.004240,0.000146,1.192847,0.05
123,5.083333,-0.052428,-0.065611,3.952766,0.030899,-0.008053,0.000232,1.193973,0.05
124,5.125000,-0.050220,-0.064170,3.953779,0.031587,-0.010203,-0.000430,1.193244,0.05
125,5.166667,-0.048429,-0.062789,3.954276,0.032254,-0.010748,-0.000219,1.192844,0.05
126,5.208333,-0.047109,-0.061757,3.953676,0.032865,-0.010148,-0.000146,1.190321,0.05
127,5.250000,-0.046466,-0.061020,3.955198,0.033411,-0.009908,-0.000168,1.190704,0.05
128,5.291667,-0.045187,-0.060327,3.955923,0.033892,-0.006988,-0.000280,1.188947,0.05
129,5.333333,-0.044134,-0.059630,3.955637,0.034306,-0.004574,-0.000268,1.185194,0.05
130,5.375000,-0.043524,-0.059175,3.954695,0.034645,-0.002424,-0.000383,1.178107,0.05
131,5.416667,-0.042486,-0.058438,3.954196,0.034901,-0.003483,-0.000408,1.178204,0.05
132,5.458333,-0.041497,-0.057649,3.953017,0.035076,-0.007657,-0.000448,1.184572,0.05
133,5.500000,-0.041191,-0.057138,3.952921,0.035177,-0.011469,-0.000522,1.182330,0.05
134,5.541667,-0.041123,-0.056695,3.953307,0.035204,-0.012610,-0.000558,1.182211,0.05
135,5.583333,-0.041079,-0.056383,3.954060,0.035161,-0.010913,-0.000605,1.182893,0.05
136,5.625000,-0.041239,-0.056184,3.955065,0.035070,-0.007350,-0.000835,1.182108,0.05
137,5.666667,-0.041145,-0.055897,3.956915,0.034976,-0.006500,-0.000679,1.182837,0.05
138,5.708333,-0.041064,-0.055478,3.958482,0.034902,-0.008627,0.000204,1.187828,0.05
139,5.750000,-0.041372,-0.055324,3.959866,0.034821,-0.010785,-0.000132,1.187525,0.05
140,5.791667,-0.041777,-0.055240,3.960674,0.034707,-0.012343,-0.000260,1.186518,0.05
141,5.833333,-0.042338,-0.055247,3.962275,0.034535,-0.013305,-0.000282,1.186329,0.05
