frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
1,0.000000,0.017367669,-0.044108112,4.014411499,-0.040453410,-0.017141273,-0.022598173,1.167386976,0.05
2,0.041667,0.018691087,-0.035425525,4.017485047,-0.040503909,-0.021920941,-0.022277463,1.168830616,0.05
3,0.083333,0.020082389,-0.026066107,4.020459303,-0.040769603,-0.028083038,-0.022104858,1.170538467,0.05
4,0.125000,0.021233918,-0.016461224,4.022838569,-0.041150677,-0.035860761,-0.021430377,1.170084559,0.05
5,0.166667,0.021997763,-0.006025544,4.024159759,-0.041762163,-0.046981868,-0.021373615,1.172830639,0.05
6,0.208333,0.022236083,0.002304828,4.024161269,-0.042609275,-0.058337759,-0.020869490,1.173033854,0.05
7,0.250000,0.022313926,0.009237205,4.022701335,-0.043689430,-0.068863828,-0.020414905,1.174669917,0.05
8,0.291667,0.024406908,0.013997806,4.019879114,-0.045211956,-0.075142255,-0.019842862,1.173197960,0.05
9,0.333333,0.024807898,0.017463259,4.016036918,-0.047121803,-0.078664302,-0.019518182,1.172244513,0.05
10,0.375000,0.023524097,0.019456565,4.011689515,-0.049273171,-0.080163731,-0.019655876,1.171466057,0.05
11,0.416667,0.023623513,0.020187924,4.007222572,-0.051462987,-0.079868189,-0.019492001,1.170105933,0.05
12,0.458333,0.024929593,0.020979382,4.002940489,-0.053629007,-0.078506780,-0.018951004,1.167340471,0.05
13,0.500000,0.025123030,0.021057803,3.998748120,-0.055766057,-0.078590256,-0.018689862,1.165977090,0.05
14,0.541667,0.024989021,0.020911796,3.994625816,-0.057800020,-0.080707218,-0.018470290,1.164951699,0.05
15,0.583333,0.023872230,0.020094621,3.990694705,-0.059764705,-0.084590389,-0.018420130,1.165451637,0.05
16,0.625000,0.024710428,0.019602295,3.987054275,-0.061636489,-0.088055251,-0.017703674,1.164225426,0.05
17,0.666667,0.024068218,0.017432691,3.983647450,-0.063645125,-0.090817199,-0.017293762,1.163538164,0.05
18,0.708333,0.021252489,0.012301938,3.980443334,-0.065934552,-0.092448015,-0.017101863,1.163623824,0.05
19,0.750000,0.016194418,0.003399381,3.977309616,-0.068637571,-0.091007273,-0.017141292,1.162810068,0.05
20,0.791667,0.011868664,-0.010392702,3.974215970,-0.071782004,-0.086370651,-0.017595793,1.161389376,0.05
21,0.833333,0.007162817,-0.025150069,3.971003669,-0.075125219,-0.079964141,-0.017985885,1.161265818,0.05
22,0.875000,0.002405211,-0.043190161,3.967354102,-0.078720202,-0.070463663,-0.018271811,1.158450771,0.05
23,0.916667,-0.006283716,-0.062610982,3.963037990,-0.082691264,-0.059704396,-0.019220298,1.157454482,0.05
24,0.958333,-0.016081604,-0.083519837,3.957629199,-0.086817008,-0.048472571,-0.019545720,1.153571689,0.05
25,1.000000,-0.028947166,-0.107567208,3.950599066,-0.091013322,-0.040389728,-0.019769923,1.151916124,0.05
26,1.041667,-0.042566009,-0.132147877,3.941584976,-0.095471501,-0.034112537,-0.020264066,1.148687268,0.05
27,1.083333,-0.056052176,-0.156289207,3.930292746,-0.100262306,-0.029236111,-0.020927762,1.146141867,0.05
28,1.125000,-0.069285643,-0.179855445,3.916683254,-0.104997653,-0.025653553,-0.020956848,1.141920510,0.05
29,1.166667,-0.082443429,-0.203012009,3.901052953,-0.109714883,-0.024072553,-0.021340745,1.137054088,0.05
30,1.208333,-0.095747543,-0.225935515,3.883901891,-0.114412481,-0.026308360,-0.021594095,1.133473275,0.05
31,1.250000,-0.109341086,-0.248709553,3.865732517,-0.119107134,-0.030878376,-0.021248620,1.128669598,0.05
32,1.291667,-0.123277686,-0.271315305,3.846999661,-0.123927817,-0.036159352,-0.020729837,1.123545067,0.05
33,1.333333,-0.137527779,-0.293661819,3.828140583,-0.128889112,-0.042333007,-0.020189800,1.119100308,0.05
34,1.375000,-0.152009326,-0.315625229,3.809610813,-0.134010755,-0.048199709,-0.019396367,1.114418624,0.05
35,1.416667,-0.166638302,-0.337076377,3.792014690,-0.138944379,-0.053377084,-0.015372581,1.113716956,0.05
36,1.458333,-0.181321568,-0.357901845,3.776456589,-0.142856727,-0.053886450,0.001646329,1.131247282,0.05
37,1.500000,-0.195971744,-0.378000058,3.764160219,-0.150313840,-0.058108020,-0.001398425,1.105112845,0.05
38,1.541667,-0.210490284,-0.397290032,3.755640217,-0.162189437,-0.068657718,-0.033327485,1.103225234,0.05
39,1.583333,-0.224785493,-0.415715401,3.750179332,-0.169354097,-0.083239955,-0.038350809,1.102763159,0.05
40,1.625000,-0.238781751,-0.433252732,3.746863242,-0.176315786,-0.105498462,-0.040752082,1.083495771,0.05
41,1.666667,-0.252418991,-0.449905410,3.745072064,-0.188316441,-0.131307486,-0.059209575,1.064437538,0.05
42,1.708333,-0.265653945,-0.465686582,3.744382142,-0.201522900,-0.156929669,-0.079090300,1.069557787,0.05
43,1.750000,-0.278463517,-0.480615182,3.744642212,-0.214544064,-0.181299392,-0.096592253,1.052844940,0.05
44,1.791667,-0.290828660,-0.494717051,3.745776022,-0.223030851,-0.200426876,-0.099167366,1.060501702,0.05
45,1.833333,-0.302716501,-0.508027120,3.747912303,-0.238224954,-0.220831017,-0.113872999,1.066850201,0.05
46,1.875000,-0.314081767,-0.520581107,3.751141595,-0.253672905,-0.248152667,-0.130383629,1.056232780,0.05
47,1.916667,-0.324865260,-0.532403885,3.755476540,-0.263348190,-0.274481813,-0.134241170,1.041797756,0.05
48,1.958333,-0.334992215,-0.543497879,3.761053992,-0.279754089,-0.299251978,-0.147034511,1.055588545,0.05
49,2.000000,-0.344412933,-0.553879187,3.768162649,-0.298244051,-0.321791144,-0.162573135,1.068200522,0.05
50,2.041667,-0.353098607,-0.563531007,3.776559377,-0.314311377,-0.345500704,-0.177647341,1.059352538,0.05
51,2.083333,-0.361015437,-0.572464894,3.785589841,-0.317892992,-0.363671811,-0.176533208,1.067709599,0.05
52,2.125000,-0.368156069,-0.580702707,3.794528145,-0.319775228,-0.384802816,-0.177926821,1.055659930,0.05
53,2.166667,-0.374514069,-0.588283938,3.802932451,-0.328309343,-0.407034519,-0.191844434,1.071802682,0.05
54,2.208333,-0.380097992,-0.595249974,3.810697099,-0.338069052,-0.430288476,-0.211626442,1.065167779,0.05
55,2.250000,-0.384935562,-0.601640769,3.817806856,-0.343742905,-0.447431526,-0.227475351,1.077219257,0.05
56,2.291667,-0.389088866,-0.607498227,3.824644194,-0.338639737,-0.464385866,-0.235821423,1.063544855,0.05
57,2.333333,-0.392626355,-0.612858690,3.831027917,-0.337953068,-0.482886585,-0.253261862,1.078389516,0.05
58,2.375000,-0.395605492,-0.617757477,3.836100315,-0.334618201,-0.508679577,-0.276343038,1.074613753,0.05
59,2.416667,-0.398077800,-0.622233809,3.839146744,-0.322400442,-0.529959883,-0.292305136,1.057066217,0.05
60,2.458333,-0.400093649,-0.626365021,3.840016684,-0.321991850,-0.541754416,-0.315022049,1.057122057,0.05
61,2.500000,-0.401699832,-0.630239884,3.839137107,-0.295210611,-0.537284710,-0.344778050,1.079310979,0.05
62,2.541667,-0.402930077,-0.633940128,3.837077865,-0.268671643,-0.532136015,-0.374299924,1.073439578,0.05
63,2.583333,-0.403835778,-0.637584786,3.834301732,-0.242404892,-0.526318491,-0.403558950,1.060494006,0.05
64,2.625000,-0.404462718,-0.641292058,3.831123457,-0.216438321,-0.519843379,-0.432528404,1.089136909,0.05
65,2.666667,-0.404851413,-0.645147709,3.827804095,-0.190797781,-0.512722900,-0.461183690,1.079210625,0.05
66,2.708333,-0.405041143,-0.649165587,3.824612624,-0.165506921,-0.504970156,-0.489502438,1.079939348,0.05
67,2.750000,-0.405095447,-0.653276617,3.821667907,-0.140587122,-0.496599015,-0.517464562,1.079345036,0.05
68,2.791667,-0.405091601,-0.657358844,3.818980009,-0.116057479,-0.487624011,-0.545052289,1.059010248,0.05
69,2.833333,-0.405095448,-0.661300663,3.816473692,-0.091934796,-0.478060234,-0.572250163,1.102821621,0.05
70,2.875000,-0.405173559,-0.665024822,3.814233592,-0.068233623,-0.467923227,-0.599045009,1.099613156,0.05
71,2.916667,-0.405362741,-0.668486124,3.812298897,-0.004637753,-0.454906477,-0.629962838,1.092401464,0.05
72,2.958333,-0.405660076,-0.671658392,3.810734695,0.008659274,-0.497693759,-0.784242831,1.029876422,0.05
73,3.000000,-0.406042536,-0.674529708,3.809607761,0.012727538,-0.524213637,-0.794167151,1.021011909,0.05
74,3.041667,-0.406469908,-0.677087803,3.808874631,-0.018646987,-0.551490700,-0.776393374,1.022268942,0.05
75,3.083333,-0.406895111,-0.679326448,3.808532010,-0.063435073,-0.583661355,-0.771285533,1.029706648,0.05
76,3.125000,-0.407251573,-0.681234076,3.808672789,-0.082828528,-0.619007964,-0.760909911,1.038734751,0.05
77,3.166667,-0.407489016,-0.682767811,3.809275821,-0.081600384,-0.683003733,-0.783173359,1.033393911,0.05
78,3.208333,-0.407543906,-0.683861323,3.810244835,-0.082379764,-0.708232858,-0.789092537,1.033983911,0.05
79,3.250000,-0.407372098,-0.684433856,3.811489663,-0.106145241,-0.726111970,-0.768572397,1.029238037,0.05
80,3.291667,-0.406950649,-0.684387805,3.812982965,-0.143840521,-0.750466418,-0.739441334,1.029389030,0.05
