frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,anchor_score,source,stable_local_x,stable_local_y,stable_local_z,visibility,anchor_update,keep_previous
1,0.000000,1,palm,left_hand,handle_loop,388,620.302,335.325,-0.053911,0.577625,palm_handle_from_stable_grasp_anchor,-0.088365,-0.020334,-0.003628,visible,1,0
2,0.041667,1,palm,left_hand,handle_loop,366,620.342,336.893,-0.044308,0.542703,palm_handle_from_stable_grasp_anchor,-0.086683,-0.023844,-0.003628,visible,1,0
3,0.083333,1,palm,left_hand,handle_loop,366,620.894,340.931,-0.029888,0.535812,palm_handle_from_stable_grasp_anchor,-0.086683,-0.023844,-0.003628,visible,1,0
4,0.125000,1,palm,left_hand,handle_loop,344,621.191,342.677,-0.004230,0.542396,palm_handle_from_stable_grasp_anchor,-0.084620,-0.027135,-0.003628,visible,1,0
5,0.166667,1,palm,left_hand,handle_loop,343,621.015,346.663,0.026532,0.541281,palm_handle_from_stable_grasp_anchor,-0.085350,-0.027652,-0.002595,visible,1,0
6,0.208333,1,palm,left_hand,handle_loop,322,622.411,348.746,0.066217,0.550763,palm_handle_from_stable_grasp_anchor,-0.082204,-0.030163,-0.003628,visible,1,0
7,0.250000,1,palm,left_hand,handle_loop,321,621.591,351.699,0.099134,0.573474,palm_handle_from_stable_grasp_anchor,-0.082870,-0.030760,-0.002595,visible,1,0
8,0.291667,1,palm,left_hand,handle_loop,321,622.824,353.819,0.129664,0.569942,palm_handle_from_stable_grasp_anchor,-0.082870,-0.030760,-0.002595,visible,1,0
9,0.333333,1,palm,left_hand,handle_loop,322,624.160,355.144,0.156926,0.577684,palm_handle_from_stable_grasp_anchor,-0.082204,-0.030163,-0.003628,visible,1,0
10,0.375000,1,palm,left_hand,handle_loop,322,624.104,356.207,0.177362,0.599145,palm_handle_from_stable_grasp_anchor,-0.082204,-0.030163,-0.003628,visible,1,0
11,0.416667,1,palm,left_hand,handle_loop,322,625.569,356.283,0.190247,0.607644,palm_handle_from_stable_grasp_anchor,-0.082204,-0.030163,-0.003628,visible,1,0
12,0.458333,1,palm,left_hand,handle_loop,344,628.278,357.699,0.195808,0.596517,palm_handle_from_stable_grasp_anchor,-0.084620,-0.027135,-0.003628,visible,1,0
13,0.500000,1,palm,left_hand,handle_loop,345,631.373,358.029,0.197861,0.598383,palm_handle_from_stable_grasp_anchor,-0.083683,-0.026470,-0.004366,visible,1,0
14,0.541667,1,palm,left_hand,handle_loop,323,635.534,356.857,0.195100,0.600279,palm_handle_from_stable_grasp_anchor,-0.081348,-0.029395,-0.004366,visible,1,0
15,0.583333,1,palm,left_hand,handle_loop,302,639.040,356.165,0.187966,0.614802,palm_handle_from_stable_grasp_anchor,-0.077833,-0.031045,-0.004751,visible,0,1
16,0.625000,1,palm,left_hand,handle_loop,258,644.627,354.325,0.178431,0.596443,palm_handle_from_stable_grasp_anchor,-0.072000,-0.035115,-0.004751,visible,0,1
17,0.666667,1,palm,left_hand,handle_loop,60,647.220,352.687,0.188974,0.588538,palm_handle_from_stable_grasp_anchor,-0.041663,-0.033913,-0.004751,visible,0,1
18,0.708333,1,palm,left_hand,handle_loop,16,648.265,352.366,0.163731,0.594277,palm_handle_from_stable_grasp_anchor,-0.036177,-0.029423,-0.004751,visible,0,1
19,0.750000,1,palm,left_hand,handle_loop,15,648.309,348.843,0.113389,0.602213,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
20,0.791667,1,palm,left_hand,handle_loop,15,648.960,343.733,0.057667,0.610160,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
21,0.833333,1,palm,left_hand,handle_loop,15,648.331,337.632,-0.002311,0.612029,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
22,0.875000,1,palm,left_hand,handle_loop,15,647.259,330.538,-0.070674,0.598182,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
23,0.916667,1,palm,left_hand,handle_loop,15,644.649,323.408,-0.145365,0.604447,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
24,0.958333,1,palm,left_hand,handle_loop,15,641.348,315.386,-0.218305,0.624262,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
25,1.000000,1,palm,left_hand,handle_loop,15,636.226,307.406,-0.284452,0.645200,palm_handle_from_stable_grasp_anchor,-0.035289,-0.030387,-0.004366,visible,0,1
26,1.041667,1,palm,left_hand,handle_loop,16,629.760,299.938,-0.337594,0.662305,palm_handle_from_stable_grasp_anchor,-0.036177,-0.029423,-0.004751,visible,0,1
27,1.083333,1,palm,left_hand,body_shell,192,608.337,303.946,0.313949,1.000000,palm_handle_from_stable_grasp_anchor,0.527135,0.037322,0.015472,hidden,0,1
28,1.125000,1,palm,left_hand,body_shell,220,602.378,292.976,0.087563,1.000000,palm_handle_from_stable_grasp_anchor,0.327280,0.023038,-0.150167,hidden,0,1
29,1.166667,1,palm,left_hand,body_shell,256,599.303,285.173,0.154939,1.000000,palm_handle_from_stable_grasp_anchor,0.218702,0.031695,-0.357966,hidden,0,1
30,1.208333,1,palm,left_hand,body_shell,296,592.611,272.940,0.121337,1.000000,palm_handle_from_stable_grasp_anchor,-0.057218,0.027443,-0.374740,hidden,0,1
31,1.250000,1,palm,left_hand,body_shell_or_occluded_handle_region,479,585.061,259.035,-0.189813,1.000000,palm_handle_from_stable_grasp_anchor,-0.086981,-0.006756,-0.044146,hidden,0,1
32,1.291667,1,palm,left_hand,body_shell_or_occluded_handle_region,496,581.783,257.229,0.127145,1.000000,palm_handle_from_stable_grasp_anchor,-0.314500,0.036702,-0.056096,hidden,0,1
33,1.333333,1,palm,left_hand,body_shell_or_occluded_handle_region,494,574.432,245.304,0.155270,1.000000,palm_handle_from_stable_grasp_anchor,-0.299320,0.032513,0.045678,hidden,0,1
34,1.375000,1,palm,left_hand,body_shell_or_occluded_handle_region,493,564.307,237.076,0.182464,1.000000,palm_handle_from_stable_grasp_anchor,-0.273642,0.035983,0.100668,hidden,0,1
35,1.416667,1,palm,left_hand,body_shell_or_occluded_handle_region,515,563.270,227.559,0.112153,1.000000,palm_handle_from_stable_grasp_anchor,-0.186412,0.023865,0.081457,hidden,0,1
