frame,time,object_contact_event,hand_mug_contact_state,nearest_articraft_part,semantic_contact_part,active_label,vlm_visibility,vlm_hand_contact_part,vlm_handle_contact,use_this_point_for_hand_attachment,use_previous_grasp_for_hand_attachment,rim_drinking_contact,frame_mode,stable_grasp_local_x,stable_grasp_local_y,stable_grasp_local_z,stable_grasp_conf,stable_grasp_source_frame,stable_grasp_object_part,stable_grasp_object_region,stable_grasp_hand_side,stable_grasp_primary_finger,stable_grasp_fingers,stable_grasp_type,vlm_keyframe_source_frame,vlm_keyframe_object_part,vlm_keyframe_object_region,vlm_keyframe_primary_finger,vlm_keyframe_contact_fingers,vlm_keyframe_grasp_type,current_candidate_local_x,current_candidate_local_y,current_candidate_local_z,hand_to_object_contact_px,hand_contact_3d_gap_m,hand_object_z_gap_m,hand_depth_alignment_needed,vlm_contact_gate,reason
1,0.000000,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.088365,-0.020334,-0.003628,0.577625,1,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm""]",pinch_handle,1,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm""]",pinch_handle,-0.088365,-0.020334,-0.003628,15.703,0.067838,-0.053911,0,,confirmed hand_handle_grasp updates stable object-local anchor
2,0.041667,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.086683,-0.023844,-0.003628,0.542703,2,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm""]",pinch_handle,1,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm""]",pinch_handle,-0.086683,-0.023844,-0.003628,15.449,0.060142,-0.044308,0,,confirmed hand_handle_grasp updates stable object-local anchor
3,0.083333,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.086683,-0.023844,-0.003628,0.535812,3,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,4,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.086683,-0.023844,-0.003628,16.151,0.052241,-0.029888,0,,confirmed hand_handle_grasp updates stable object-local anchor
4,0.125000,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.084620,-0.027135,-0.003628,0.542396,4,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,4,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.084620,-0.027135,-0.003628,15.699,0.042341,-0.004230,0,,confirmed hand_handle_grasp updates stable object-local anchor
5,0.166667,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.085350,-0.027652,-0.002595,0.541281,5,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,4,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.085350,-0.027652,-0.002595,15.376,0.049514,0.026532,0,,confirmed hand_handle_grasp updates stable object-local anchor
6,0.208333,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.082204,-0.030163,-0.003628,0.550763,6,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,7,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.082204,-0.030163,-0.003628,15.724,0.079124,0.066217,0,,confirmed hand_handle_grasp updates stable object-local anchor
7,0.250000,hand_handle_grasp,direct_hand_grasp_point,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,direct_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,7,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.082870,-0.030760,-0.002595,14.874,0.107457,0.099134,0,,confirmed hand_handle_grasp updates stable object-local anchor
8,0.291667,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,7,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.082870,-0.030760,-0.002595,15.377,0.136629,0.129664,1,,hidden/occluded/misaligned frame keeps previous stable grasp
9,0.333333,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,7,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.082204,-0.030163,-0.003628,15.799,0.163081,0.156926,1,,hidden/occluded/misaligned frame keeps previous stable grasp
10,0.375000,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,7,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,-0.082204,-0.030163,-0.003628,15.279,0.182542,0.177362,1,,hidden/occluded/misaligned frame keeps previous stable grasp
11,0.416667,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.082204,-0.030163,-0.003628,15.706,0.195341,0.190247,1,,hidden/occluded/misaligned frame keeps previous stable grasp
12,0.458333,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.084620,-0.027135,-0.003628,18.265,0.202312,0.195808,1,,hidden/occluded/misaligned frame keeps previous stable grasp
13,0.500000,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.083683,-0.026470,-0.004366,21.019,0.206168,0.197861,1,,hidden/occluded/misaligned frame keeps previous stable grasp
14,0.541667,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.081348,-0.029395,-0.004366,24.559,0.206276,0.195100,1,,hidden/occluded/misaligned frame keeps previous stable grasp
