frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
1,0.000000,0.007807242,0.447322,0.020700,1.1860,0,-0.005806,-0.3327,visible,-0.019752,-0.025556,-2.3178,0.007807242,0.447322,smooth_entry_physical_phase_no_hide
2,0.041667,-0.005382856,-0.308415,0.010892,0.6241,0,-0.002573,-0.1474,visible,-0.029607,-0.032179,-2.3207,-0.005382856,-0.308415,smooth_entry_physical_phase_no_hide
3,0.083333,-0.017185875,-0.984678,0.000692,0.0396,0,-0.001447,-0.0829,visible,-0.040067,-0.041513,-2.3359,-0.017185875,-0.984678,smooth_entry_physical_phase_no_hide
4,0.125000,-0.027678874,-1.585883,-0.010877,-0.6232,0,-0.000453,-0.0259,visible,-0.052004,-0.052456,-2.3578,-0.027678874,-1.585883,smooth_entry_physical_phase_no_hide
5,0.166667,-0.036938913,-2.116444,-0.022790,-1.3058,0,0.000410,0.0235,visible,-0.064507,-0.064098,-2.3928,-0.036938913,-2.116444,smooth_entry_physical_phase_no_hide
6,0.208333,-0.045043053,-2.580777,-0.034408,-1.9715,0,0.001409,0.0808,visible,-0.076942,-0.075536,-2.4413,-0.045043053,-2.580777,smooth_entry_physical_phase_no_hide
7,0.250000,-0.052068354,-2.983297,-0.044980,-2.5771,0,0.002672,0.1531,visible,-0.088553,-0.085891,-2.5032,-0.052068354,-2.983297,smooth_entry_physical_phase_no_hide
8,0.291667,-0.058091875,-3.328419,-0.052837,-3.0273,0,0.003328,0.1907,visible,-0.097892,-0.094579,-2.5905,-0.058091875,-3.328419,smooth_entry_physical_phase_no_hide
9,0.333333,-0.063190676,-3.620559,-0.057430,-3.2905,0,0.003349,0.1919,visible,-0.104362,-0.101031,-2.6999,-0.063190676,-3.620559,smooth_entry_physical_phase_no_hide
10,0.375000,-0.067441818,-3.864132,-0.058972,-3.3789,0,0.003064,0.1755,visible,-0.108034,-0.104988,-2.8231,-0.067441818,-3.864132,smooth_entry_physical_phase_no_hide
11,0.416667,-0.070922359,-4.063552,-0.057525,-3.2959,0,0.002240,0.1283,visible,-0.108772,-0.106545,-2.9486,-0.070922359,-4.063552,smooth_entry_physical_phase_no_hide
12,0.458333,-0.073709362,-4.223235,-0.053846,-3.0851,0,0.001031,0.0591,visible,-0.107268,-0.106243,-3.0727,-0.073709362,-4.223235,smooth_entry_physical_phase_no_hide
13,0.500000,-0.075879884,-4.347597,-0.049531,-2.8379,0,0.000378,0.0216,visible,-0.105103,-0.104727,-3.1952,-0.075879884,-4.347597,smooth_entry_physical_phase_no_hide
14,0.541667,-0.077510987,-4.441052,-0.045377,-2.5999,0,0.000716,0.0410,visible,-0.102994,-0.102282,-3.3117,-0.077510987,-4.441052,smooth_entry_physical_phase_no_hide
15,0.583333,-0.078679730,-4.508016,-0.040978,-2.3479,0,0.001767,0.1013,visible,-0.100573,-0.098814,-3.4243,-0.078679730,-4.508016,smooth_entry_physical_phase_no_hide
16,0.625000,-0.079463173,-4.552904,-0.034603,-1.9826,0,0.002253,0.1291,visible,-0.096091,-0.093848,-3.5315,-0.079463173,-4.552904,smooth_entry_physical_phase_no_hide
17,0.666667,-0.079938376,-4.580132,-0.026286,-1.5061,0,0.002643,0.1514,visible,-0.089810,-0.087177,-3.6466,-0.079938376,-4.580132,smooth_entry_physical_phase_no_hide
18,0.708333,-0.080182399,-4.594113,-0.015330,-0.8784,0,0.002266,0.1298,visible,-0.081175,-0.078917,-3.7778,-0.080182399,-4.594113,smooth_entry_physical_phase_no_hide
19,0.750000,-0.080272302,-4.599264,-0.001667,-0.0955,0,0.000154,0.0088,visible,-0.070247,-0.070093,-3.9326,-0.080272302,-4.599264,smooth_entry_physical_phase_no_hide
20,0.791667,-0.080285146,-4.600000,0.013677,0.7836,0,-0.005168,-0.2961,visible,-0.058073,-0.063231,-4.1128,-0.080285146,-4.600000,smooth_entry_physical_phase_no_hide
21,0.833333,-0.060629665,-3.473824,0.025601,1.4668,0,-0.013180,-0.7552,visible,-0.049504,-0.062663,-4.3044,-0.060629665,-3.473824,smooth_entry_physical_phase_no_hide
22,0.875000,-0.007070774,-0.405126,0.026935,1.5433,0,-0.022920,-1.3132,visible,-0.051762,-0.074636,-4.5103,-0.007070774,-0.405126,smooth_entry_physical_phase_no_hide
23,0.916667,0.072280205,4.141351,0.006919,0.3964,0,-0.028778,-1.6489,visible,-0.075700,-0.104361,-4.7379,0.072280205,4.141351,smooth_entry_physical_phase_no_hide
24,0.958333,0.169311949,9.700860,-0.044111,-2.5274,0,-0.018411,-1.0549,visible,-0.130554,-0.148784,-4.9742,0.169311949,9.700860,smooth_entry_physical_phase_no_hide
25,1.000000,0.275913134,15.808658,-0.128967,-7.3893,0,0.029967,1.7170,visible,-0.218210,-0.188872,-5.2147,0.275913134,15.808658,smooth_entry_physical_phase_no_hide
26,1.041667,0.383972435,22.000000,-0.237714,-13.6200,0,0.138214,7.9191,visible,-0.327055,-0.193738,-5.4701,0.383972435,22.000000,smooth_entry_physical_phase_no_hide
27,1.083333,0.506145483,29.000000,-0.360592,-20.6604,1,0.317681,18.2018,hidden,-0.444714,-0.142685,-5.7446,0.506145483,29.000000,smooth_entry_physical_phase_no_hide
28,1.125000,0.628318531,36.000000,-0.487713,-27.9439,1,0.551084,31.5748,hidden,-0.558612,-0.041615,-6.0159,0.628318531,36.000000,smooth_entry_physical_phase_no_hide
29,1.166667,0.750491578,43.000000,-0.613110,-35.1286,1,0.809223,46.3651,hidden,-0.661506,0.086291,-6.2862,0.750491578,43.000000,smooth_entry_physical_phase_no_hide
30,1.208333,0.872664626,50.000000,-0.733984,-42.0542,1,1.071711,61.4045,hidden,-0.750221,0.221463,-6.5554,0.872664626,50.000000,smooth_entry_physical_phase_no_hide
31,1.250000,0.994837674,57.000000,-0.846195,-48.4834,1,1.327426,76.0559,hidden,-0.822221,0.354261,-6.8243,0.994837674,57.000000,smooth_entry_physical_phase_no_hide
32,1.291667,1.117010721,64.000000,-0.951117,-54.4950,1,1.576110,90.3045,hidden,-0.879611,0.480360,-7.1005,1.117010721,64.000000,smooth_entry_physical_phase_no_hide
33,1.333333,1.239183769,71.000000,-1.051207,-60.2297,1,1.819985,104.2775,hidden,-0.924643,0.597106,-7.3848,1.239183769,71.000000,smooth_entry_physical_phase_no_hide
34,1.375000,1.361356817,78.000000,-1.147037,-65.7204,1,2.059599,118.0063,hidden,-0.958316,0.702249,-7.6783,1.361356817,78.000000,smooth_entry_physical_phase_no_hide
35,1.416667,1.483529864,85.000000,-1.241674,-71.1427,1,2.298021,131.6669,hidden,-0.981971,0.794025,-7.9609,1.483529864,85.000000,smooth_entry_physical_phase_no_hide
36,1.458333,1.605702912,92.000000,-1.338244,-76.6757,1,2.538375,145.4382,hidden,-0.995980,0.871020,-8.1851,1.605702912,92.000000,smooth_entry_physical_phase_no_hide
37,1.500000,1.727875959,99.000000,-1.442051,-82.6234,1,2.785967,159.6241,hidden,-0.999767,0.929702,-8.6123,1.727875959,99.000000,smooth_entry_physical_phase_no_hide
38,1.541667,1.850049007,106.000000,-1.561312,-89.4566,1,3.049003,174.6950,hidden,-0.988363,0.970066,-9.2928,1.850049007,106.000000,smooth_entry_physical_phase_no_hide
39,1.583333,1.972222055,113.000000,-1.716735,-98.3617,1,3.348095,191.8317,hidden,-0.950706,0.994088,-9.7033,1.972222055,113.000000,smooth_entry_physical_phase_no_hide
40,1.625000,2.094395102,120.000000,-2.046685,-117.2664,1,3.820940,218.9237,hidden,-0.794748,0.999632,-10.1022,2.094395102,120.000000,smooth_entry_physical_phase_no_hide
41,1.666667,2.216568150,127.000000,-2.735511,-156.7332,1,4.649107,266.3742,hidden,-0.216049,0.988091,-10.7897,2.216568150,127.000000,smooth_entry_physical_phase_no_hide
42,1.708333,2.331971280,133.612112,2.851430,163.3749,0,-0.808773,-46.3393,hidden,0.472113,0.963681,-11.5464,2.331971280,133.612112,smooth_entry_physical_phase_no_hide
43,1.750000,2.411342011,138.159720,2.206623,126.4302,0,-0.053268,-3.0520,visible,0.912565,0.933043,-12.2925,2.411342011,138.159720,smooth_entry_physical_phase_no_hide
44,1.791667,2.478296377,141.995923,2.243667,128.5527,0,0.000942,0.0540,visible,0.900517,0.900107,-12.7787,2.478296377,141.995923,smooth_entry_physical_phase_no_hide
45,1.833333,2.530727415,145.000000,2.316987,132.7536,0,0.008127,0.4657,visible,0.873736,0.869754,-13.6493,2.530727415,145.000000,smooth_entry_physical_phase_no_hide
46,1.875000,2.571501373,147.336176,2.402441,137.6497,0,0.001991,0.1141,hidden,0.837573,0.836483,-14.5344,2.571501373,147.336176,smooth_entry_physical_phase_no_hide
47,1.916667,2.605972009,149.311198,2.489125,142.6163,0,-0.003316,-0.1900,hidden,0.793060,0.795075,-15.0887,2.605972009,149.311198,smooth_entry_physical_phase_no_hide
48,1.958333,2.635763629,151.018132,2.570619,147.2856,0,-0.001286,-0.0737,visible,0.751760,0.752608,-16.0287,2.635763629,151.018132,smooth_entry_physical_phase_no_hide
49,2.000000,2.662500540,152.550044,2.647154,151.6707,0,0.011877,0.6805,visible,0.712239,0.703852,-17.0881,2.662500540,152.550044,smooth_entry_physical_phase_no_hide
50,2.041667,2.687807048,154.000000,2.727324,156.2641,0,0.039553,2.2662,visible,0.665811,0.635786,-18.0087,2.687807048,154.000000,smooth_entry_physical_phase_no_hide
51,2.083333,2.711775520,155.373292,2.828740,162.0748,0,0.079001,4.5264,visible,0.589747,0.524174,-18.2139,2.711775520,155.373292,smooth_entry_physical_phase_no_hide
52,2.125000,2.733741966,156.631877,3.053591,174.9579,0,0.029789,1.7068,visible,0.396570,0.369051,-18.3218,2.733741966,156.631877,smooth_entry_physical_phase_no_hide
