frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
1,0.000000,0.017367664,-0.044108112,4.014411499,-0.040453410,-2.317810,-0.017141273,-0.982123,-0.022598173,-1.294780,1.167386976,0.014894,0.8534,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
2,0.041667,0.018691080,-0.035425525,4.017485047,-0.040503909,-2.320703,-0.021920941,-1.255977,-0.022277463,-1.276405,1.168830616,0.008320,0.4767,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
3,0.083333,0.020082393,-0.026066106,4.020459303,-0.040769603,-2.335926,-0.028083038,-1.609040,-0.022104858,-1.266515,1.170538467,-0.000755,-0.0433,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
4,0.125000,0.021233924,-0.016461223,4.022838569,-0.041150677,-2.357760,-0.035860761,-2.054670,-0.021430377,-1.227870,1.170084559,-0.011329,-0.6491,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
5,0.166667,0.021997766,-0.006025543,4.024159759,-0.041762163,-2.392796,-0.046981868,-2.691863,-0.021373615,-1.224618,1.172830639,-0.022379,-1.2822,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
6,0.208333,0.022236084,0.002304828,4.024161269,-0.042609275,-2.441332,-0.058337759,-3.342507,-0.020869490,-1.195734,1.173033854,-0.032999,-1.8907,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
7,0.250000,0.022313931,0.009237205,4.022701335,-0.043689430,-2.503220,-0.068863828,-3.945607,-0.020414905,-1.169688,1.174669917,-0.042307,-2.4240,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
8,0.291667,0.024406915,0.013997806,4.019879114,-0.045211956,-2.590454,-0.075142255,-4.305334,-0.019842862,-1.136912,1.173197960,-0.049509,-2.8367,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
9,0.333333,0.024807903,0.017463259,4.016036918,-0.047121803,-2.699880,-0.078664302,-4.507132,-0.019518182,-1.118309,1.172244513,-0.054082,-3.0987,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
10,0.375000,0.023524096,0.019456564,4.011689515,-0.049273171,-2.823145,-0.080163731,-4.593043,-0.019655876,-1.126199,1.171466057,-0.055909,-3.2033,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
11,0.416667,0.023623513,0.020187924,4.007222572,-0.051462987,-2.948612,-0.079868189,-4.576110,-0.019492001,-1.116809,1.170105933,-0.055285,-3.1676,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
12,0.458333,0.024929595,0.020979382,4.002940489,-0.053629007,-3.072716,-0.078506780,-4.498107,-0.018951004,-1.085813,1.167340471,-0.052814,-3.0260,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
13,0.500000,0.025123034,0.021057803,3.998748120,-0.055766057,-3.195160,-0.078590256,-4.502890,-0.018689862,-1.070850,1.165977090,-0.049154,-2.8163,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
14,0.541667,0.024989016,0.020911796,3.994625816,-0.057800020,-3.311697,-0.080707218,-4.624183,-0.018470290,-1.058270,1.164951699,-0.044661,-2.5589,visible,m18_body_pose_plus_m17_handle_phase,unchanged,60,70,160,,,
