frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,-0.150343,-0.124897,3.975230,-0.209856,-0.093186,3.978070,-0.261001,-0.106696,3.933795,-0.250909,-0.089337,3.924567,-0.229178,-0.092946,3.934418,-0.216059,-0.081477,3.940441,-0.210631,-0.061092,3.947212,1,-0.687631,-0.005466,3.721536,-0.684915,0.060900,3.715960,-0.625860,0.100076,3.724253,-0.631249,0.127090,3.739958,-0.641017,0.129067,3.753642,-0.654535,0.122000,3.762896,-0.676153,0.110316,3.763113
2,0.083333,1,-0.148847,-0.122471,3.975850,-0.208650,-0.090632,3.979715,-0.259236,-0.101824,3.933053,-0.252740,-0.082424,3.925272,-0.229102,-0.087678,3.933980,-0.215416,-0.077303,3.940393,-0.210152,-0.056769,3.948175,1,-0.688898,-0.006776,3.722895,-0.685537,0.060198,3.716518,-0.626094,0.099330,3.725578,-0.631761,0.126535,3.740667,-0.641917,0.127900,3.754333,-0.655796,0.121130,3.763384,-0.677772,0.108923,3.763717
3,0.125000,1,-0.147096,-0.118051,3.978262,-0.206534,-0.086061,3.982580,-0.256213,-0.093619,3.932537,-0.254454,-0.072546,3.927085,-0.227877,-0.080182,3.934574,-0.213347,-0.071461,3.941383,-0.208198,-0.050826,3.949839,1,-0.690238,-0.008282,3.724771,-0.686530,0.059030,3.717729,-0.626313,0.098042,3.728022,-0.632466,0.125545,3.742079,-0.643115,0.126043,3.755700,-0.657571,0.119731,3.764509,-0.680085,0.106454,3.765087
4,0.166667,1,-0.145289,-0.113038,3.982254,-0.203884,-0.080306,3.985767,-0.252696,-0.084594,3.932736,-0.254745,-0.063483,3.929652,-0.224864,-0.073485,3.936869,-0.209667,-0.066263,3.943542,-0.204428,-0.045703,3.951515,1,-0.691284,-0.009533,3.727122,-0.687575,0.057619,3.719371,-0.626410,0.096491,3.730645,-0.633040,0.124156,3.743658,-0.643999,0.123889,3.757261,-0.658993,0.117989,3.766027,-0.681983,0.103578,3.766925
5,0.208333,1,-0.142488,-0.108082,3.986710,-0.201049,-0.074202,3.988341,-0.249297,-0.076774,3.933284,-0.253089,-0.056519,3.931886,-0.220388,-0.068545,3.940367,-0.204991,-0.062310,3.946231,-0.199398,-0.042074,3.953019,1,-0.691073,-0.011106,3.729460,-0.688526,0.056061,3.720861,-0.626558,0.094900,3.732111,-0.633490,0.122253,3.744492,-0.644514,0.121641,3.758143,-0.659740,0.115999,3.767180,-0.682950,0.101283,3.768389
6,0.250000,1,-0.140057,-0.102670,3.989990,-0.198306,-0.068298,3.989913,-0.246313,-0.070668,3.933813,-0.248779,-0.051335,3.933113,-0.215159,-0.064636,3.944380,-0.200015,-0.059000,3.949235,-0.193747,-0.039428,3.955059,1,-0.692048,-0.012908,3.731503,-0.689470,0.054436,3.721887,-0.627043,0.093417,3.731968,-0.634144,0.119830,3.744352,-0.645103,0.119586,3.758078,-0.660122,0.113951,3.767676,-0.683128,0.100132,3.769139
7,0.291667,1,-0.138102,-0.097972,3.991647,-0.195793,-0.062807,3.990721,-0.243883,-0.065814,3.934370,-0.242327,-0.047039,3.933554,-0.210000,-0.060621,3.948012,-0.195416,-0.055387,3.952204,-0.188228,-0.036814,3.957902,1,-0.692536,-0.014355,3.732651,-0.690597,0.052872,3.722797,-0.628163,0.092174,3.731253,-0.635393,0.117293,3.744170,-0.646207,0.118071,3.757940,-0.660680,0.112005,3.768272,-0.682969,0.099633,3.769939
8,0.333333,1,-0.135940,-0.093538,3.991808,-0.193623,-0.057911,3.991144,-0.241958,-0.061865,3.934815,-0.236237,-0.042725,3.933537,-0.205631,-0.056078,3.950037,-0.191698,-0.051111,3.954135,-0.183708,-0.033662,3.960543,1,-0.693461,-0.015851,3.732911,-0.692066,0.051457,3.724124,-0.630154,0.091296,3.731575,-0.637482,0.115368,3.745121,-0.647986,0.117257,3.758862,-0.661886,0.110341,3.769857,-0.683094,0.098944,3.771685
9,0.375000,1,-0.134255,-0.089172,3.992731,-0.191952,-0.053946,3.991271,-0.240287,-0.058922,3.934608,-0.232861,-0.038311,3.932945,-0.202405,-0.051594,3.949761,-0.188950,-0.046769,3.954259,-0.180700,-0.030247,3.961737,1,-0.694627,-0.017428,3.734296,-0.693901,0.050195,3.725927,-0.633010,0.090841,3.733603,-0.640304,0.114563,3.747422,-0.650363,0.116996,3.761024,-0.664074,0.109178,3.772370,-0.684236,0.097851,3.774256
10,0.416667,1,-0.133267,-0.085791,3.994048,-0.190815,-0.051135,3.991064,-0.238720,-0.057036,3.933752,-0.232424,-0.034718,3.931802,-0.200357,-0.048097,3.947903,-0.187047,-0.043251,3.952973,-0.179168,-0.027191,3.961369,1,-0.696192,-0.018623,3.736697,-0.695897,0.049073,3.727814,-0.636391,0.090767,3.736637,-0.643337,0.114778,3.750327,-0.653071,0.116980,3.763677,-0.667237,0.108629,3.774982,-0.686784,0.096782,3.776692
11,0.458333,1,-0.131658,-0.083239,3.993871,-0.190083,-0.049408,3.990630,-0.237261,-0.055893,3.932837,-0.233523,-0.032803,3.930456,-0.199331,-0.045991,3.945780,-0.185851,-0.040975,3.951316,-0.178752,-0.024854,3.960267,1,-0.696702,-0.019818,3.737998,-0.697679,0.048127,3.729506,-0.639777,0.090950,3.739482,-0.645928,0.115504,3.753059,-0.655652,0.117032,3.766124,-0.670749,0.108567,3.777147,-0.690229,0.096102,3.778369
12,0.500000,1,-0.130766,-0.081558,3.994179,-0.189590,-0.048485,3.990095,-0.235919,-0.055280,3.932055,-0.234476,-0.032444,3.928987,-0.199014,-0.044886,3.943772,-0.185173,-0.039737,3.949761,-0.178985,-0.023228,3.958982,1,-0.697295,-0.020467,3.739650,-0.698944,0.047429,3.731070,-0.642598,0.091252,3.741424,-0.647673,0.116228,3.755339,-0.657648,0.117092,3.768223,-0.673708,0.108509,3.779068,-0.693421,0.095507,3.779653
13,0.541667,1,-0.130250,-0.080400,3.993951,-0.189171,-0.047985,3.989598,-0.234898,-0.055367,3.931398,-0.234131,-0.032904,3.927443,-0.198964,-0.044228,3.941801,-0.184764,-0.039139,3.948380,-0.179324,-0.022245,3.957633,1,-0.697835,-0.020842,3.740581,-0.699599,0.046996,3.732578,-0.644346,0.091570,3.742534,-0.648544,0.116649,3.757219,-0.658858,0.117000,3.770112,-0.675622,0.107939,3.781073,-0.695508,0.094407,3.781177
14,0.583333,1,-0.129668,-0.080028,3.994393,-0.188789,-0.047714,3.989414,-0.234595,-0.056232,3.931245,-0.232528,-0.033701,3.926424,-0.198895,-0.044020,3.940447,-0.184544,-0.039125,3.947541,-0.179437,-0.022013,3.956531,1,-0.697140,-0.021031,3.741351,-0.699694,0.046780,3.733868,-0.644861,0.091833,3.743215,-0.648768,0.116763,3.758654,-0.659313,0.116626,3.771757,-0.676456,0.106937,3.782964,-0.696300,0.092862,3.782910
