frame,time,delta_x,delta_y,delta_z,delta_norm_m,body_center_err_before_px,body_center_err_after_px,contact_err_before_px,contact_err_after_px
1,0.000000,-0.003119383,-0.023754937,0.000009816,0.023958875,8.981676,0.196780,14.242087,11.895598
2,0.041667,-0.002021871,-0.017561041,0.000004116,0.017677052,6.793317,0.319001,12.314026,10.780956
3,0.083333,-0.000865123,-0.010855004,0.000002454,0.010889424,4.074812,0.091396,11.255112,10.810658
4,0.125000,0.000050787,-0.004086551,0.000015545,0.004086896,1.655964,0.166579,9.970466,9.778112
5,0.166667,0.000593250,0.003409968,-0.000013458,0.003461215,1.192767,0.125958,9.993311,9.695861
6,0.208333,0.000642912,0.008833718,-0.000031496,0.008857139,3.096851,0.141836,10.456607,9.629383
7,0.250000,0.000586426,0.013043298,-0.000050111,0.013056570,4.563418,0.278297,10.953403,9.168405
8,0.291667,0.002625145,0.015408682,-0.000056735,0.015630806,5.519416,0.192177,12.620062,9.622927
9,0.333333,0.003089250,0.016933770,-0.000059927,0.017213356,6.246917,0.055744,13.697474,10.429800
10,0.375000,0.002019593,0.017548181,-0.000066299,0.017664139,6.318292,0.173715,14.026689,10.877124
11,0.416667,0.002514137,0.017549776,-0.000057116,0.017729038,6.391649,0.121625,15.261316,12.249690
12,0.458333,0.004438545,0.018342452,-0.000026981,0.018871856,6.816911,0.119065,18.742352,15.391699
13,0.500000,0.005529766,0.019243356,-0.000012829,0.020022118,7.204745,0.150403,21.626658,17.969041
14,0.541667,0.006632890,0.020843294,-0.000020394,0.021873238,7.946368,0.116064,25.294826,21.217836
15,0.583333,0.007156489,0.022815705,-0.000043713,0.023911789,8.676835,0.139850,28.177776,23.710306
16,0.625000,0.010104450,0.026296193,-0.000048815,0.028170767,10.308121,0.083190,32.334676,26.532878
17,0.666667,0.012121371,0.029451163,-0.000059285,0.031848111,11.713766,0.085201,23.785020,16.331922
18,0.708333,0.012593112,0.031179077,-0.000072887,0.033626279,12.263798,0.143630,23.865101,16.050392
19,0.750000,0.011517263,0.030829951,-0.000072501,0.032911070,11.978142,0.194386,24.910798,17.632044
20,0.791667,0.011923687,0.027404748,-0.000077066,0.029886459,10.789501,0.256664,26.514565,19.894838
21,0.833333,0.012755027,0.024879278,-0.000078225,0.027958457,10.303622,0.080055,27.279444,21.015342
22,0.875000,0.014394640,0.020927510,-0.000062052,0.025400200,9.235201,0.225270,27.919081,21.654035
23,0.916667,0.013012632,0.017373237,-0.000048305,0.021706227,7.753805,0.314934,27.662134,22.183205
24,0.958333,0.011453251,0.013970233,0.000004977,0.018065004,6.598179,0.158868,26.970572,22.340297
