frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,646.282,342.010,646.477,343.329,646.477,343.329,center,center,649.000,364.241,363.000,22.231,20.912,bottom_percentile_95,633.395,339.551,articraft_surface_contact_region_keyframe_affine,3.975267,3.952837,-0.022430,0.737496,0.000000,1.000000,0.000000,0.100000,0.000000,4.936664,0.027000,5.000000,8.000000,left_hand,0.577625,605.141,331.234,3.937950,contact_region:left:rigid_keyframe_surface_region,3.696158,3.700736,4.564546,3.975267,0.000000,1.241124,0.197965,0.000000
2,0.041667,646.777,345.064,646.894,345.566,646.894,345.566,center,center,648.000,366.536,366.000,21.472,20.970,bottom_percentile_95,633.422,346.660,articraft_surface_contact_region_keyframe_affine,3.945346,3.911709,-0.033637,0.789140,0.000000,1.000000,0.000000,0.100000,0.000000,3.685887,0.054000,5.000000,8.000000,left_hand,0.542703,605.556,332.416,3.938897,contact_region:left:rigid_keyframe_surface_region,3.677196,3.704381,4.481573,3.945346,0.000000,0.536086,0.094422,0.000000
3,0.083333,647.311,348.711,647.275,348.453,647.275,348.453,center,center,648.000,369.567,370.000,20.856,21.115,bottom_percentile_95,634.293,346.358,articraft_surface_contact_region_keyframe_affine,4.028830,3.922138,-0.106692,0.800020,0.000000,1.000000,0.000000,0.100000,0.000000,1.727978,0.149500,5.000000,8.000000,left_hand,0.535812,606.048,334.570,3.942269,contact_region:left:rigid_keyframe_surface_region,3.719203,3.690793,4.097136,4.028830,0.000000,0.432571,0.000000,0.000000
4,0.125000,647.691,352.146,647.687,352.326,647.687,352.326,center,center,648.000,373.673,373.000,21.527,21.347,bottom_percentile_95,634.300,354.415,articraft_surface_contact_region_keyframe_affine,3.999371,3.763888,-0.235483,0.772399,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.435000,5.000000,8.000000,left_hand,0.542396,606.550,337.011,3.947435,contact_region:left:rigid_keyframe_surface_region,3.710387,3.673381,3.975267,3.999371,0.000000,0.672752,0.000000,0.000000
5,0.166667,647.891,356.052,647.873,355.892,647.873,355.892,center,center,649.000,377.638,378.000,21.586,21.746,bottom_percentile_95,632.345,356.752,articraft_surface_contact_region_keyframe_affine,3.926271,3.732633,-0.193638,0.804413,0.000000,1.000000,0.000000,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,left_hand,0.541281,607.451,339.423,3.953271,contact_region:left:rigid_keyframe_surface_region,3.718960,3.656049,3.866462,3.926271,0.000000,0.362181,0.593275,0.000000
6,0.208333,648.043,359.011,647.896,359.067,647.896,359.067,center,center,648.000,381.207,381.000,22.196,22.140,bottom_percentile_95,636.049,362.252,articraft_surface_contact_region_keyframe_affine,3.788032,3.647315,-0.140717,0.821011,0.000000,1.000000,0.689115,0.689115,0.411727,0.112000,0.000000,5.000000,8.000000,left_hand,0.550763,608.230,341.953,3.958012,contact_region:left:rigid_keyframe_surface_region,3.622857,3.642227,3.674928,3.788032,0.689115,0.206800,0.934379,0.000000
7,0.250000,647.931,361.471,648.229,361.422,648.229,361.422,center,center,649.000,383.871,384.000,22.400,22.449,bottom_percentile_95,633.003,364.723,articraft_surface_contact_region_keyframe_affine,3.713842,3.570927,-0.142915,0.787939,0.000000,1.000000,1.000000,0.787939,0.411727,0.112000,0.161000,5.000000,8.000000,left_hand,0.573474,608.846,344.032,3.960579,contact_region:left:rigid_keyframe_surface_region,3.568905,3.620991,3.653141,3.713842,1.000000,0.128857,0.846270,0.000000
8,0.291667,648.866,363.224,648.689,363.290,648.689,363.290,center,center,652.000,385.846,386.000,22.622,22.555,bottom_percentile_95,633.046,365.309,articraft_surface_contact_region_keyframe_affine,3.654944,3.590154,-0.064790,0.806560,0.000000,1.000000,0.366333,0.366333,0.000000,0.371000,0.375000,5.000000,8.000000,left_hand,0.569942,609.603,345.966,3.961878,contact_region:left:rigid_keyframe_surface_region,3.574839,3.601812,3.606754,3.654944,0.366333,0.154476,0.821915,0.000000
9,0.333333,649.075,364.632,648.861,364.560,648.861,364.560,center,center,650.000,387.188,387.000,22.556,22.628,bottom_percentile_95,635.581,364.310,articraft_surface_contact_region_keyframe_affine,3.639261,3.599464,-0.039798,0.802212,0.000000,1.000000,0.366333,0.366333,0.000000,0.502000,0.033000,5.000000,8.000000,left_hand,0.577684,610.159,347.825,3.963605,contact_region:left:rigid_keyframe_surface_region,3.580436,3.576898,3.626431,3.639261,0.366333,0.187790,0.958503,0.000000
10,0.375000,648.495,365.282,648.598,365.293,648.598,365.293,center,center,649.000,387.777,388.000,22.495,22.484,bottom_percentile_95,633.202,367.257,articraft_surface_contact_region_keyframe_affine,3.618851,3.584974,-0.033877,0.791058,0.000000,1.000000,0.998753,0.791058,0.000000,0.371000,0.317000,5.000000,8.000000,left_hand,0.599145,610.525,349.202,3.965478,contact_region:left:rigid_keyframe_surface_region,3.570551,3.560902,3.602152,3.618851,0.998753,0.222876,0.490563,0.000000
11,0.416667,648.573,365.599,648.696,365.646,648.696,365.646,center,center,649.000,387.985,388.000,22.386,22.340,bottom_percentile_95,637.079,362.062,articraft_surface_contact_region_keyframe_affine,3.611024,3.604620,-0.006404,0.780956,0.414646,1.000000,1.000000,0.780956,0.000000,0.502000,0.033000,5.000000,8.000000,left_hand,0.607644,611.090,350.197,3.965414,contact_region:left:rigid_keyframe_surface_region,3.576134,3.553689,3.604620,3.611024,1.000000,0.014571,0.247891,0.000000
12,0.458333,649.155,365.881,649.009,365.836,649.009,365.836,center,center,650.500,387.992,388.000,22.111,22.156,bottom_percentile_95,638.084,367.351,articraft_surface_contact_region_keyframe_affine,3.591539,3.563021,-0.028518,0.797434,0.115314,1.000000,0.113528,0.113528,0.000000,0.293128,0.249000,5.000000,8.000000,left_hand,0.596517,611.351,350.836,3.965457,contact_region:left:rigid_keyframe_surface_region,3.544561,3.549501,3.575597,3.591539,0.113528,0.008048,0.036081,0.000000
13,0.500000,649.171,365.891,649.222,365.928,649.222,365.928,center,center,649.000,388.076,388.000,22.185,22.147,bottom_percentile_95,637.603,367.386,articraft_surface_contact_region_keyframe_affine,3.566669,3.537833,-0.028837,0.802373,0.009527,1.000000,0.000000,0.100000,0.000000,0.299366,0.292000,5.000000,8.000000,left_hand,0.598383,611.472,351.266,3.964915,contact_region:left:rigid_keyframe_surface_region,3.510888,3.543806,3.546322,3.566669,0.000000,0.075771,0.225012,0.000000
14,0.541667,649.205,365.877,649.184,365.818,649.184,365.818,center,center,649.000,387.993,388.000,22.116,22.175,bottom_percentile_95,637.618,367.370,articraft_surface_contact_region_keyframe_affine,3.559882,3.542969,-0.016912,0.801219,0.104194,1.000000,0.000000,0.100000,0.000000,0.295439,0.149000,5.000000,8.000000,left_hand,0.600279,611.595,351.374,3.964757,contact_region:left:rigid_keyframe_surface_region,3.518412,3.542928,3.554328,3.559882,0.000000,0.007010,0.000000,0.000000
15,0.583333,648.674,365.593,649.036,365.686,649.036,365.686,center,center,649.000,387.936,388.000,22.343,22.249,bottom_percentile_95,635.500,363.084,articraft_surface_contact_region_keyframe_affine,3.572111,3.573136,0.001025,0.768044,0.038316,1.000000,0.353154,0.353154,0.000000,0.431000,0.135000,5.000000,8.000000,left_hand,0.614802,611.543,351.247,3.964395,contact_region:left:rigid_keyframe_surface_region,3.545531,3.537083,3.582117,3.572111,0.353154,0.064276,0.018544,0.000000
16,0.625000,649.105,365.437,648.938,365.444,648.938,365.444,center,center,651.000,387.925,388.000,22.488,22.481,bottom_percentile_95,633.934,365.297,articraft_surface_contact_region_keyframe_affine,3.572450,3.561067,-0.011383,0.772287,0.000000,1.000000,0.008081,0.100000,0.000000,0.333000,0.156000,5.000000,8.000000,left_hand,0.596443,611.361,350.861,3.964044,contact_region:left:rigid_keyframe_surface_region,3.540566,3.544671,3.572728,3.572450,0.008081,0.074762,0.891594,0.000000
17,0.666667,648.772,364.728,648.654,364.657,648.654,364.657,center,center,649.000,387.468,387.000,22.740,22.811,bottom_percentile_95,637.127,360.975,articraft_surface_contact_region_keyframe_affine,3.593751,3.603036,0.009285,0.804340,0.000000,1.000000,0.848407,0.804340,0.485261,0.098000,0.291000,5.000000,8.000000,left_hand,0.588538,610.796,350.168,3.962118,contact_region:left:rigid_keyframe_surface_region,3.564409,3.559134,3.611180,3.593751,0.848407,0.468371,1.000000,0.000000
