frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
1,0.000000,0.016499,-0.047250,3.857159,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,646.282,342.010,,646.282,342.010,,364.241,364.241,646.282,342.010,646.282,342.010,364.241,364.241,0.000261,0.261445,0.261445,0.000000,3.975267,-0.118108,-0.271684,0,1
2,0.041667,0.017795,-0.039218,3.856284,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,646.777,345.064,,646.777,345.065,,366.537,366.536,646.777,345.064,646.777,345.065,366.536,366.537,0.000623,0.218671,0.218671,0.000000,3.945346,-0.089062,-0.168992,0,0
3,0.083333,0.019191,-0.029635,3.855011,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,647.311,348.711,,647.311,348.710,,369.566,369.567,647.311,348.711,647.311,348.710,369.567,369.566,0.000657,0.210316,0.210316,0.000000,4.028830,-0.173819,-0.231188,0,0
4,0.125000,0.020180,-0.020607,3.853347,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,647.691,352.146,,647.691,352.146,,373.673,373.673,647.691,352.146,647.691,352.146,373.673,373.673,0.000046,0.218301,0.218301,0.000000,3.999371,-0.146024,-0.226865,0,0
5,0.166667,0.020693,-0.010353,3.851208,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,647.891,356.052,,647.891,356.052,,377.638,377.638,647.891,356.052,647.891,356.052,377.638,377.638,0.000042,0.593275,0.216940,0.000000,3.926271,-0.075063,-0.157698,0,1
6,0.208333,0.021077,-0.002592,3.848593,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,648.043,359.011,,648.043,359.011,,381.207,381.207,648.043,359.011,648.043,359.011,381.207,381.207,0.000089,0.934379,0.228496,0.000000,3.788032,0.060561,-0.117932,0,1
7,0.250000,0.020770,0.003852,3.846021,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,647.931,361.471,,647.931,361.471,,383.871,383.871,647.931,361.471,647.931,361.471,383.871,383.871,0.000167,0.846270,0.256348,0.000000,3.713842,0.132179,-0.103728,0,1
8,0.291667,0.023211,0.008442,3.845083,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,648.866,363.224,,648.865,363.224,,385.846,385.846,648.866,363.224,648.865,363.224,385.846,385.846,0.000824,0.821915,0.251998,0.000000,3.654944,0.190139,-0.012548,0,1
9,0.333333,0.023750,0.012122,3.843784,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,649.075,364.632,,649.074,364.632,,387.188,387.188,649.075,364.632,649.074,364.632,387.188,387.188,0.000759,0.958503,0.261507,0.000000,3.639261,0.204523,0.004630,0,1
10,0.375000,0.022226,0.013819,3.842097,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,648.495,365.282,,648.496,365.282,,387.777,387.777,648.495,365.282,648.496,365.282,387.777,387.777,0.000705,0.490563,0.287718,0.000000,3.618851,0.223246,-0.000822,0,1
