frame,time,mug_axial_phase_rad,mug_axial_phase_deg,visual_handle_policy,visual_handle_source,visual_handle_drawn,contact_region_drawn,contact_region_source
1,0.0,0.8801293266944565,50.42769584528318,visible:left,vlm,1,0,no_active_hand_contact
2,0.041666666666666664,0.8646356855500184,49.53997559841663,visible:left,vlm,1,0,no_active_hand_contact
3,0.08333333333333333,0.850180153650026,48.71173462993034,visible:left,vlm,1,0,no_active_hand_contact
4,0.125,0.8378700395457788,48.00641704643251,visible:left,vlm,1,0,no_active_hand_contact
5,0.16666666666666666,0.8289553751238832,47.495644399282455,visible:left,vlm,1,0,no_active_hand_contact
6,0.20833333333333334,0.8249118257230048,47.263966084359474,visible:left,vlm,1,0,no_active_hand_contact
7,0.25,0.8275384385728795,47.41445991507212,visible:left,vlm,1,0,no_active_hand_contact
8,0.2916666666666667,0.8390766572447337,48.07555114806841,visible:left,vlm,1,0,no_active_hand_contact
9,0.3333333333333333,0.8623584288005057,49.409498397801876,visible:left,vlm,1,0,no_active_hand_contact
10,0.375,0.9009931443334791,51.62310454052977,visible:left,vlm,1,0,no_active_hand_contact
11,0.4166666666666667,0.9596057063227601,54.98135696896449,visible:left,vlm,1,0,no_active_hand_contact
12,0.4583333333333333,1.04374657000983,59.80227334281916,visible:left,vlm,1,0,no_active_hand_contact
13,0.5,1.1517771327728523,65.9919686475635,visible:left,vlm,1,0,no_active_hand_contact
14,0.5416666666666666,1.2768099636875831,73.15582215955041,visible:left,vlm,1,0,no_active_hand_contact
15,0.5833333333333334,1.4130759147300838,80.963286045622,visible:left,vlm,1,0,no_active_hand_contact
16,0.625,1.5555399258604634,89.12587261589753,visible:left,vlm,1,0,no_active_hand_contact
17,0.6666666666666666,1.6994048500131909,97.36872558981852,visible:left,vlm,1,0,no_active_hand_contact
18,0.7083333333333334,1.8399505038951238,105.42139838615974,visible:left,vlm,1,0,no_active_hand_contact
