frame,segment,phase_rad,phase_deg,hidden_alpha,transition_alpha,transition_side,hand_u,body_center_u,hand_signed_side_px,far_side_target,far_sign,anchor_signed_side_px,satisfies_far_side,grasp_source
27,1-60,-0.8016664302087491,-45.93210302828028,0.7083333333333333,0.2916666666666667,left,590.328,622.0,-31.672000000000025,left/back,-1.0,-22.707328091735803,1,updated_from_confirmed_handle_frame_7
28,1-60,-1.0962840832033454,-62.81245111492047,0.7666666666666667,0.2333333333333333,left,587.454,616.5,-29.04600000000005,left/back,-1.0,-12.91474528508786,1,updated_from_confirmed_handle_frame_7
29,1-60,-1.3401579035626912,-76.7853917552426,0.825,0.175,left,584.247,611.0,-26.753000000000043,left/back,-1.0,-3.800136889237592,1,updated_from_confirmed_handle_frame_7
30,1-60,-1.457042012967552,-83.4823579162865,0.8833333333333333,0.11666666666666665,left,581.765,604.5,-22.735000000000014,left/back,-1.0,-0.01555345685460452,0,updated_from_confirmed_handle_frame_7
31,1-60,-1.5209006483782925,-87.1411882107866,0.9416666666666667,0.05833333333333333,left,578.884,599.5,-20.615999999999985,left/back,-1.0,2.327356765599461,0,updated_from_confirmed_handle_frame_7
32,1-60,-1.534463513325826,-87.91828313038619,1.0,0.0,left,575.702,593.5,-17.798000000000002,left/back,-1.0,2.84703135416396,0,updated_from_confirmed_handle_frame_7
33,1-60,-1.498784526625005,-85.87402777512575,1.0,0.0,left,572.991,586.5,-13.509000000000015,left/back,-1.0,1.5715328102205603,0,updated_from_confirmed_handle_frame_7
34,1-60,-1.431702703584875,-82.03052243288286,1.0,0.0,left,570.834,581.5,-10.666000000000054,left/back,-1.0,-0.8296083715895293,0,updated_from_confirmed_handle_frame_7
35,1-60,-1.3446674740909166,-77.0437711139265,1.0,0.0,left,568.803,575.0,-6.197000000000003,left/back,-1.0,-3.4479144846914096,1,updated_from_confirmed_handle_frame_7
36,1-60,-1.2712074505125233,-72.83482179995305,1.0,0.0,left,566.669,570.0,-3.3310000000000173,left/back,-1.0,-6.506849426833924,1,updated_from_confirmed_handle_frame_7
37,1-60,-1.247184254719495,-71.45839407059609,1.0,0.0,left,563.803,563.5,0.30299999999999727,left/back,-1.0,-7.66677087211815,1,updated_from_confirmed_handle_frame_7
38,1-60,-1.2747213050385684,-73.03615083411837,1.0,0.0,right,560.285,557.0,3.284999999999968,right/back,1.0,-6.3674919746579235,0,updated_from_confirmed_handle_frame_7
39,1-60,-1.3212463004416215,-75.70183671257887,1.0,0.0,right,557.129,551.0,6.129000000000019,right/back,1.0,-4.6686477044270305,0,updated_from_confirmed_handle_frame_7
40,1-60,-1.3457436483983973,-77.10543135976556,1.0,0.0,right,553.753,545.5,8.253000000000043,right/back,1.0,-4.165901533393821,0,updated_from_confirmed_handle_frame_7
41,1-60,-1.3579798699224621,-77.8065152102816,1.0,0.0,right,550.43,539.0,11.42999999999995,right/back,1.0,-2.6965742441507246,0,updated_from_confirmed_handle_frame_7
42,1-60,-1.3657324667314217,-78.25070628770158,1.0,0.0,right,546.936,534.5,12.436000000000035,right/back,1.0,-2.4102205093630573,0,updated_from_confirmed_handle_frame_7
43,1-60,-1.3761491135443413,-78.84753618676027,0.9416666666666667,0.05833333333333333,right,543.423,530.0,13.423000000000002,right/back,1.0,-1.9469785074830952,0,updated_from_confirmed_handle_frame_7
44,1-60,-1.435850078572501,-82.26814951573195,0.8833333333333333,0.11666666666666665,right,539.456,525.0,14.456000000000017,right/back,1.0,0.21500730675575142,0,updated_from_confirmed_handle_frame_7
45,1-60,-1.5478873023893223,-88.68740958879839,0.825,0.175,right,536.691,520.5,16.19100000000003,right/back,1.0,4.263500432457249,1,updated_from_confirmed_handle_frame_7
46,1-60,-1.711053275859146,-98.03613122876286,0.7666666666666667,0.2333333333333333,right,533.63,515.5,18.129999999999995,right/back,1.0,10.232214512540736,1,updated_from_confirmed_handle_frame_7
47,1-60,-1.9237122195504959,-110.22059117798743,0.7083333333333333,0.2916666666666667,right,530.957,512.0,18.956999999999994,right/back,1.0,16.098793988820717,1,updated_from_confirmed_handle_frame_7
