frame,time,mug_axial_phase_rad,mug_axial_phase_deg,vlm_visibility,vlm_hand_contact_part,vlm_handle_contact,visibility_alpha,source,reprojection_error_px
1,0.0,0.020700382656390737,1.186044560516997,visible,handle,True,1.0,recovered_from_M15_anchor_projection,6.308938789384597e-05
2,0.041667,0.010892463823628962,0.6240922055928706,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0001367878813326377
3,0.083333,0.0006917384023550355,0.03963369098206594,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0002630788717500722
4,0.125,-0.010876819690982309,-0.6231958628180746,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00018080988291523347
5,0.166667,-0.0227896641800851,-1.305751574039346,visible,handle,True,1.0,recovered_from_M15_anchor_projection,5.461728235094059e-05
6,0.208333,-0.03440840227422415,-1.9714562301013872,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00030760851666877104
7,0.25,-0.044979557459688735,-2.5771388068063428,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0004011741277627064
8,0.291667,-0.05283686907980378,-3.0273296009580344,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00017929015039454816
9,0.333333,-0.05743024009630826,-3.2905103739414576,visible,handle,True,1.0,recovered_from_M15_anchor_projection,4.130163053819306e-05
10,0.375,-0.05897242377678191,-3.37887099006655,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0002888273446313331
11,0.416667,-0.05752509469897671,-3.29594514234175,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0003227861266476306
12,0.458333,-0.05384586754163223,-3.0851409543559964,visible,handle,True,1.0,recovered_from_M15_anchor_projection,2.822433778858325e-06
13,0.5,-0.04953126238520422,-2.837932288627289,visible,handle,True,1.0,recovered_from_M15_anchor_projection,9.017813018993155e-05
14,0.541667,-0.045376596110129785,-2.599887445780185,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0002257352387450765
15,0.583333,-0.040978119451104966,-2.3478732969312603,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00042049006396976864
16,0.625,-0.034602669883063264,-1.9825869441839667,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00013360965830437895
17,0.666667,-0.026285991101013817,-1.5060763504065318,visible,handle,True,1.0,recovered_from_M15_anchor_projection,5.2115579179372334e-05
18,0.708333,-0.01533033761229019,-0.8783636436948916,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00015516817302285713
19,0.75,-0.0016671815800832768,-0.09552246822072362,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0003498255942186015
20,0.791667,0.013676727814143863,0.7836187812996271,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0002036107386204752
21,0.833333,0.025601155680722076,1.4668381711627472,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0004979638583897559
22,0.875,0.02693490923732611,1.543256620866721,visible,handle,True,0.8333333333333334,recovered_from_M15_anchor_projection,0.0004313433477436607
23,0.916667,0.006918548864794261,0.39640365030773794,visible,handle,True,0.6666666666666666,recovered_from_M15_anchor_projection,9.614873412175816e-05
24,0.958333,-0.04411077730219137,-2.527361370457033,visible,handle,True,0.5,recovered_from_M15_anchor_projection,0.0003702760343003154
25,1.0,-0.1289670231663167,-7.389266123795862,visible,handle,True,0.3333333333333333,recovered_from_M15_anchor_projection,4.737432408386524e-05
26,1.041667,-0.23771383403718893,-13.619999422204222,visible,handle,True,0.16666666666666666,recovered_from_M15_anchor_projection,7.134954348096791e-05
27,1.083333,-0.3605921607840745,-20.660408938430265,hidden,body,False,0.2916666666666667,recovered_from_M15_anchor_projection,0.0004010244766989821
28,1.125,-0.4877134625679558,-27.943923016855525,hidden,body,False,0.2333333333333333,recovered_from_M15_anchor_projection,0.00040661403894790964
29,1.166667,-0.6131096450892888,-35.12859504238005,hidden,body,False,0.175,recovered_from_M15_anchor_projection,8.735326959944158e-05
30,1.208333,-0.7339840109010667,-42.05418605471533,hidden,body,False,0.11666666666666665,recovered_from_M15_anchor_projection,2.035165225629112e-05
31,1.25,-0.8461950115691037,-48.48340280793351,hidden,body,False,0.05833333333333333,recovered_from_M15_anchor_projection,0.0002678762562132575
32,1.291667,-0.9511169624634834,-54.49498777246034,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.00043653262783932003
33,1.333333,-1.0512071488932624,-60.229733025564265,hidden,body,False,0.0,recovered_from_M15_anchor_projection,7.197758850584931e-05
34,1.375,-1.147036904111185,-65.72037355132301,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.00012144375876445115
35,1.416667,-1.241673763588661,-71.14266618575503,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.00038259838452197426
36,1.458333,-1.3382441195604755,-76.67574000901598,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.0003078948195369726
37,1.5,-1.4420507425663824,-82.62342139276008,hidden,body,False,0.0,recovered_from_M15_anchor_projection,3.86438090913942e-05
38,1.541667,-1.561312193327082,-89.45659917995545,hidden,body,False,0.0,recovered_from_M15_anchor_projection,9.446591446707557e-05
39,1.583333,-1.7167351907091912,-98.36168096922316,hidden,body,False,0.0,recovered_from_M15_anchor_projection,8.555999735438904e-05
40,1.625,-2.046684907025366,-117.26640716567876,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.00048022029479498444
41,1.666667,-2.7355105002220066,-156.7332064764416,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.00048675263345569915
42,1.708333,2.851429697876485,163.37488726658603,hidden,body,False,0.0,recovered_from_M15_anchor_projection,0.0002794490971667211
43,1.75,2.206622964365888,126.43018283481203,hidden,body,False,0.05833333333333333,recovered_from_M15_anchor_projection,0.00011895553916465514
44,1.791667,2.2436670048937257,128.55265001316872,hidden,body,False,0.11666666666666665,recovered_from_M15_anchor_projection,0.0002776514356612021
45,1.833333,2.3169869235610046,132.75357190704625,hidden,body,False,0.175,recovered_from_M15_anchor_projection,0.0006150774341639552
46,1.875,2.4024406216295464,137.64970815015892,hidden,body,False,0.2333333333333333,recovered_from_M15_anchor_projection,0.0001551939457119662
47,1.916667,2.4891246101349678,142.61633484288012,hidden,body,False,0.2916666666666667,recovered_from_M15_anchor_projection,0.00014517537603144583
48,1.958333,2.5706192960357317,147.2856363977382,visible,handle,True,0.16666666666666666,recovered_from_M15_anchor_projection,8.30195950858266e-06
49,2.0,2.6471538368409977,151.6707425728517,visible,handle,True,0.3333333333333333,recovered_from_M15_anchor_projection,3.548711292667908e-05
50,2.041667,2.72732380215571,156.2641432290949,visible,handle,True,0.5,recovered_from_M15_anchor_projection,0.00024557519236474235
51,2.083333,2.8287397431717114,162.0748486246595,visible,handle,True,0.6666666666666666,recovered_from_M15_anchor_projection,6.705573531128216e-05
52,2.125,3.0535908406809575,174.95786753082385,visible,handle,True,0.8333333333333334,recovered_from_M15_anchor_projection,3.138741457368715e-05
53,2.166667,-2.9740763916997413,-170.40202519389183,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0003694645895861999
54,2.208333,-2.740414784700396,-157.01420127858486,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.00022951350509447607
55,2.25,-2.681850949401282,-153.65874068384633,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.000200287188516074
56,2.291667,-2.6895531717013945,-154.10004551451433,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0001364448364412401
57,2.333333,-2.7196059008282303,-155.82194005633193,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0004529431817260199
58,2.375,-2.7567700550461516,-157.95128924219213,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0004474951477912786
59,2.416667,-2.7924952560844063,-159.9981924839405,visible,handle,True,1.0,recovered_from_M15_anchor_projection,0.0003461158704773279
60,2.458333,-2.825940729627129,-161.91447696175499,visible,handle,True,1.0,recovered_from_M15_anchor_projection,1.1926596940756109e-05
61,2.5,2.8075508483658673,160.86081437973795,visible,handle,True,0.8333333333333334,recovered_from_M15_anchor_projection,9.269861496426822e-06
62,2.541667,2.817030340063024,161.40394924591433,visible,handle,True,0.6666666666666666,recovered_from_M15_anchor_projection,0.00018519139817964184
63,2.583333,2.8286291612718166,162.068512748505,visible,handle,True,0.5,recovered_from_M15_anchor_projection,0.0004347239590019006
