frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
1,right_hand,touch,0.0659,0.0484,0.0450,1.23
2,right_hand,touch,0.0661,0.0484,0.0450,1.22
3,right_hand,touch,0.0658,0.0483,0.0450,1.19
4,right_hand,touch,0.0658,0.0484,0.0450,1.17
5,right_hand,touch,0.0648,0.0479,0.0450,1.11
6,right_hand,touch,0.0652,0.0482,0.0450,1.12
7,right_hand,touch,0.0662,0.0489,0.0450,1.13
8,right_hand,touch,0.0636,0.0481,0.0450,0.96
9,right_hand,touch,0.0605,0.0474,0.0450,0.74
10,right_hand,touch,0.0587,0.0468,0.0450,0.60
11,right_hand,touch,0.0619,0.0481,0.0450,0.67
12,right_hand,touch,0.0580,0.0475,0.0450,0.55
13,right_hand,touch,0.0559,0.0461,0.0450,0.40
14,right_hand,touch,0.0649,0.0468,0.0450,0.65
15,right_hand,touch,0.0817,0.0510,0.0450,1.10
19,right_hand,touch,0.0801,0.0520,0.0450,1.15
20,right_hand,touch,0.0677,0.0491,0.0450,0.81
21,right_hand,touch,0.0538,0.0470,0.0450,0.30
22,right_hand,touch,0.0431,0.0462,0.0450,0.22
23,right_hand,touch,0.0356,0.0460,0.0450,0.56
24,right_hand,touch,0.0317,0.0460,0.0450,0.77
25,right_hand,touch,0.0300,0.0460,0.0450,0.89
26,right_hand,touch,0.0303,0.0460,0.0450,0.92
27,right_hand,touch,0.0319,0.0467,0.0450,0.90
28,right_hand,touch,0.0271,0.0459,0.0450,1.19
29,right_hand,touch,0.0272,0.0458,0.0450,1.40
30,right_hand,touch,0.0286,0.0459,0.0450,1.39
31,right_hand,touch,0.0296,0.0461,0.0450,1.32
32,right_hand,touch,0.0296,0.0469,0.0450,1.40
33,right_hand,touch,0.0216,0.0457,0.0450,1.82
34,right_hand,touch,0.0203,0.0458,0.0450,1.95
35,right_hand,touch,0.0194,0.0458,0.0450,2.04
36,right_hand,touch,0.0194,0.0458,0.0450,2.05
37,right_hand,touch,0.0201,0.0458,0.0450,2.01
38,right_hand,touch,0.0224,0.0459,0.0450,1.87
39,right_hand,touch,0.0246,0.0459,0.0450,1.74
40,right_hand,touch,0.0249,0.0459,0.0450,1.71
41,right_hand,touch,0.0238,0.0458,0.0450,1.76
42,right_hand,touch,0.0239,0.0459,0.0450,1.73
43,right_hand,touch,0.0247,0.0459,0.0450,1.66
44,right_hand,penetration,0.0251,0.0458,0.0450,1.62
45,right_hand,penetration,0.0249,0.0457,0.0450,1.62
46,right_hand,penetration,0.0257,0.0458,0.0450,1.56
47,right_hand,penetration,0.0259,0.0458,0.0450,1.51
48,right_hand,penetration,0.0249,0.0458,0.0450,1.51
49,right_hand,penetration,0.0246,0.0457,0.0450,1.53
50,right_hand,touch,0.0253,0.0459,0.0450,1.50
51,right_hand,touch,0.0257,0.0459,0.0450,1.49
52,right_hand,touch,0.0251,0.0459,0.0450,1.54
53,right_hand,touch,0.0240,0.0459,0.0450,1.60
54,right_hand,touch,0.0230,0.0458,0.0450,1.68
55,right_hand,touch,0.0232,0.0458,0.0450,1.74
56,right_hand,touch,0.0244,0.0459,0.0450,1.74
57,right_hand,touch,0.0238,0.0459,0.0450,1.70
58,right_hand,touch,0.0223,0.0459,0.0450,1.89
59,right_hand,touch,0.0194,0.0458,0.0450,2.13
60,right_hand,touch,0.0163,0.0458,0.0450,2.28
61,right_hand,touch,0.0133,0.0459,0.0450,2.30
62,right_hand,touch,0.0095,0.0458,0.0450,2.45
63,right_hand,touch,0.0088,0.0457,0.0450,2.58
64,right_hand,touch,0.0110,0.0454,0.0450,2.64
65,right_hand,touch,0.0188,0.0464,0.0450,2.14
66,right_hand,touch,0.0215,0.0458,0.0450,2.09
67,right_hand,touch,0.0235,0.0459,0.0450,2.07
68,right_hand,touch,0.0222,0.0459,0.0450,2.23
69,right_hand,touch,0.0216,0.0458,0.0450,2.38
70,right_hand,touch,0.0212,0.0458,0.0450,2.48
71,right_hand,touch,0.0217,0.0458,0.0450,2.54
72,right_hand,touch,0.0213,0.0458,0.0450,2.59
73,right_hand,touch,0.0218,0.0458,0.0450,2.64
74,right_hand,touch,0.0215,0.0458,0.0450,2.73
75,right_hand,touch,0.0214,0.0457,0.0450,2.81
76,right_hand,touch,0.0206,0.0457,0.0450,3.20
77,right_hand,touch,0.0203,0.0456,0.0450,3.93
78,right_hand,touch,0.0207,0.0456,0.0450,4.60
79,right_hand,touch,0.0206,0.0457,0.0450,4.98
80,right_hand,touch,0.0215,0.0456,0.0450,5.21
81,right_hand,touch,0.0232,0.0454,0.0450,5.28
82,right_hand,touch,0.0194,0.0458,0.0450,4.77
83,right_hand,touch,0.0183,0.0457,0.0450,4.53
84,right_hand,touch,0.0159,0.0456,0.0450,4.08
85,right_hand,touch,0.0117,0.0458,0.0450,2.92
86,right_hand,touch,0.0118,0.0458,0.0450,2.48
87,right_hand,touch,0.0134,0.0457,0.0450,2.41
88,right_hand,touch,0.0164,0.0458,0.0450,2.36
89,right_hand,touch,0.0158,0.0458,0.0450,2.30
90,right_hand,touch,0.0112,0.0457,0.0450,2.39
91,right_hand,touch,0.0131,0.0458,0.0450,2.31
92,right_hand,touch,0.0154,0.0458,0.0450,2.22
93,right_hand,touch,0.0165,0.0458,0.0450,2.11
94,right_hand,touch,0.0180,0.0458,0.0450,2.00
95,right_hand,touch,0.0199,0.0459,0.0450,1.95
96,right_hand,touch,0.0210,0.0466,0.0450,2.11
97,right_hand,touch,0.0118,0.0455,0.0450,2.76
98,right_hand,touch,0.0111,0.0458,0.0450,3.03
99,right_hand,touch,0.0112,0.0457,0.0450,3.36
100,right_hand,touch,0.0119,0.0457,0.0450,3.64
101,right_hand,touch,0.0145,0.0454,0.0450,3.93
102,right_hand,touch,0.0270,0.0459,0.0450,3.21
103,right_hand,touch,0.0327,0.0458,0.0450,2.70
104,right_hand,touch,0.0359,0.0459,0.0450,2.17
105,right_hand,touch,0.0386,0.0459,0.0450,1.88
106,right_hand,touch,0.0387,0.0459,0.0450,1.66
107,right_hand,touch,0.0375,0.0460,0.0450,1.56
108,right_hand,touch,0.0358,0.0456,0.0450,1.61
109,right_hand,touch,0.0333,0.0459,0.0450,1.05
110,right_hand,touch,0.0329,0.0461,0.0450,0.72
111,right_hand,touch,0.0311,0.0459,0.0450,0.75
112,right_hand,touch,0.0330,0.0460,0.0450,0.65
113,right_hand,touch,0.0363,0.0460,0.0450,0.48
114,right_hand,touch,0.0422,0.0460,0.0450,0.47
115,right_hand,touch,0.0625,0.0493,0.0450,0.89
116,right_hand,touch,0.0661,0.0493,0.0450,0.98
117,right_hand,touch,0.0599,0.0481,0.0450,0.76
118,right_hand,touch,0.0549,0.0466,0.0450,0.56
119,right_hand,touch,0.0543,0.0464,0.0450,0.55
120,right_hand,touch,0.0572,0.0471,0.0450,0.78
121,right_hand,touch,0.0655,0.0503,0.0450,1.19
122,right_hand,touch,0.0702,0.0498,0.0450,1.30
123,right_hand,touch,0.0673,0.0480,0.0450,1.03
124,right_hand,touch,0.0626,0.0475,0.0450,0.77
125,right_hand,touch,0.0584,0.0467,0.0450,0.59
126,right_hand,touch,0.0598,0.0470,0.0450,0.62
127,right_hand,touch,0.0640,0.0473,0.0450,0.79
128,right_hand,touch,0.0696,0.0473,0.0450,1.08
129,right_hand,touch,0.0819,0.0532,0.0450,1.56
134,right_hand,touch,0.0845,0.0497,0.0450,1.15
135,right_hand,touch,0.0821,0.0479,0.0450,1.18
136,right_hand,touch,0.0821,0.0480,0.0450,1.28
137,right_hand,touch,0.0848,0.0527,0.0450,1.48
138,right_hand,touch,0.0835,0.0549,0.0450,2.23
139,right_hand,touch,0.0817,0.0512,0.0450,2.50
