frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
1,0.000000,1.089948,2.044911,0.594176,1.397289,3785,0.320592,0.3727,0.0000,mask
2,0.033333,1.089742,2.045270,0.665243,1.320327,3838,0.621941,0.7287,0.0000,mask
3,0.066667,1.091654,2.047398,0.726237,1.254599,3853,0.621930,0.7259,0.0000,mask
4,0.100000,1.093486,2.049837,0.763692,1.214751,3852,0.622184,0.7244,0.0000,mask
5,0.133333,1.087783,2.046565,0.775083,1.203443,3862,0.631878,0.7286,0.0000,mask
6,0.166667,1.086328,2.046608,0.768170,1.212123,3883,0.629415,0.7286,0.0000,mask
7,0.200000,1.084236,2.046230,0.757164,1.225285,3881,0.654131,0.7202,0.0000,mask
8,0.233333,1.079230,2.043675,0.756201,1.227561,3905,0.339019,0.3857,0.0000,mask
9,0.266667,1.071080,2.038461,0.770521,1.213171,3949,0.624439,0.7338,0.0000,mask
10,0.300000,1.063986,2.033405,0.793164,1.189489,4007,0.649280,0.7311,0.0000,mask
11,0.333333,1.067244,2.036152,0.812398,1.169125,4007,0.649030,0.7357,0.0000,mask
12,0.366667,1.053966,2.025366,0.822140,1.158858,3930,0.647270,0.7203,0.0000,mask
13,0.400000,1.049580,2.022288,0.824893,1.156497,4076,0.610478,0.7024,0.0000,mask
14,0.433333,1.074545,2.044380,0.826958,1.155776,4158,0.580898,0.6669,0.0000,mask
15,0.466667,1.068470,2.041747,0.832388,1.152366,4226,0.622285,0.6921,0.0000,mask
16,0.500000,1.026006,2.008469,0.840848,1.145754,4141,0.678975,0.7105,0.0000,mask
17,0.533333,1.035105,2.016755,0.849955,1.136962,4370,0.649393,0.7231,0.0000,mask
18,0.566667,1.062467,2.038213,0.858499,1.126086,4402,0.615862,0.7078,0.0000,mask
19,0.600000,1.086288,2.054569,0.866764,1.113014,4509,0.608586,0.7118,0.0000,mask
20,0.633333,1.091328,2.054014,0.874329,1.099835,4513,0.620639,0.6877,0.0000,mask
21,0.666667,1.099885,2.057591,0.878835,1.090974,4575,0.568895,0.6716,0.0000,mask
22,0.700000,1.108186,2.062582,0.877130,1.090558,4594,0.584417,0.6642,0.0000,mask
23,0.733333,1.092397,2.047458,0.867325,1.099994,4664,0.582413,0.6555,0.0000,mask
24,0.766667,1.087075,2.041797,0.850148,1.117623,4505,0.525117,0.5814,0.0000,mask
25,0.800000,1.109897,2.059807,0.829141,1.139546,4552,0.490025,0.5655,0.0000,mask
26,0.833333,1.091580,2.044221,0.809323,1.160779,4597,0.474270,0.5554,0.0000,mask
27,0.866667,1.052668,2.013584,0.794323,1.177426,4526,0.447688,0.5043,0.0000,mask
28,0.900000,1.039776,2.004325,0.783846,1.189301,4569,0.467445,0.5239,0.0000,mask
29,0.933333,1.052836,2.015140,0.773633,1.200630,4646,0.473655,0.5175,0.0000,mask
30,0.966667,1.048834,2.012600,0.757334,1.218282,4722,0.442202,0.5126,0.0000,mask
31,1.000000,1.007774,1.983427,0.728056,1.249711,4742,0.463312,0.5218,0.0000,mask
32,1.033333,0.987622,1.973136,0.679843,1.301167,4596,0.501739,0.5628,0.0049,mask
33,1.066667,1.021560,1.998564,0.611064,1.374326,4558,0.475563,0.5277,0.0000,mask
34,1.100000,0.995534,1.988637,0.528565,1.462010,4577,0.322956,0.3653,0.0057,mask
35,1.133333,0.985112,1.989020,0.447507,1.548176,4793,0.198472,0.2307,0.0000,mask
36,1.166667,0.988008,1.994964,0.384241,1.615331,4792,0.175008,0.1980,0.0000,mask
37,1.200000,0.993952,1.999451,0.346925,1.654624,4685,0.147969,0.1675,0.0000,mask
38,1.233333,0.999455,2.001623,0.331687,1.670117,4695,0.219690,0.2481,0.0000,mask
39,1.266667,1.006579,2.003386,0.326907,1.674328,4690,0.182449,0.2117,0.0000,mask
40,1.300000,1.009068,2.003779,0.320960,1.679908,4627,0.207843,0.2332,0.0000,mask
41,1.333333,1.007350,2.003554,0.307848,1.693443,4744,0.206069,0.2277,0.0000,mask
42,1.366667,0.998944,2.002129,0.288981,1.713453,4769,0.171869,0.1941,0.0000,mask
43,1.400000,0.981269,1.998659,0.271687,1.732061,4785,0.147544,0.1646,0.0000,mask
44,1.433333,0.969677,1.996534,0.265345,1.739235,4759,0.141619,0.1507,0.0000,mask
45,1.466667,0.967904,1.995532,0.277245,1.727185,4787,0.142011,0.1520,0.0000,mask
46,1.500000,0.984378,1.998210,0.310487,1.692501,4836,0.178100,0.1942,0.0017,mask
47,1.533333,0.986682,1.995463,0.363510,1.636619,4836,0.183871,0.2013,0.0036,mask
48,1.566667,0.987159,1.990751,0.429399,1.566622,4829,0.200988,0.2172,0.0042,mask
49,1.600000,0.996461,1.989449,0.496194,1.495000,4840,0.400223,0.4338,0.0002,mask
50,1.633333,0.997112,1.984726,0.551428,1.434891,4919,0.411303,0.4550,0.0000,mask
51,1.666667,1.004553,1.984549,0.588742,1.393127,4845,0.441967,0.4793,0.0000,mask
52,1.700000,1.010129,1.984180,0.609943,1.368059,4938,0.426519,0.4732,0.0000,mask
53,1.733333,1.024423,1.989855,0.620971,1.353718,4961,0.436513,0.4830,0.0000,mask
54,1.766667,1.013704,1.980418,0.627120,1.344704,4881,0.465180,0.5031,0.0000,mask
55,1.800000,1.013440,1.977741,0.631633,1.337618,4963,0.445484,0.4911,0.0000,mask
56,1.833333,1.010700,1.973631,0.636429,1.330392,4964,0.458835,0.5021,0.0000,mask
57,1.866667,1.016351,1.977142,0.642611,1.321846,4982,0.461082,0.5145,0.0229,mask
58,1.900000,1.012961,1.972655,0.650595,1.311525,4990,0.451739,0.5090,0.0230,mask
59,1.933333,1.026995,1.977584,0.660306,1.299453,4996,0.453419,0.4968,0.0000,mask
60,1.966667,1.032453,1.979154,0.671071,1.286304,4885,0.459930,0.4945,0.0000,mask
61,2.000000,1.029061,1.976966,0.681395,1.273690,4923,0.478946,0.5313,0.0229,mask
62,2.033333,1.030662,1.974229,0.689395,1.263696,4907,0.472187,0.5119,0.0000,mask
63,2.066667,1.035853,1.976445,0.693729,1.257844,4812,0.476265,0.5160,0.0000,mask
64,2.100000,1.028405,1.971706,0.694162,1.256400,4824,0.472299,0.5230,0.0157,mask
65,2.133333,1.032509,1.972343,0.691687,1.258170,4817,0.479700,0.5233,0.0000,mask
66,2.166667,1.034526,1.972838,0.688388,1.260683,4792,0.457250,0.4989,0.0000,mask
67,2.200000,1.036568,1.973005,0.686635,1.261262,4843,0.470383,0.5171,0.0000,mask
68,2.233333,1.045659,1.977740,0.687661,1.258681,4843,0.453762,0.5016,0.0000,mask
69,2.266667,1.047276,1.977392,0.690732,1.254005,4827,0.478951,0.5235,0.0000,mask
70,2.300000,1.051391,1.979142,0.693903,1.249579,4817,0.485471,0.5321,0.0000,mask
71,2.333333,1.057599,1.982865,0.695840,1.246945,4817,0.483694,0.5315,0.0000,mask
72,2.366667,1.056693,1.982078,0.696939,1.245627,4801,0.482386,0.5247,0.0000,mask
73,2.400000,1.065034,1.987995,0.698694,1.243862,4766,0.487176,0.5262,0.0000,mask
74,2.433333,1.051887,1.978912,0.702177,1.240302,4761,0.484407,0.5291,0.0000,mask
75,2.466667,1.055624,1.981500,0.707256,1.234903,4765,0.490232,0.5344,0.0000,mask
76,2.500000,1.052435,1.978922,0.712977,1.228560,4758,0.501867,0.5459,0.0000,mask
77,2.533333,1.055628,1.980596,0.718283,1.222356,4759,0.500048,0.5442,0.0000,mask
78,2.566667,1.052406,1.977468,0.722352,1.217261,4749,0.505099,0.5524,0.0000,mask
79,2.600000,1.057939,1.980724,0.724622,1.214118,4760,0.513031,0.5592,0.0000,mask
80,2.633333,1.057736,1.980210,0.724923,1.213433,4737,0.517241,0.5650,0.0000,mask
81,2.666667,1.057338,1.980146,0.723677,1.214974,4747,0.515969,0.5637,0.0000,mask
82,2.700000,1.057229,1.980883,0.721796,1.217780,4750,0.507471,0.5534,0.0000,mask
83,2.733333,1.054019,1.979832,0.720195,1.220733,4765,0.511624,0.5537,0.0000,mask
84,2.766667,1.052854,1.980558,0.719320,1.223218,4782,0.507944,0.5539,0.0000,mask
85,2.800000,1.053964,1.983127,0.718926,1.225405,4787,0.517228,0.5586,0.0000,mask
86,2.833333,1.041405,1.976016,0.718065,1.228220,4807,0.520511,0.5683,0.0000,mask
87,2.866667,1.037353,1.975117,0.715369,1.233027,4813,0.522035,0.5720,0.0000,mask
88,2.900000,1.038744,1.978197,0.709811,1.240885,4841,0.499782,0.5456,0.0000,mask
89,2.933333,1.044645,1.984532,0.701682,1.251524,4831,0.507421,0.5508,0.0000,mask
90,2.966667,1.036299,1.980960,0.693131,1.262669,4793,0.490011,0.5355,0.0000,mask
91,3.000000,1.024905,1.975285,0.687534,1.270629,4796,0.493255,0.5371,0.0000,mask
92,3.033333,1.022650,1.975560,0.687782,1.272201,4804,0.506929,0.5609,0.0000,mask
93,3.066667,1.025479,1.978907,0.694555,1.266655,4836,0.520211,0.5749,0.0000,mask
94,3.100000,1.026484,1.980767,0.705694,1.256384,4859,0.518412,0.5724,0.0000,mask
95,3.133333,1.019138,1.976606,0.717031,1.245853,4870,0.530752,0.5905,0.0000,mask
96,3.166667,1.005837,1.969205,0.724439,1.239339,4821,0.510692,0.5792,0.0113,mask
97,3.200000,1.022186,1.981055,0.725986,1.238745,4808,0.485981,0.5437,0.0022,mask
98,3.233333,1.008151,1.974460,0.722336,1.243338,4837,0.470442,0.5463,0.0286,mask
99,3.266667,1.013314,1.980194,0.714933,1.251701,4764,0.437488,0.5176,0.0408,mask
100,3.300000,0.998957,1.978624,0.704235,1.263453,4849,0.421348,0.5398,0.1152,mask
101,3.333333,1.005116,1.978386,0.690631,1.278162,4775,0.454178,0.5500,0.0605,mask
102,3.366667,0.998293,1.969847,0.676994,1.292723,4821,0.418297,0.4843,0.0126,mask
103,3.400000,1.032744,1.992083,0.668858,1.301324,4871,0.410685,0.4673,0.0000,mask
104,3.433333,1.036723,1.994630,0.671088,1.298897,4892,0.407145,0.4717,0.0000,mask
