frame,time,E_total,E_2d,E_depth,E_contact,E_support,E_smooth,E_reg
1,0.000000,0.027049,,0.027049,,,0.000000,0.000000
2,0.041667,0.027503,,0.027048,,,0.000455,0.000000
3,0.083333,0.029327,,0.028890,,,0.000437,0.000000
4,0.125000,0.031724,,0.030698,,,0.001025,0.000001
5,0.166667,0.029082,,0.027659,,,0.001422,0.000001
6,0.208333,0.027361,,0.026549,,,0.000812,0.000000
7,0.250000,0.027302,,0.024340,,,0.002962,0.000000
8,0.291667,0.023922,,0.022823,,,0.001099,0.000000
9,0.333333,0.019155,,0.018170,,,0.000985,0.000000
10,0.375000,0.014475,,0.012970,,,0.001505,0.000000
11,0.416667,0.016400,,0.014799,,,0.001601,0.000000
12,0.458333,0.007495,,0.003093,,,0.004401,0.000001
13,0.500000,0.005024,,0.002965,,,0.001848,0.000211
14,0.541667,0.030105,,0.026916,,,0.002026,0.001163
15,0.583333,0.035622,,0.026183,,,0.003841,0.005598
16,0.625000,0.028102,,0.003858,,,0.003652,0.020592
17,0.666667,0.067686,,0.004917,,,0.005460,0.057309
18,0.708333,0.152809,,0.031785,,,0.002353,0.118671
19,0.750000,0.233149,,0.053565,,,0.002942,0.176642
20,0.791667,0.237873,,0.061091,,,0.003894,0.172888
21,0.833333,0.146811,,0.070213,,,0.003041,0.073557
22,0.875000,0.158607,,0.083058,,,0.001861,0.073688
23,0.916667,0.252406,,0.074547,,,0.004918,0.172941
24,0.958333,0.256373,,0.076799,,,0.002962,0.176612
25,1.000000,0.223354,,0.100902,,,0.003845,0.118607
26,1.041667,0.157551,,0.094889,,,0.005403,0.057259
27,1.083333,0.092367,,0.068971,,,0.002831,0.020565
28,1.125000,0.078282,,0.066512,,,0.006181,0.005589
29,1.166667,0.086732,,0.078509,,,0.007063,0.001160
30,1.208333,0.087190,,0.084075,,,0.002905,0.000210
31,1.250000,0.061857,,0.060709,,,0.001148,0.000000
32,1.291667,0.058755,,0.055302,,,0.003452,0.000001
33,1.333333,0.083843,,0.082522,,,0.001321,0.000000
34,1.375000,0.078575,,0.074663,,,0.003912,0.000000
35,1.416667,0.077756,,0.075889,,,0.001867,0.000000
36,1.458333,0.082784,,0.081578,,,0.001206,0.000000
37,1.500000,0.087833,,0.085281,,,0.002551,0.000001
38,1.541667,0.090839,,0.088751,,,0.002087,0.000001
39,1.583333,0.094277,,0.092589,,,0.001687,0.000001
40,1.625000,0.095068,,0.093601,,,0.001466,0.000001
41,1.666667,0.094788,,0.093831,,,0.000957,0.000000
42,1.708333,0.094430,,0.093277,,,0.001153,0.000000
43,1.750000,0.090802,,0.089595,,,0.001207,0.000000
44,1.791667,0.089257,,0.087477,,,0.001780,0.000000
45,1.833333,0.087510,,0.085947,,,0.001563,0.000000
46,1.875000,0.087900,,0.086799,,,0.001101,0.000000
47,1.916667,0.083349,,0.083076,,,0.000273,0.000000
48,1.958333,0.078075,,0.077656,,,0.000418,0.000001
49,2.000000,0.076247,,0.075268,,,0.000978,0.000001
50,2.041667,0.071882,,0.069809,,,0.002073,0.000000
51,2.083333,0.072623,,0.070436,,,0.002187,0.000000
52,2.125000,0.071198,,0.069571,,,0.001627,0.000000
53,2.166667,0.077175,,0.076214,,,0.000960,0.000001
54,2.208333,0.069975,,0.067687,,,0.002287,0.000001
55,2.250000,0.067972,,0.066758,,,0.001214,0.000000
56,2.291667,0.064208,,0.063637,,,0.000571,0.000000
57,2.333333,0.072535,,0.068656,,,0.003879,0.000000
58,2.375000,0.062666,,0.061827,,,0.000839,0.000000
59,2.416667,0.066444,,0.065164,,,0.001280,0.000000
60,2.458333,0.067639,,0.065734,,,0.001905,0.000000
61,2.500000,0.065053,,0.062887,,,0.002165,0.000001
62,2.541667,0.062293,,0.061600,,,0.000692,0.000001
63,2.583333,0.066588,,0.065826,,,0.000762,0.000000
64,2.625000,0.063935,,0.062420,,,0.001514,0.000001
65,2.666667,0.064153,,0.062879,,,0.001273,0.000001
66,2.708333,0.064768,,0.064434,,,0.000334,0.000000
67,2.750000,0.066311,,0.065638,,,0.000672,0.000001
68,2.791667,0.071761,,0.070920,,,0.000840,0.000001
69,2.833333,0.070777,,0.070327,,,0.000449,0.000001
70,2.875000,0.072886,,0.071485,,,0.001400,0.000001
71,2.916667,0.074475,,0.073220,,,0.001254,0.000001
72,2.958333,0.071929,,0.071670,,,0.000258,0.000001
73,3.000000,0.076858,,0.076582,,,0.000276,0.000000
74,3.041667,0.066377,,0.066228,,,0.000149,0.000000
75,3.083333,0.068644,,0.067622,,,0.001022,0.000000
76,3.125000,0.065690,,0.064820,,,0.000870,0.000000
77,3.166667,0.066246,,0.065401,,,0.000845,0.000000
78,3.208333,0.062431,,0.062013,,,0.000417,0.000001
79,3.250000,0.064907,,0.064645,,,0.000261,0.000001
80,3.291667,0.063849,,0.063257,,,0.000592,0.000000
81,3.333333,0.063300,,0.062686,,,0.000614,0.000000
82,3.375000,0.063686,,0.063349,,,0.000337,0.000000
83,3.416667,0.062504,,0.062002,,,0.000501,0.000001
84,3.458333,0.063148,,0.062449,,,0.000698,0.000001
85,3.500000,0.065997,,0.065181,,,0.000815,0.000001
86,3.541667,0.058287,,0.057494,,,0.000791,0.000002
87,3.583333,0.057196,,0.056641,,,0.000554,0.000001
88,3.625000,0.061440,,0.060280,,,0.001160,0.000000
89,3.666667,0.066592,,0.066117,,,0.000475,0.000000
90,3.708333,0.063201,,0.062175,,,0.001025,0.000001
91,3.750000,0.055450,,0.055258,,,0.000191,0.000001
92,3.791667,0.055050,,0.054293,,,0.000757,0.000000
93,3.833333,0.057325,,0.056006,,,0.001319,0.000000
94,3.875000,0.058362,,0.054940,,,0.003422,0.000000
95,3.916667,0.051757,,0.051107,,,0.000650,0.000000
96,3.958333,0.047675,,0.044351,,,0.003324,0.000000
97,4.000000,0.060559,,0.059556,,,0.001002,0.000001
98,4.041667,0.057344,,0.056075,,,0.001268,0.000001
99,4.083333,0.068519,,0.065641,,,0.002877,0.000001
100,4.125000,0.067122,,0.065509,,,0.001612,0.000001
101,4.166667,0.070633,,0.068020,,,0.002612,0.000001
102,4.208333,0.064039,,0.061719,,,0.002320,0.000000
103,4.250000,0.089382,,0.086040,,,0.003342,0.000000
104,4.291667,0.092409,,0.088840,,,0.003569,0.000000
105,4.333333,0.082204,,0.080748,,,0.001456,0.000000
106,4.375000,0.084377,,0.079221,,,0.004945,0.000211
107,4.416667,0.089544,,0.085015,,,0.003369,0.001160
108,4.458333,0.100437,,0.089198,,,0.005647,0.005592
109,4.500000,0.102739,,0.079642,,,0.002521,0.020576
110,4.541667,0.130868,,0.069462,,,0.004124,0.057282
111,4.583333,0.202469,,0.081690,,,0.002132,0.118647
112,4.625000,0.270158,,0.091397,,,0.002116,0.176645
113,4.666667,0.262394,,0.087512,,,0.001950,0.172932
114,4.708333,0.160575,,0.083648,,,0.003305,0.073622
115,4.750000,0.164983,,0.088443,,,0.002893,0.073647
116,4.791667,0.269569,,0.089379,,,0.007250,0.172940
117,4.833333,0.262891,,0.082890,,,0.003360,0.176641
118,4.875000,0.195972,,0.074602,,,0.002737,0.118633
119,4.916667,0.113695,,0.053970,,,0.002452,0.057273
120,4.958333,0.067332,,0.041830,,,0.004931,0.020571
121,5.000000,0.068343,,0.059377,,,0.003374,0.005592
122,5.041667,0.055657,,0.051603,,,0.002893,0.001161
123,5.083333,0.064805,,0.060182,,,0.004414,0.000209
124,5.125000,0.060710,,0.059406,,,0.001303,0.000001
125,5.166667,0.045611,,0.044250,,,0.001359,0.000002
126,5.208333,0.042951,,0.041943,,,0.001007,0.000001
127,5.250000,0.043556,,0.042521,,,0.001034,0.000001
128,5.291667,0.042377,,0.039973,,,0.002403,0.000001
129,5.333333,0.047511,,0.046254,,,0.001257,0.000000
130,5.375000,0.044801,,0.043920,,,0.000881,0.000000
131,5.416667,0.047422,,0.045548,,,0.001873,0.000001
132,5.458333,0.042464,,0.040626,,,0.001837,0.000001
133,5.500000,0.045237,,0.044534,,,0.000702,0.000001
134,5.541667,0.040949,,0.039461,,,0.001487,0.000001
135,5.583333,0.038806,,0.036950,,,0.001854,0.000002
136,5.625000,0.030066,,0.029241,,,0.000824,0.000001
137,5.666667,0.029390,,0.028467,,,0.000922,0.000001
138,5.708333,0.025399,,0.024580,,,0.000819,0.000000
139,5.750000,0.021934,,0.020302,,,0.001630,0.000002
140,5.791667,0.019192,,0.017118,,,0.002073,0.000001
141,5.833333,0.018755,,0.014864,,,0.003889,0.000002
142,5.875000,0.008210,,0.005398,,,0.002811,0.000001
143,5.916667,0.009794,,0.008188,,,0.001605,0.000001
144,5.958333,0.008061,,0.007402,,,0.000658,0.000001
145,6.000000,0.005128,,0.004621,,,0.000506,0.000001
146,6.041667,0.007205,,0.005568,,,0.001636,0.000001
147,6.083333,0.010144,,0.007497,,,0.002647,0.000000
148,6.125000,0.006525,,0.004258,,,0.002266,0.000001
149,6.166667,0.009843,,0.008085,,,0.001757,0.000001
150,6.208333,0.008361,,0.007268,,,0.001091,0.000002
151,6.250000,0.007462,,0.006189,,,0.001272,0.000001
152,6.291667,0.011296,,0.011100,,,0.000194,0.000002
153,6.333333,0.007358,,0.006997,,,0.000361,0.000000
154,6.375000,0.006153,,0.004718,,,0.001434,0.000001
155,6.416667,0.006908,,0.004645,,,0.002263,0.000000
156,6.458333,0.006433,,0.004526,,,0.001906,0.000001
157,6.500000,0.009676,,0.006635,,,0.003040,0.000001
158,6.541667,0.009847,,0.008395,,,0.001452,0.000000
159,6.583333,0.014089,,0.009700,,,0.004388,0.000001
160,6.625000,0.016219,,0.015844,,,0.000375,0.000000
161,6.666667,0.018007,,0.017273,,,0.000734,0.000000
162,6.708333,0.027308,,0.022970,,,0.004337,0.000001
163,6.750000,0.031694,,0.030154,,,0.001539,0.000001
164,6.791667,0.050350,,0.049021,,,0.001328,0.000001
165,6.833333,0.054157,,0.052197,,,0.001959,0.000001
166,6.875000,0.061626,,0.053759,,,0.007867,0.000000
167,6.916667,0.057157,,0.052346,,,0.004811,0.000000
168,6.958333,0.062310,,0.060525,,,0.001784,0.000001
169,7.000000,0.068435,,0.065580,,,0.002854,0.000001
170,7.041667,0.070313,,0.068269,,,0.002043,0.000001
171,7.083333,0.074715,,0.069949,,,0.004765,0.000001
172,7.125000,0.063220,,0.060854,,,0.002365,0.000001
173,7.166667,0.064873,,0.062207,,,0.002665,0.000001
174,7.208333,0.058350,,0.057703,,,0.000647,0.000000
175,7.250000,0.057881,,0.057829,,,0.000051,0.000001
176,7.291667,0.060109,,0.059284,,,0.000824,0.000001
177,7.333333,0.067603,,0.065663,,,0.001940,0.000000
178,7.375000,0.062198,,0.061172,,,0.001025,0.000001
179,7.416667,0.061575,,0.057493,,,0.004081,0.000001
180,7.458333,0.060273,,0.058001,,,0.002272,0.000000
181,7.500000,0.061232,,0.058561,,,0.002671,0.000000
182,7.541667,0.052830,,0.051674,,,0.001155,0.000001
183,7.583333,0.053753,,0.051546,,,0.002206,0.000001
184,7.625000,0.058198,,0.057318,,,0.000880,0.000000
185,7.666667,0.058384,,0.057216,,,0.001167,0.000001
186,7.708333,0.062539,,0.060881,,,0.001657,0.000001
187,7.750000,0.061459,,0.060769,,,0.000690,0.000000
188,7.791667,0.064020,,0.061257,,,0.002763,0.000000
189,7.833333,0.065916,,0.061760,,,0.004156,0.000000
190,7.875000,0.065414,,0.063046,,,0.002368,0.000000
191,7.916667,0.065495,,0.063272,,,0.002223,0.000000
192,7.958333,0.062076,,0.062076,,,0.000000,0.000000
