frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
1,0.041667,1,0.435962,0.387556,1.904867,0.452618,0.451848,1.894988,0.505101,0.477669,1.865643,0.506469,0.523272,1.884575,0.497853,0.544196,1.880634,0.492472,0.536075,1.906441,0.475243,0.518844,1.918398,1,-0.066761,0.230178,2.017862,-0.131088,0.241297,2.000159,-0.137391,0.201881,1.937553,-0.122551,0.222039,1.933810,-0.112523,0.233337,1.948361,-0.108015,0.249566,1.955933,-0.115198,0.266878,1.968137
2,0.083333,1,0.435762,0.387556,1.905166,0.452553,0.451802,1.894751,0.505556,0.477274,1.866112,0.507517,0.522025,1.884827,0.499383,0.543073,1.880694,0.493558,0.535175,1.906346,0.475836,0.518485,1.918014,1,-0.066997,0.230306,2.018222,-0.131033,0.241659,1.999885,-0.136701,0.201933,1.937163,-0.121989,0.222407,1.934149,-0.112349,0.233603,1.948790,-0.107793,0.250007,1.956236,-0.114741,0.267250,1.968257
3,0.125000,1,0.435496,0.387734,1.905285,0.452385,0.451698,1.894093,0.506284,0.476448,1.866141,0.508861,0.520201,1.884445,0.501362,0.541398,1.879937,0.494952,0.533940,1.905470,0.476513,0.518082,1.916866,1,-0.067287,0.230559,2.018508,-0.130954,0.242212,1.999573,-0.135704,0.201890,1.936604,-0.121723,0.222819,1.934247,-0.112328,0.233912,1.949135,-0.107696,0.250450,1.956357,-0.114304,0.267668,1.968222
4,0.166667,1,0.435281,0.387649,1.905799,0.452184,0.451543,1.893093,0.507010,0.475376,1.865316,0.509930,0.518527,1.883094,0.502939,0.539786,1.878148,0.496048,0.532902,1.903729,0.476967,0.517865,1.915078,1,-0.067530,0.230552,2.019139,-0.130806,0.242768,1.999361,-0.134684,0.201547,1.935932,-0.122257,0.222966,1.933766,-0.112591,0.234033,1.949102,-0.107942,0.250584,1.955916,-0.114197,0.267892,1.967831
5,0.208333,1,0.435183,0.387737,1.905225,0.452047,0.451365,1.892049,0.507486,0.474386,1.864072,0.510772,0.517186,1.881334,0.504164,0.538386,1.876061,0.496888,0.532105,1.901807,0.477337,0.517783,1.913245,1,-0.067568,0.230599,2.018906,-0.130466,0.243280,1.999166,-0.133598,0.200779,1.934946,-0.123041,0.222702,1.933234,-0.112899,0.233805,1.949029,-0.108509,0.250556,1.954882,-0.114409,0.268081,1.966985
6,0.250000,1,0.435371,0.387781,1.905866,0.451910,0.451200,1.891057,0.507574,0.473688,1.862832,0.511529,0.515999,1.879684,0.505290,0.537060,1.874302,0.497629,0.531363,1.900175,0.477718,0.517723,1.911674,1,-0.067131,0.230283,2.020059,-0.129823,0.243903,1.998775,-0.132361,0.199598,1.933455,-0.123215,0.221937,1.933507,-0.113011,0.233039,1.949344,-0.109667,0.250757,1.952961,-0.115291,0.268914,1.965140
7,0.291667,1,0.435193,0.387857,1.907027,0.451655,0.451119,1.890145,0.507243,0.473449,1.861748,0.511952,0.515127,1.878417,0.506039,0.536044,1.873162,0.498075,0.530779,1.898993,0.477958,0.517682,1.910504,1,-0.066946,0.229826,2.021890,-0.128835,0.244810,1.997953,-0.131141,0.197946,1.931494,-0.122865,0.220593,1.934389,-0.113044,0.231528,1.949398,-0.112400,0.251437,1.948861,-0.118017,0.271423,1.961003
8,0.333333,1,0.434585,0.387981,1.905463,0.451435,0.451211,1.889707,0.506708,0.473808,1.861205,0.511790,0.515069,1.878059,0.506007,0.535927,1.873080,0.498056,0.530682,1.898704,0.478036,0.517668,1.910216,1,-0.067150,0.229224,2.020852,-0.127551,0.245834,1.996720,-0.130118,0.195545,1.929327,-0.123349,0.218747,1.934414,-0.113352,0.229266,1.947735,-0.117539,0.252395,1.941559,-0.123482,0.276005,1.953886
9,0.375000,1,0.434507,0.387986,1.904245,0.451556,0.451492,1.890262,0.506312,0.474712,1.861646,0.511063,0.516170,1.879076,0.505077,0.537078,1.874363,0.497576,0.531314,1.899786,0.478009,0.517703,1.911284,1,-0.066726,0.228231,2.020291,-0.126203,0.246195,1.995552,-0.128999,0.192042,1.927352,-0.126737,0.216411,1.932449,-0.114136,0.226453,1.944053,-0.124088,0.252710,1.932888,-0.130346,0.281007,1.945638
10,0.416667,1,0.434967,0.388355,1.904132,0.451996,0.451883,1.891722,0.505970,0.475971,1.862672,0.509640,0.518482,1.880923,0.503033,0.539413,1.876407,0.496342,0.532800,1.901798,0.477561,0.517980,1.913346,1,-0.065907,0.227152,2.020435,-0.125207,0.244604,1.994957,-0.127075,0.187037,1.925760,-0.134963,0.212766,1.928934,-0.115262,0.223004,1.939822,-0.129288,0.250816,1.926682,-0.135401,0.283070,1.939426
11,0.458333,1,0.435723,0.388471,1.904782,0.452439,0.452237,1.893210,0.505312,0.477237,1.863041,0.507405,0.521573,1.882105,0.499820,0.542343,1.877736,0.494098,0.534963,1.903290,0.476326,0.518672,1.915125,1,-0.064908,0.224831,2.021353,-0.124889,0.239861,1.994871,-0.123764,0.179787,1.924133,-0.148015,0.206212,1.925459,-0.117091,0.218341,1.936635,-0.131525,0.245555,1.924603,-0.136697,0.279782,1.936420
12,0.500000,1,0.436093,0.388359,1.906040,0.452794,0.452413,1.893840,0.504413,0.478032,1.862039,0.505123,0.524380,1.881604,0.496546,0.544811,1.877284,0.491635,0.537056,1.903133,0.474765,0.519573,1.915503,1,-0.064547,0.220450,2.022273,-0.125222,0.231468,1.994829,-0.118975,0.169175,1.921813,-0.162499,0.195813,1.923394,-0.122488,0.211941,1.933910,-0.133778,0.237527,1.924758,-0.135875,0.271503,1.935652
13,0.541667,1,0.436149,0.388529,1.904260,0.453294,0.452340,1.893491,0.503864,0.478099,1.860428,0.504315,0.525727,1.879878,0.495228,0.545795,1.875458,0.490617,0.538078,1.901661,0.474055,0.520158,1.914516,1,-0.064568,0.212901,2.019323,-0.125879,0.219806,1.994622,-0.113216,0.154753,1.918976,-0.174070,0.182034,1.922962,-0.135253,0.203448,1.929423,-0.141559,0.228188,1.924575,-0.137064,0.260411,1.936204
14,0.583333,1,0.436921,0.388395,1.904627,0.454069,0.452056,1.892682,0.504094,0.477613,1.859572,0.505649,0.525311,1.878204,0.496755,0.545112,1.873599,0.491818,0.537656,1.900105,0.474784,0.520105,1.913075,1,-0.063794,0.202249,2.017464,-0.126462,0.206042,1.994335,-0.107516,0.137896,1.916687,-0.180843,0.166023,1.923438,-0.153449,0.192458,1.923227,-0.154869,0.217650,1.923410,-0.142347,0.248441,1.937537
15,0.625000,1,0.437850,0.388156,1.904903,0.454897,0.451695,1.891911,0.504866,0.477020,1.859908,0.507904,0.524100,1.877306,0.499581,0.543733,1.872576,0.494020,0.536534,1.899214,0.476200,0.519645,1.911983,1,-0.062813,0.190979,2.015564,-0.126666,0.191781,1.993779,-0.102994,0.121089,1.915553,-0.183313,0.149241,1.923821,-0.169183,0.179377,1.917895,-0.166787,0.205690,1.921721,-0.148121,0.236502,1.938363
16,0.666667,1,0.437098,0.387817,1.903973,0.455466,0.451410,1.891251,0.505622,0.476689,1.860798,0.509396,0.523318,1.876988,0.501539,0.542832,1.872321,0.495512,0.535745,1.898882,0.477224,0.519228,1.911411,1,-0.062165,0.179164,2.012327,-0.126294,0.178170,1.992196,-0.100163,0.106063,1.914999,-0.182638,0.133055,1.923118,-0.177018,0.165793,1.914235,-0.171348,0.193492,1.919057,-0.148239,0.224851,1.936729
17,0.708333,1,0.438346,0.387719,1.905553,0.455607,0.451265,1.890287,0.506037,0.476601,1.861116,0.509831,0.523111,1.876511,0.502233,0.542553,1.872093,0.496008,0.535435,1.898487,0.477642,0.518966,1.910843,1,-0.060673,0.167091,2.011838,-0.125177,0.164807,1.988453,-0.098129,0.092648,1.913780,-0.178756,0.117385,1.919917,-0.176556,0.152355,1.910013,-0.167465,0.181470,1.914017,-0.141040,0.212755,1.931615
18,0.750000,1,0.437377,0.387897,1.901488,0.455249,0.451200,1.888422,0.506042,0.476425,1.859718,0.509852,0.522824,1.874932,0.502451,0.542268,1.870800,0.496119,0.535126,1.897146,0.477733,0.518713,1.909380,1,-0.059951,0.154954,2.006428,-0.123158,0.149879,1.981771,-0.094270,0.078959,1.910760,-0.169820,0.100535,1.912837,-0.168070,0.137329,1.903040,-0.156407,0.167495,1.905987,-0.130463,0.198171,1.923707
19,0.791667,1,0.436033,0.387618,1.898889,0.454469,0.451133,1.885528,0.505681,0.476000,1.856481,0.509716,0.522220,1.871918,0.502484,0.541714,1.867992,0.496018,0.534671,1.894482,0.477542,0.518444,1.906695,1,-0.059084,0.138742,2.001004,-0.120170,0.132091,1.972469,-0.085588,0.062906,1.905697,-0.154661,0.081394,1.902391,-0.151585,0.118924,1.893974,-0.140021,0.149548,1.896572,-0.120434,0.179466,1.914600
20,0.833333,1,0.434432,0.387913,1.893605,0.453513,0.451030,1.882096,0.505119,0.475510,1.852550,0.509314,0.521605,1.868139,0.502158,0.541149,1.864389,0.495558,0.534261,1.891062,0.477036,0.518232,1.903401,1,-0.058926,0.123178,1.992923,-0.116228,0.112403,1.961573,-0.071682,0.043982,1.899626,-0.135016,0.061155,1.891014,-0.129387,0.098264,1.885475,-0.120350,0.128637,1.888750,-0.110631,0.157376,1.905987
21,0.875000,1,0.434556,0.387454,1.892219,0.452561,0.450876,1.878576,0.504503,0.475089,1.848849,0.508615,0.521209,1.864262,0.501420,0.540765,1.860719,0.494715,0.534007,1.887481,0.476287,0.518088,1.900083,1,-0.057360,0.106755,1.987378,-0.111350,0.093146,1.949854,-0.056069,0.023496,1.894034,-0.114475,0.041938,1.880758,-0.106216,0.078152,1.879003,-0.099285,0.107475,1.884195,-0.098206,0.134193,1.898932
22,0.916667,1,0.433485,0.387522,1.887889,0.451596,0.450634,1.874990,0.503844,0.474620,1.845271,0.507667,0.520947,1.860300,0.500361,0.540473,1.856903,0.493569,0.533867,1.883686,0.475358,0.517966,1.896642,1,-0.055861,0.090589,1.979524,-0.105500,0.075478,1.937729,-0.042960,0.003462,1.889293,-0.095590,0.024414,1.872529,-0.086178,0.059266,1.873957,-0.078969,0.087036,1.881856,-0.082472,0.111525,1.893012
23,0.958333,1,0.432514,0.387047,1.884889,0.450512,0.450301,1.871277,0.503108,0.473978,1.841549,0.506639,0.520462,1.856321,0.499265,0.540003,1.852891,0.492376,0.533627,1.879648,0.474396,0.517757,1.892916,1,-0.053742,0.074411,1.972911,-0.098686,0.058519,1.925736,-0.033687,-0.014019,1.884089,-0.078164,0.007984,1.867169,-0.070025,0.040289,1.870132,-0.061575,0.066699,1.879881,-0.066318,0.090035,1.887306
24,1.000000,1,0.431458,0.386556,1.881201,0.449212,0.449953,1.867586,0.502284,0.473245,1.837853,0.505781,0.519418,1.852740,0.498481,0.539139,1.849199,0.491519,0.533019,1.875824,0.473712,0.517323,1.889225,1,-0.051336,0.059111,1.964998,-0.090974,0.040900,1.914465,-0.027219,-0.027718,1.876867,-0.060917,-0.007763,1.864839,-0.056144,0.021477,1.868722,-0.048069,0.047155,1.878453,-0.053144,0.070404,1.882626
25,1.041667,1,0.429030,0.386646,1.878713,0.447718,0.449662,1.864179,0.501302,0.472626,1.834446,0.505153,0.517903,1.849782,0.498064,0.537950,1.846331,0.491121,0.531996,1.872687,0.473470,0.516631,1.886064,1,-0.048069,0.042991,1.958905,-0.082241,0.022417,1.903992,-0.022131,-0.039110,1.867945,-0.043996,-0.023243,1.863637,-0.043283,0.004609,1.870231,-0.037563,0.029796,1.879234,-0.043364,0.052594,1.880864
