frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
1,0.000000,-0.001695,0.237178,2.006796,0.168455,-0.000000,0.0,1.0,0.045
2,0.041667,-0.001933,0.237306,2.007151,0.168542,-0.000000,0.0,1.0,0.045
3,0.083333,-0.002225,0.237559,2.007422,0.168777,-0.000000,0.0,1.0,0.045
4,0.125000,-0.002474,0.237552,2.008021,0.169263,-0.000000,0.0,1.0,0.045
5,0.166667,-0.002520,0.237599,2.007733,0.170108,-0.000000,0.0,1.0,0.045
6,0.208333,-0.002098,0.237283,2.008801,0.171404,-0.000000,0.0,1.0,0.045
7,0.250000,-0.001934,0.236826,2.010518,0.173180,-0.000000,0.0,1.0,0.045
8,0.291667,-0.002162,0.236224,2.009338,0.175348,-0.000000,0.0,1.0,0.045
9,0.333333,-0.001765,0.235231,2.008627,0.177649,-0.000000,0.0,1.0,0.045
10,0.375000,-0.000969,0.234152,2.008644,0.179627,-0.000000,0.0,1.0,0.045
11,0.416667,0.000018,0.231831,2.009492,0.180688,-0.000000,0.0,1.0,0.045
12,0.458333,0.000383,0.227450,2.010438,0.180291,-0.000000,0.0,1.0,0.045
13,0.500000,0.000387,0.219901,2.007624,0.178198,-0.000000,0.0,1.0,0.045
14,0.541667,0.001202,0.209249,2.005997,0.174625,-0.000000,0.0,1.0,0.045
15,0.583333,0.002234,0.197979,2.004389,0.170126,-0.000000,0.0,1.0,0.045
16,0.625000,0.002935,0.186164,2.001469,0.165267,-0.000000,0.0,1.0,0.045
17,0.666667,0.004481,0.174091,2.001304,0.160290,-0.000000,0.0,1.0,0.045
18,0.708333,0.005258,0.161954,1.996240,0.154995,-0.000000,0.0,1.0,0.045
19,0.750000,0.006186,0.145742,1.991212,0.148908,-0.000000,0.0,1.0,0.045
20,0.791667,0.006413,0.130178,1.983612,0.141548,-0.000000,0.0,1.0,0.045
21,0.833333,0.008061,0.113755,1.978654,0.132577,-0.000000,0.0,1.0,0.045
22,0.875000,0.009650,0.097589,1.971506,0.121788,-0.000001,0.0,1.0,0.045
23,0.916667,0.011866,0.081411,1.965727,0.109071,-0.000017,0.0,1.0,0.045
24,0.958333,0.014369,0.066111,1.958771,0.094466,-0.000111,0.0,1.0,0.045
25,1.000000,0.017729,0.049991,1.953744,0.078219,-0.000546,0.0,1.0,0.045
26,1.041667,0.022016,0.029868,1.945309,0.060765,-0.002159,0.0,1.0,0.045
27,1.083333,0.027063,0.010812,1.941752,0.042613,-0.006984,0.0,1.0,0.045
28,1.125000,0.031914,-0.008114,1.936085,0.024212,-0.018709,0.0,1.0,0.045
29,1.166667,0.037786,-0.027541,1.935942,0.005969,-0.042068,0.0,1.0,0.045
30,1.208333,0.043886,-0.042672,1.928726,-0.011596,-0.080701,0.0,1.0,0.045
31,1.250000,0.049619,-0.059002,1.923611,-0.027766,-0.134633,0.0,1.0,0.045
32,1.291667,0.054775,-0.072573,1.919209,-0.041850,-0.199591,0.0,1.0,0.045
33,1.333333,0.060424,-0.085247,1.917718,-0.053549,-0.268914,0.0,1.0,0.045
34,1.375000,0.064378,-0.096039,1.915829,-0.063090,-0.336441,0.0,1.0,0.045
35,1.416667,0.067507,-0.105926,1.915102,-0.070957,-0.398282,0.0,1.0,0.045
36,1.458333,0.070977,-0.112906,1.915442,-0.077492,-0.452882,0.0,1.0,0.045
37,1.500000,0.073731,-0.119371,1.916280,-0.082751,-0.500158,0.0,1.0,0.045
38,1.541667,0.075079,-0.123797,1.914995,-0.086667,-0.540689,0.0,1.0,0.045
39,1.583333,0.076927,-0.127932,1.912885,-0.089230,-0.575413,0.0,1.0,0.045
40,1.625000,0.079159,-0.130414,1.912176,-0.090524,-0.605581,0.0,1.0,0.045
