frame,time,tx,ty,tz,yaw,pitch,roll,scale,radius_m
1,0.000000,-0.145746,0.253150,2.017862,-3.141592,0.000000,0.0,1.0,0.045
2,0.041667,-0.145681,0.253016,2.018222,-3.141592,0.000000,0.0,1.0,0.045
3,0.083333,-0.145318,0.252546,2.018508,-3.141592,0.000000,0.0,1.0,0.045
4,0.125000,-0.144699,0.251997,2.019139,-3.141592,0.000000,0.0,1.0,0.045
5,0.166667,-0.143565,0.251252,2.018906,-3.141593,0.000000,0.0,1.0,0.045
6,0.208333,-0.142199,0.250724,2.020059,-3.141593,0.000000,0.0,1.0,0.045
7,0.250000,-0.140514,0.249884,2.021890,-3.141593,0.000000,0.0,1.0,0.045
8,0.291667,-0.138656,0.248330,2.020852,-3.141593,0.000000,0.0,1.0,0.045
9,0.333333,-0.136142,0.246034,2.020291,-3.141593,0.000000,0.0,1.0,0.045
10,0.375000,-0.133204,0.243196,2.020435,-3.141593,0.000000,0.0,1.0,0.045
11,0.416667,-0.129569,0.239272,2.021353,-3.141593,0.000000,0.0,1.0,0.045
12,0.458333,-0.124703,0.234325,2.022273,-3.141593,0.000000,0.0,1.0,0.045
13,0.500000,-0.120436,0.227370,2.019323,-3.141592,0.000000,0.0,1.0,0.045
14,0.541667,-0.115052,0.219426,2.017464,-3.141802,0.000000,0.0,1.0,0.045
15,0.583333,-0.108313,0.209977,2.015564,-3.143175,0.000000,0.0,1.0,0.045
16,0.625000,-0.101929,0.196945,2.012327,-3.150146,0.000000,0.0,1.0,0.045
17,0.666667,-0.093246,0.183205,2.011838,-3.177709,0.000000,0.0,1.0,0.045
18,0.708333,-0.085477,0.167283,2.006428,-3.262581,0.000000,0.0,1.0,0.045
19,0.750000,-0.076181,0.149571,2.001004,-3.466124,0.000000,0.0,1.0,0.045
20,0.791667,-0.065624,0.131916,1.992923,-3.846309,0.000000,0.0,1.0,0.045
21,0.833333,-0.057428,0.112483,1.987378,-4.399382,0.000000,0.0,1.0,0.045
22,0.875000,-0.047281,0.092715,1.979524,-5.026012,0.000002,0.0,1.0,0.045
23,0.916667,-0.038498,0.072696,1.972911,-5.578954,0.000019,0.0,1.0,0.045
24,0.958333,-0.026201,0.049491,1.964998,-5.958955,0.000122,0.0,1.0,0.045
25,1.000000,-0.014563,0.028528,1.958905,-6.162344,0.000600,0.0,1.0,0.045
26,1.041667,-0.004486,0.008052,1.949332,-6.247126,0.002375,0.0,1.0,0.045
27,1.083333,0.007961,-0.012520,1.944613,-6.274649,0.007682,0.0,1.0,0.045
28,1.125000,0.019291,-0.031532,1.937813,-6.281607,0.020580,0.0,1.0,0.045
29,1.166667,0.029063,-0.048491,1.936631,-6.282976,0.046275,0.0,1.0,0.045
30,1.208333,0.037487,-0.065086,1.928525,-6.283185,0.088771,0.0,1.0,0.045
31,1.250000,0.046423,-0.079980,1.922718,-6.283184,0.148096,0.0,1.0,0.045
32,1.291667,0.055592,-0.094232,1.917834,-6.283183,0.219550,0.0,1.0,0.045
33,1.333333,0.063567,-0.107519,1.916042,-6.283183,0.295805,0.0,1.0,0.045
34,1.375000,0.072146,-0.119664,1.913974,-6.283183,0.370085,0.0,1.0,0.045
35,1.416667,0.077649,-0.129725,1.913131,-6.283183,0.438110,0.0,1.0,0.045
36,1.458333,0.083287,-0.138282,1.913386,-6.283183,0.498170,0.0,1.0,0.045
37,1.500000,0.089289,-0.145818,1.914170,-6.283183,0.550174,0.0,1.0,0.045
38,1.541667,0.094170,-0.152398,1.912872,-6.283184,0.594758,0.0,1.0,0.045
39,1.583333,0.097766,-0.157528,1.910797,-6.283184,0.632954,0.0,1.0,0.045
40,1.625000,0.100866,-0.161964,1.910178,-6.283185,0.666139,0.0,1.0,0.045
41,1.666667,0.102543,-0.166088,1.909723,-6.283185,0.695789,0.0,1.0,0.045
42,1.708333,0.105075,-0.170324,1.908852,-6.283185,0.722970,0.0,1.0,0.045
43,1.750000,0.107835,-0.174238,1.909064,-6.283185,0.748015,0.0,1.0,0.045
44,1.791667,0.111574,-0.177480,1.909057,-6.283185,0.770678,0.0,1.0,0.045
45,1.833333,0.113615,-0.180713,1.909585,-6.283185,0.790616,0.0,1.0,0.045
46,1.875000,0.114796,-0.183808,1.911411,-6.283185,0.807767,0.0,1.0,0.045
47,1.916667,0.115407,-0.186496,1.912387,-6.283185,0.822400,0.0,1.0,0.045
48,1.958333,0.115986,-0.189145,1.913095,-6.283185,0.834940,0.0,1.0,0.045
49,2.000000,0.116542,-0.191617,1.914181,-6.283186,0.845801,0.0,1.0,0.045
50,2.041667,0.116242,-0.193772,1.914917,-6.283186,0.855315,0.0,1.0,0.045
51,2.083333,0.117208,-0.196496,1.914113,-6.283186,0.863719,0.0,1.0,0.045
52,2.125000,0.116467,-0.198799,1.914609,-6.283186,0.871179,0.0,1.0,0.045
