frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,mug,533.926,544.243,mug_body_mask,1,534.500,545.000,cotracker_box_center,1,533.928,544.272,3672.5,505.000,511.000,565.000,580.000,60.000,69.000,39.827,81.032,66.510,0.869565,0.829726,1,533.917,544.337,506.000,511.000,562.000,579.000,57.000,69.000,unknown,1.000,2.000,1.000000,0.829726,1.000000,1.000000,505.000,544.243,1.000000,564.000,544.243,1.000000,533.926,511.000,1.000000,533.926,579.000,1.000000
2,0.041667,mug,534.868,544.283,mug_body_mask,1,535.335,545.103,cotracker_box_center,1,533.991,544.150,3725.0,505.000,510.000,565.000,581.000,60.000,71.000,40.479,78.967,67.503,0.845070,0.808832,1,533.922,544.252,506.000,510.000,562.000,580.000,57.000,71.000,unknown,1.000,2.000,1.000000,0.808832,1.000000,1.000000,505.991,544.721,1.000000,564.679,544.289,1.000000,534.647,511.068,1.000000,534.397,579.137,1.000000
3,0.083333,mug,535.151,544.222,mug_body_mask,1,535.591,544.982,cotracker_box_center,1,534.277,543.781,3739.5,505.000,510.000,565.000,580.000,60.000,70.000,40.421,80.196,70.177,0.857143,0.824957,1,534.240,543.782,506.000,510.000,563.000,579.000,58.000,70.000,unknown,1.000,1.000,1.000000,0.824957,1.000000,1.000000,506.567,544.675,1.000000,564.614,544.058,1.000000,535.067,511.031,1.000000,534.712,578.932,1.000000
4,0.125000,mug,535.503,544.197,mug_body_mask,1,535.866,544.703,cotracker_box_center,1,534.760,543.323,3738.5,506.000,510.000,566.000,580.000,60.000,70.000,40.397,85.430,65.083,0.857143,0.824736,1,534.826,543.486,507.000,510.000,563.000,579.000,57.000,70.000,unknown,1.000,2.000,1.000000,0.824736,1.000000,1.000000,506.892,544.325,1.000000,564.840,543.646,1.000000,535.486,510.831,1.000000,535.057,578.575,1.000000
5,0.166667,mug,536.435,544.041,mug_body_mask,1,536.627,544.486,cotracker_box_center,1,535.568,542.798,3749.0,507.000,509.000,567.000,579.000,60.000,70.000,40.239,80.397,69.336,0.857143,0.836942,1,535.452,542.828,507.000,509.000,564.000,578.000,58.000,70.000,unknown,0.000,2.000,1.000000,0.836942,1.000000,1.000000,507.807,544.148,1.000000,565.447,543.189,1.000000,536.092,510.683,1.000000,535.792,578.289,1.000000
6,0.208333,mug,537.417,543.826,mug_body_mask,1,537.400,544.132,cotracker_box_center,1,536.625,542.305,3770.5,507.000,508.000,568.000,579.000,61.000,71.000,40.096,79.129,68.295,0.859155,0.828423,1,536.482,542.370,508.000,508.000,565.000,578.000,58.000,71.000,unknown,1.000,2.000,1.000000,0.828423,1.000000,1.000000,508.659,543.840,1.000000,566.142,542.692,1.000000,536.815,510.374,1.000000,536.810,577.890,1.000000
7,0.250000,mug,538.577,543.244,mug_body_mask,1,538.303,543.365,cotracker_box_center,1,537.940,541.532,3767.5,509.000,507.000,569.000,579.000,60.000,72.000,40.338,81.041,66.339,0.833333,0.819713,1,537.966,541.711,510.000,507.000,566.000,578.000,57.000,72.000,unknown,1.000,2.000,1.000000,0.819713,1.000000,1.000000,509.666,543.309,1.000000,566.939,541.878,1.000000,537.769,509.566,1.000000,538.005,577.165,1.000000
8,0.291667,mug,540.316,542.185,mug_body_mask,1,539.593,542.137,cotracker_tb_center,1,539.231,540.492,3791.0,510.000,506.000,570.000,578.000,60.000,72.000,40.522,82.424,66.129,0.833333,0.820820,1,539.317,540.573,511.000,506.000,568.000,577.000,58.000,72.000,unknown,1.000,1.000,0.750000,0.820820,0.820820,1.000000,511.353,542.303,1.000000,568.209,540.646,0.000000,539.525,508.087,1.000000,539.661,576.187,1.000000
9,0.333333,mug,542.135,540.920,mug_body_mask,1,541.437,540.748,cotracker_tb_center,1,541.032,538.882,3833.5,512.000,504.000,572.000,577.000,60.000,73.000,41.329,80.924,67.050,0.821918,0.812487,1,540.974,538.886,512.000,504.000,570.000,576.000,59.000,73.000,unknown,0.000,1.000,0.750000,0.812487,0.812487,1.000000,513.029,541.337,1.000000,569.865,539.367,0.000000,541.599,506.642,1.000000,541.275,574.855,1.000000
10,0.375000,mug,544.044,539.101,mug_body_mask,1,543.405,539.082,cotracker_tb_center,1,543.175,536.796,3892.5,514.000,502.000,574.000,575.000,60.000,73.000,41.144,83.187,66.721,0.821918,0.838713,1,543.203,536.987,515.000,502.000,572.000,574.000,58.000,73.000,unknown,1.000,1.000,0.750000,0.838713,0.838713,1.000000,514.743,539.682,1.000000,571.637,537.569,0.000000,543.701,504.756,1.000000,543.110,573.408,1.000000
