frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
1,533.926,544.243,533.926,544.243,0.000000,0.000000,0.000000
2,534.868,544.283,534.868,544.283,0.000000,0.000000,0.000000
3,535.151,544.222,535.151,544.222,0.000000,0.000000,0.000000
4,535.503,544.197,535.503,544.197,0.000000,0.000000,0.000000
5,536.435,544.041,536.435,544.041,0.000000,0.000000,0.000000
6,537.417,543.826,537.417,543.826,0.000000,0.000000,0.000000
7,538.577,543.244,538.577,543.244,0.000000,0.000000,0.000000
8,540.316,542.185,540.316,542.185,0.000000,0.000000,0.000000
9,542.135,540.920,542.135,540.920,0.000000,0.000000,0.000000
10,544.044,539.101,544.044,539.101,0.000000,0.000000,0.000000
11,546.445,536.101,546.445,536.101,0.000000,0.000000,0.000000
12,549.529,532.053,549.529,532.053,0.000000,0.000000,0.000000
13,552.817,527.303,552.817,527.303,0.000000,0.000000,0.000000
14,556.293,521.720,556.293,521.720,0.000000,0.000000,0.000000
15,561.144,513.758,561.144,513.758,0.000000,0.000000,0.000000
16,566.005,504.557,566.005,504.557,0.000000,0.000000,0.000000
17,571.517,493.704,571.517,493.704,0.000000,0.000000,0.000000
18,576.947,481.305,576.947,481.305,0.000000,0.000000,0.000000
19,584.041,467.744,584.041,467.744,0.000000,0.000000,0.000000
20,591.682,453.821,591.682,453.821,0.000000,0.000000,0.000000
21,598.753,439.467,598.753,439.467,0.000000,0.000000,0.000000
22,606.754,423.036,606.754,423.036,0.000000,0.000000,0.000000
23,614.483,407.300,614.483,407.300,0.000000,0.000000,0.000000
24,622.941,391.695,622.941,391.695,0.000000,0.000000,0.000000
25,631.063,375.841,631.063,375.841,0.000000,0.000000,0.000000
26,638.881,359.644,638.881,359.644,0.000000,0.000000,0.000000
27,647.479,343.784,647.479,343.784,0.000000,0.000000,0.000000
28,655.628,329.626,655.628,329.626,0.000000,0.000000,0.000000
29,663.933,316.238,663.933,316.238,0.000000,0.000000,0.000000
30,672.673,303.196,672.673,303.196,0.000000,0.000000,0.000000
31,679.367,291.552,679.367,291.552,0.000000,0.000000,0.000000
32,685.491,280.669,685.491,280.669,0.000000,0.000000,0.000000
33,688.723,277.589,688.723,277.589,0.000000,0.000000,0.000000
34,694.266,269.183,694.266,269.183,0.000000,0.000000,0.000000
35,698.952,261.132,698.952,261.132,0.000000,0.000000,0.000000
36,704.030,253.482,704.030,253.482,0.000000,0.000000,0.000000
37,708.033,248.170,708.033,248.170,0.000000,0.000000,0.000000
38,711.149,243.025,711.149,243.025,0.000000,0.000000,0.000000
39,713.996,238.874,713.996,238.874,0.000000,0.000000,0.000000
40,716.524,234.767,716.524,234.767,0.000000,0.000000,0.000000
41,718.874,231.878,718.874,231.878,0.000000,0.000000,0.000000
42,721.192,228.179,721.192,228.179,0.000000,0.000000,0.000000
43,722.664,225.611,722.664,225.611,0.000000,0.000000,0.000000
44,724.180,222.407,724.180,222.407,0.000000,0.000000,0.000000
45,725.287,219.731,725.287,219.731,0.000000,0.000000,0.000000
46,725.924,217.691,725.924,217.691,0.000000,0.000000,0.000000
47,726.229,215.619,726.229,215.619,0.000000,0.000000,0.000000
48,726.468,213.085,726.468,213.085,0.000000,0.000000,0.000000
49,726.470,211.046,726.470,211.046,0.000000,0.000000,0.000000
50,726.652,209.101,726.652,209.101,0.000000,0.000000,0.000000
51,726.772,206.539,726.772,206.539,0.000000,0.000000,0.000000
52,726.697,204.362,726.697,204.362,0.000000,0.000000,0.000000
53,726.327,202.445,726.327,202.445,0.000000,0.000000,0.000000
54,726.014,200.203,726.014,200.203,0.000000,0.000000,0.000000
55,725.746,197.809,725.746,197.809,0.000000,0.000000,0.000000
56,725.431,195.771,725.431,195.771,0.000000,0.000000,0.000000
57,725.312,193.915,725.312,193.915,0.000000,0.000000,0.000000
58,724.967,191.490,724.967,191.490,0.000000,0.000000,0.000000
59,724.652,189.687,724.652,189.687,0.000000,0.000000,0.000000
60,723.826,188.180,723.826,188.180,0.000000,0.000000,0.000000
61,723.174,186.891,723.174,186.891,0.000000,0.000000,0.000000
62,722.542,185.819,722.542,185.819,0.000000,0.000000,0.000000
63,721.987,184.846,721.987,184.846,0.000000,0.000000,0.000000
64,721.508,183.746,721.508,183.746,0.000000,0.000000,0.000000
65,727.984,186.562,727.984,186.562,0.000000,0.000000,0.000000
66,728.438,185.325,728.438,185.325,0.000000,0.000000,0.000000
67,727.993,184.223,727.993,184.223,0.000000,0.000000,0.000000
68,727.685,183.016,727.685,183.016,0.000000,0.000000,0.000000
69,727.363,181.837,727.363,181.837,0.000000,0.000000,0.000000
70,727.177,180.639,727.177,180.639,0.000000,0.000000,0.000000
71,726.841,179.468,726.841,179.468,0.000000,0.000000,0.000000
72,726.723,178.195,726.723,178.195,0.000000,0.000000,0.000000
73,726.449,177.283,726.449,177.283,0.000000,0.000000,0.000000
74,726.391,176.429,726.391,176.429,0.000000,0.000000,0.000000
75,726.067,175.763,726.067,175.763,0.000000,0.000000,0.000000
76,726.172,175.219,726.172,175.219,0.000000,0.000000,0.000000
77,726.084,174.756,726.084,174.756,0.000000,0.000000,0.000000
78,725.895,174.428,725.895,174.428,0.000000,0.000000,0.000000
79,725.927,174.001,725.927,174.001,0.000000,0.000000,0.000000
80,725.809,173.708,725.809,173.708,0.000000,0.000000,0.000000
81,725.747,173.673,725.747,173.673,0.000000,0.000000,0.000000
82,725.753,173.961,725.753,173.961,0.000000,0.000000,0.000000
83,725.719,174.513,725.719,174.513,0.000000,0.000000,0.000000
84,725.581,175.514,725.581,175.514,0.000000,0.000000,0.000000
85,725.505,177.148,725.505,177.148,0.000000,0.000000,0.000000
86,725.352,178.831,725.352,178.831,0.000000,0.000000,0.000000
87,725.297,180.553,725.297,180.553,0.000000,0.000000,0.000000
88,725.352,182.546,725.352,182.546,0.000000,0.000000,0.000000
89,724.960,185.565,724.960,185.565,0.000000,0.000000,0.000000
90,724.577,188.533,724.577,188.533,0.000000,0.000000,0.000000
91,724.555,191.799,724.555,191.799,0.000000,0.000000,0.000000
92,724.172,195.522,724.172,195.522,0.000000,0.000000,0.000000
93,724.006,199.231,724.006,199.231,0.000000,0.000000,0.000000
94,723.331,202.921,723.331,202.921,0.000000,0.000000,0.000000
95,722.366,206.345,722.366,206.345,0.000000,0.000000,0.000000
96,720.480,209.321,720.480,209.321,0.000000,0.000000,0.000000
97,713.902,206.346,713.902,206.346,0.000000,0.000000,0.000000
98,711.776,208.820,711.776,208.820,0.000000,0.000000,0.000000
99,707.055,213.204,707.055,213.204,0.000000,0.000000,0.000000
100,702.272,217.958,702.272,217.958,0.000000,0.000000,0.000000
101,695.863,224.137,695.863,224.137,0.000000,0.000000,0.000000
102,689.835,230.360,689.835,230.360,0.000000,0.000000,0.000000
103,682.168,237.343,682.168,237.343,0.000000,0.000000,0.000000
104,673.412,245.956,673.412,245.956,0.000000,0.000000,0.000000
