frame,time,ball_center_x,ball_center_y,radius,mask_area,source
1,0.000000,533.500,542.731,39.827,3672.5,sam2_mask_circle
2,0.041667,534.500,542.703,40.479,3725.0,sam2_mask_circle
3,0.083333,534.038,542.115,40.421,3739.5,sam2_mask_circle
4,0.125000,534.500,541.591,40.397,3738.5,sam2_mask_circle
5,0.166667,535.500,541.375,40.239,3749.0,sam2_mask_circle
6,0.208333,536.587,541.014,40.096,3770.5,sam2_mask_circle
7,0.250000,538.000,539.969,40.338,3767.5,sam2_mask_circle
8,0.291667,540.000,539.216,40.522,3791.0,sam2_mask_circle
9,0.333333,542.014,537.412,41.329,3833.5,sam2_mask_circle
10,0.375000,544.000,536.045,41.144,3892.5,sam2_mask_circle
11,0.416667,546.500,532.993,41.434,3892.5,sam2_mask_circle
12,0.458333,550.500,529.694,41.211,3816.5,sam2_mask_circle
13,0.500000,552.894,524.615,41.644,3960.5,sam2_mask_circle
14,0.541667,557.155,519.912,42.039,4042.5,sam2_mask_circle
15,0.583333,560.500,512.286,42.546,4107.5,sam2_mask_circle
16,0.625000,565.070,502.841,41.703,4024.5,sam2_mask_circle
17,0.666667,571.598,493.000,43.668,4247.5,sam2_mask_circle
18,0.708333,578.000,480.580,43.617,4279.0,sam2_mask_circle
19,0.750000,583.290,468.264,43.188,4388.0,sam2_mask_circle
20,0.791667,589.894,455.848,43.232,4393.0,sam2_mask_circle
21,0.833333,596.674,441.152,43.530,4454.5,sam2_mask_circle
22,0.875000,604.862,427.076,44.017,4472.0,sam2_mask_circle
23,0.916667,611.312,413.602,44.777,4540.5,sam2_mask_circle
24,0.958333,618.827,395.731,43.886,4383.0,sam2_mask_circle
25,1.000000,626.881,380.452,43.578,4431.5,sam2_mask_circle
26,1.041667,634.500,365.500,43.960,4476.5,sam2_mask_circle
27,1.083333,644.793,349.439,43.634,4404.0,sam2_mask_circle
28,1.125000,653.243,335.025,43.766,4447.5,sam2_mask_circle
29,1.166667,660.726,322.232,44.222,4523.5,sam2_mask_circle
30,1.208333,668.709,309.869,44.131,4598.5,sam2_mask_circle
31,1.250000,675.011,298.553,44.291,4618.5,sam2_mask_circle
32,1.291667,682.098,286.735,43.668,4474.0,sam2_mask_circle
33,1.333333,689.324,276.893,43.536,4437.0,sam2_mask_circle
34,1.375000,696.333,267.248,43.818,4455.0,sam2_mask_circle
35,1.416667,701.443,259.676,44.732,4668.5,sam2_mask_circle
36,1.458333,704.637,252.508,43.796,4668.0,sam2_mask_circle
37,1.500000,710.041,246.860,43.738,4562.5,sam2_mask_circle
38,1.541667,712.266,242.229,43.352,4573.5,sam2_mask_circle
39,1.583333,714.767,238.063,43.497,4565.5,sam2_mask_circle
40,1.625000,715.588,235.675,43.422,4504.0,sam2_mask_circle
41,1.666667,717.564,231.968,43.664,4622.5,sam2_mask_circle
42,1.708333,720.340,228.937,43.947,4646.0,sam2_mask_circle
43,1.750000,722.801,225.748,43.978,4663.0,sam2_mask_circle
44,1.791667,725.636,223.139,43.788,4638.0,sam2_mask_circle
45,1.833333,727.824,220.881,44.107,4667.0,sam2_mask_circle
46,1.875000,728.634,218.566,44.233,4716.0,sam2_mask_circle
47,1.916667,729.601,217.183,44.280,4715.0,sam2_mask_circle
48,1.958333,729.905,215.098,44.068,4707.5,sam2_mask_circle
49,2.000000,730.002,213.228,44.224,4721.0,sam2_mask_circle
50,2.041667,729.698,211.987,44.645,4799.5,sam2_mask_circle
51,2.083333,730.398,209.806,44.216,4727.5,sam2_mask_circle
52,2.125000,729.546,208.116,44.635,4819.5,sam2_mask_circle
53,2.166667,729.353,206.424,44.876,4842.0,sam2_mask_circle
54,2.208333,730.349,204.766,44.802,4764.5,sam2_mask_circle
55,2.250000,729.485,203.484,45.110,4846.5,sam2_mask_circle
56,2.291667,729.021,201.828,45.375,4848.0,sam2_mask_circle
57,2.333333,728.684,200.259,45.409,4865.5,sam2_mask_circle
58,2.375000,728.133,198.733,45.783,4873.5,sam2_mask_circle
59,2.416667,727.636,198.636,46.976,4878.0,sam2_mask_circle
60,2.458333,728.954,194.442,44.546,4771.5,sam2_mask_circle
61,2.500000,728.462,193.462,44.805,4809.5,sam2_mask_circle
62,2.541667,727.941,192.471,45.061,4794.5,sam2_mask_circle
63,2.583333,728.520,190.721,44.356,4702.0,sam2_mask_circle
64,2.625000,727.978,189.251,44.434,4714.0,sam2_mask_circle
65,2.666667,727.711,188.392,44.735,4707.5,sam2_mask_circle
66,2.708333,727.817,186.817,44.157,4684.5,sam2_mask_circle
67,2.750000,727.253,185.830,44.696,4734.0,sam2_mask_circle
68,2.791667,727.598,184.369,44.143,4735.0,sam2_mask_circle
69,2.833333,727.930,183.591,44.268,4718.5,sam2_mask_circle
70,2.875000,727.419,182.200,44.165,4709.5,sam2_mask_circle
71,2.916667,727.313,181.607,44.311,4709.5,sam2_mask_circle
72,2.958333,727.016,180.559,44.178,4692.0,sam2_mask_circle
73,3.000000,726.205,179.030,44.259,4659.0,sam2_mask_circle
74,3.041667,726.701,179.029,44.148,4654.0,sam2_mask_circle
75,3.083333,726.079,177.845,44.253,4657.0,sam2_mask_circle
76,3.125000,725.500,176.500,44.300,4649.5,sam2_mask_circle
77,3.166667,726.222,177.128,44.303,4650.0,sam2_mask_circle
78,3.208333,726.161,176.505,44.245,4640.5,sam2_mask_circle
79,3.250000,725.998,175.890,44.345,4651.0,sam2_mask_circle
80,3.291667,726.077,175.923,44.313,4628.5,sam2_mask_circle
81,3.333333,725.752,175.498,44.318,4638.5,sam2_mask_circle
82,3.375000,725.890,176.110,44.254,4642.0,sam2_mask_circle
83,3.416667,725.983,176.977,44.407,4657.0,sam2_mask_circle
84,3.458333,725.428,177.188,44.259,4674.5,sam2_mask_circle
85,3.500000,725.383,178.918,44.394,4678.0,sam2_mask_circle
