frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
1,0.000000,533.926,544.243,1.000000,505.000,544.243,1.000000,564.000,544.243,1.000000,533.926,511.000,1.000000,533.926,579.000,1.000000
2,0.041667,534.868,544.283,1.000000,505.991,544.721,1.000000,564.679,544.289,1.000000,534.647,511.068,1.000000,534.397,579.137,1.000000
3,0.083333,535.151,544.222,1.000000,506.567,544.675,1.000000,564.614,544.058,1.000000,535.067,511.031,1.000000,534.712,578.932,1.000000
4,0.125000,535.503,544.197,1.000000,506.892,544.325,1.000000,564.840,543.646,1.000000,535.486,510.831,1.000000,535.057,578.575,1.000000
5,0.166667,536.435,544.041,1.000000,507.807,544.148,1.000000,565.447,543.189,1.000000,536.092,510.683,1.000000,535.792,578.289,1.000000
6,0.208333,537.417,543.826,1.000000,508.659,543.840,1.000000,566.142,542.692,1.000000,536.815,510.374,1.000000,536.810,577.890,1.000000
7,0.250000,538.577,543.244,1.000000,509.666,543.309,1.000000,566.939,541.878,1.000000,537.769,509.566,1.000000,538.005,577.165,1.000000
8,0.291667,540.316,542.185,1.000000,511.353,542.303,1.000000,568.209,540.646,0.000000,539.525,508.087,1.000000,539.661,576.187,1.000000
9,0.333333,542.135,540.920,1.000000,513.029,541.337,1.000000,569.865,539.367,0.000000,541.599,506.642,1.000000,541.275,574.855,1.000000
10,0.375000,544.044,539.101,1.000000,514.743,539.682,1.000000,571.637,537.569,0.000000,543.701,504.756,1.000000,543.110,573.408,1.000000
11,0.416667,546.445,536.101,1.000000,517.040,537.160,1.000000,573.820,534.639,0.000000,546.051,502.178,1.000000,545.226,571.138,1.000000
12,0.458333,549.529,532.053,1.000000,519.936,533.539,1.000000,576.626,530.926,0.000000,549.305,498.189,0.000000,547.861,568.222,1.000000
13,0.500000,552.817,527.303,1.000000,523.003,529.357,1.000000,579.874,526.235,0.000000,552.696,493.404,0.000000,550.862,563.952,1.000000
14,0.541667,556.293,521.720,1.000000,526.060,524.568,1.000000,583.581,521.098,0.000000,556.066,488.345,0.000000,554.074,558.752,1.000000
15,0.583333,561.144,513.758,1.000000,530.426,517.205,1.000000,588.197,513.372,0.000000,560.883,480.611,0.000000,558.684,551.294,1.000000
16,0.625000,566.005,504.557,1.000000,534.183,508.540,1.000000,592.873,505.087,0.000000,565.241,472.222,0.000000,563.393,542.431,1.000000
17,0.666667,571.517,493.704,1.000000,539.635,497.980,1.000000,597.888,495.408,0.000000,570.483,461.579,0.000000,568.552,532.050,1.000000
18,0.708333,576.947,481.305,1.000000,544.938,485.874,1.000000,603.546,484.420,0.000000,575.883,449.959,0.000000,573.834,519.798,1.000000
19,0.750000,584.041,467.744,1.000000,551.733,473.013,1.000000,609.946,471.671,0.000000,583.077,436.346,0.000000,580.524,506.596,1.000000
20,0.791667,591.682,453.821,1.000000,559.094,458.997,1.000000,616.291,458.457,0.000000,589.991,422.570,0.000000,588.267,493.866,1.000000
