frame,time,phase,contact_active,hand_side,contact_object_part,contact_fingers,primary_contact_finger,grasp_type,contact_point_2d_u,contact_point_2d_v,chair_local_point_id,chair_local_part,chair_local_role,chair_local_x,chair_local_y,chair_local_z,source
1,0.000000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
2,0.041667,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
3,0.083333,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
4,0.125000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
5,0.166667,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
6,0.208333,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
7,0.250000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
8,0.291667,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
9,0.333333,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
10,0.375000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
11,0.416667,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
12,0.458333,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
13,0.500000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
14,0.541667,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
15,0.583333,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
16,0.625000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
17,0.666667,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
18,0.708333,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
19,0.750000,static_no_contact,0,none,none,,,,,,,,,,,,stable_chair_grasp_anchor_state
20,0.791667,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,795.523,408.299,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
20,0.791667,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,879.048,411.788,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
21,0.833333,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,796.430,412.071,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
21,0.833333,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,866.536,406.938,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
22,0.875000,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,796.913,414.509,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
22,0.875000,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,866.079,406.275,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
23,0.916667,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,796.166,413.442,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
23,0.916667,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,879.431,410.417,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
24,0.958333,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,795.396,412.772,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
24,0.958333,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,876.401,408.881,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
25,1.000000,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,794.176,411.587,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
25,1.000000,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,870.225,405.623,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
26,1.041667,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,792.731,409.917,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
26,1.041667,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,871.852,404.369,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
27,1.083333,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,790.761,408.930,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
27,1.083333,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,879.810,404.685,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
28,1.125000,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,791.759,402.967,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
28,1.125000,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,876.670,401.188,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
29,1.166667,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,793.926,395.008,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
29,1.166667,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,875.925,398.055,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
30,1.208333,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,795.757,388.045,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
30,1.208333,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,875.552,394.351,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
31,1.250000,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,796.176,384.409,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
31,1.250000,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,876.295,389.807,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
32,1.291667,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,792.691,382.422,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
32,1.291667,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,875.123,387.292,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
33,1.333333,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,787.888,381.063,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
33,1.333333,stable_grasp_contact,1,left_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,871.120,376.915,backrest_top_right,backrest_board,stable_top_rail_endpoint_right,0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
34,1.375000,stable_grasp_contact,1,right_hand,top_rail,"[""palm""]",palm,two_hand_top_rail_endpoint_grasp,784.762,378.335,backrest_top_left,backrest_board,stable_top_rail_endpoint_left,-0.191000,0.130000,0.751000,stable_chair_grasp_anchor_state
