frame,time,phase,contact_start_frame,lift_frame,place_frame,static_start_frame,audio_event,audio_score,source
1,0.000000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
2,0.041667,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
3,0.083333,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
4,0.125000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
5,0.166667,pre_contact_static,20,20,145,145,audio event 1,0.419722,audio_place_frame_no_object_motion_gate
6,0.208333,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
7,0.250000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
8,0.291667,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
9,0.333333,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
10,0.375000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
11,0.416667,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
12,0.458333,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
13,0.500000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
14,0.541667,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
15,0.583333,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
16,0.625000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
17,0.666667,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
18,0.708333,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
19,0.750000,pre_contact_static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
20,0.791667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
21,0.833333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
22,0.875000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
23,0.916667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
24,0.958333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
25,1.000000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
26,1.041667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
27,1.083333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
28,1.125000,carry,20,20,145,145,audio event 2,0.191360,audio_place_frame_no_object_motion_gate
29,1.166667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
30,1.208333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
31,1.250000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
32,1.291667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
33,1.333333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
34,1.375000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
35,1.416667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
36,1.458333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
37,1.500000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
38,1.541667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
39,1.583333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
40,1.625000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
41,1.666667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
42,1.708333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
43,1.750000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
44,1.791667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
45,1.833333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
46,1.875000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
47,1.916667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
48,1.958333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
49,2.000000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
50,2.041667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
51,2.083333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
52,2.125000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
53,2.166667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
54,2.208333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
55,2.250000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
56,2.291667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
57,2.333333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
58,2.375000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
59,2.416667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
60,2.458333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
61,2.500000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
62,2.541667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
63,2.583333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
64,2.625000,carry,20,20,145,145,audio event 3,0.452104,audio_place_frame_no_object_motion_gate
65,2.666667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
66,2.708333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
67,2.750000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
68,2.791667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
69,2.833333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
70,2.875000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
71,2.916667,carry,20,20,145,145,audio event 4,0.215903,audio_place_frame_no_object_motion_gate
72,2.958333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
73,3.000000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
74,3.041667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
75,3.083333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
76,3.125000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
77,3.166667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
78,3.208333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
79,3.250000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
80,3.291667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
81,3.333333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
82,3.375000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
83,3.416667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
84,3.458333,carry,20,20,145,145,audio event 5,0.431412,audio_place_frame_no_object_motion_gate
85,3.500000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
86,3.541667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
87,3.583333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
88,3.625000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
89,3.666667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
90,3.708333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
91,3.750000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
92,3.791667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
93,3.833333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
94,3.875000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
95,3.916667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
96,3.958333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
97,4.000000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
98,4.041667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
99,4.083333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
100,4.125000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
101,4.166667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
102,4.208333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
103,4.250000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
104,4.291667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
105,4.333333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
106,4.375000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
107,4.416667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
108,4.458333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
109,4.500000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
110,4.541667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
111,4.583333,carry,20,20,145,145,audio event 6,0.203633,audio_place_frame_no_object_motion_gate
112,4.625000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
113,4.666667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
114,4.708333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
115,4.750000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
116,4.791667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
117,4.833333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
118,4.875000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
119,4.916667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
120,4.958333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
121,5.000000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
122,5.041667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
123,5.083333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
124,5.125000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
125,5.166667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
126,5.208333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
127,5.250000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
128,5.291667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
129,5.333333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
130,5.375000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
131,5.416667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
132,5.458333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
133,5.500000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
134,5.541667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
135,5.583333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
136,5.625000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
137,5.666667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
138,5.708333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
139,5.750000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
140,5.791667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
141,5.833333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
142,5.875000,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
143,5.916667,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
