frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,line_rmse_px,endpoint_rmse_px,side_ratio_rmse_px,rail_rmse_px,source
1,0.000000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.861641221,1.686410436,1.039021467,6.000428636,chair_twohand_endpoint_se3_boundary_freeze_prefix
2,0.041667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.861431785,1.569215291,1.037961205,5.912049192,chair_twohand_endpoint_se3_boundary_freeze_prefix
3,0.083333,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.882285139,1.638580093,1.025901123,5.739806013,chair_twohand_endpoint_se3_boundary_freeze_prefix
4,0.125000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.922947848,1.750254768,1.007449676,5.538932076,chair_twohand_endpoint_se3_boundary_freeze_prefix
5,0.166667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.018043807,2.369652199,0.980032911,5.296272895,chair_twohand_endpoint_se3_boundary_freeze_prefix
6,0.208333,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.325460175,3.749555258,0.970118694,5.571095937,chair_twohand_endpoint_se3_boundary_freeze_prefix
7,0.250000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.366027555,3.877381191,0.969057303,5.550574219,chair_twohand_endpoint_se3_boundary_freeze_prefix
8,0.291667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.441411004,4.136015612,0.971864471,5.672148171,chair_twohand_endpoint_se3_boundary_freeze_prefix
9,0.333333,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.505616621,4.354328105,0.977297500,5.811609464,chair_twohand_endpoint_se3_boundary_freeze_prefix
10,0.375000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.552221051,4.511702067,0.982658760,5.945733456,chair_twohand_endpoint_se3_boundary_freeze_prefix
11,0.416667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.584978442,4.619563153,0.986505860,6.043583395,chair_twohand_endpoint_se3_boundary_freeze_prefix
12,0.458333,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.611683550,4.702591777,0.989852000,6.095650565,chair_twohand_endpoint_se3_boundary_freeze_prefix
13,0.500000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.622503444,4.734706132,0.991474364,6.103163298,chair_twohand_endpoint_se3_boundary_freeze_prefix
14,0.541667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.622208762,4.733238833,0.991757994,6.099219172,chair_twohand_endpoint_se3_boundary_freeze_prefix
15,0.583333,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.621082741,4.727840731,0.991640090,6.084243222,chair_twohand_endpoint_se3_boundary_freeze_prefix
16,0.625000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.624664871,4.735750382,0.992192133,6.097998675,chair_twohand_endpoint_se3_boundary_freeze_prefix
17,0.666667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.628107240,4.742201014,0.993049983,6.131920617,chair_twohand_endpoint_se3_boundary_freeze_prefix
18,0.708333,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.626623290,4.728957055,0.993203191,6.152961114,chair_twohand_endpoint_se3_boundary_freeze_prefix
19,0.750000,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.583607867,4.634060606,0.988514871,6.303793027,chair_twohand_endpoint_se3_boundary_freeze_prefix
20,0.791667,0.550992565,0.890099731,4.977573647,0.616167246,0.366703473,-0.323473505,0.617439373,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.740041200,4.577574433,1.045339795,6.208710568,chair_twohand_endpoint_se3_contact_refined
21,0.833333,0.552134176,0.890441261,4.979507538,0.617167573,0.366678185,-0.325624256,0.615321168,0.002729142,1.023281087,0.060681150,0.202113155,0.049531422,1468.604736328,1468.604736328,640.000000000,360.000000000,1.637990527,3.518623147,1.032128919,9.076705525,chair_twohand_endpoint_se3_contact_refined
22,0.875000,0.553593198,0.890758202,4.980711782,0.618662958,0.366426873,-0.328318224,0.612531334,0.009065997,1.027225009,0.056346073,0.198393028,0.048710949,1468.604736328,1468.604736328,640.000000000,360.000000000,1.594877123,3.336311197,1.018059692,9.423987099,chair_twohand_endpoint_se3_contact_refined
23,0.916667,0.555330209,0.890704900,4.982667147,0.620298771,0.366067795,-0.331173743,0.609547173,0.015902306,1.031265040,0.051610545,0.195918977,0.047761599,1468.604736328,1468.604736328,640.000000000,360.000000000,1.552741952,4.213192929,0.986100519,6.873239867,chair_twohand_endpoint_se3_contact_refined
24,0.958333,0.556010101,0.890218467,4.981219990,0.622057028,0.365514105,-0.333888651,0.606599424,0.022869618,1.034770589,0.046790050,0.198441994,0.046502115,1468.604736328,1468.604736328,640.000000000,360.000000000,1.548621428,3.969443295,0.993278713,6.793763367,chair_twohand_endpoint_se3_contact_refined
25,1.000000,0.556250764,0.888031625,4.977891511,0.623460520,0.364560939,-0.336395055,0.604343172,0.028290289,1.037290748,0.041680521,0.204047498,0.045739827,1468.604736328,1468.604736328,640.000000000,360.000000000,1.555816373,3.446115645,1.003645487,7.347093993,chair_twohand_endpoint_se3_contact_refined
26,1.041667,0.556454587,0.884007902,4.973908782,0.625183273,0.363170285,-0.338931251,0.601979092,0.034343612,1.039153354,0.035875258,0.209071422,0.044457558,1468.604736328,1468.604736328,640.000000000,360.000000000,1.506495302,3.434030181,0.988898284,6.948957852,chair_twohand_endpoint_se3_contact_refined
27,1.083333,0.556646048,0.877182302,4.966565254,0.627812766,0.360888215,-0.342451978,0.598612955,0.043225512,1.041179350,0.027291814,0.212392939,0.042475346,1468.604736328,1468.604736328,640.000000000,360.000000000,1.387171277,3.894907634,0.964755588,7.402972394,chair_twohand_endpoint_se3_contact_refined
28,1.125000,0.556732281,0.867298141,4.958557722,0.631193484,0.357858617,-0.345067704,0.595365666,0.053035407,1.040531788,0.018934206,0.215801603,0.040523958,1468.604736328,1468.604736328,640.000000000,360.000000000,1.380215071,3.877751363,0.951776551,5.991234887,chair_twohand_endpoint_se3_contact_refined
29,1.166667,0.556740123,0.855612471,4.954359972,0.633864930,0.355993127,-0.346252117,0.592953299,0.060556960,1.039455925,0.014418540,0.219591473,0.039874314,1468.604736328,1468.604736328,640.000000000,360.000000000,1.374672416,3.868292775,0.936062066,4.524250262,chair_twohand_endpoint_se3_contact_refined
30,1.208333,0.557307122,0.841832487,4.951410302,0.634997533,0.354635232,-0.348013060,0.591522523,0.064356068,1.040130445,0.009802802,0.219647616,0.039769972,1468.604736328,1468.604736328,640.000000000,360.000000000,1.371151506,3.778673791,0.935289028,3.903888255,chair_twohand_endpoint_se3_contact_refined
31,1.250000,0.558469420,0.826348523,4.953602271,0.634964621,0.354468989,-0.349542582,0.590755153,0.065456452,1.042358145,0.007294029,0.216121024,0.039922605,1468.604736328,1468.604736328,640.000000000,360.000000000,1.438590581,3.916852994,0.945243060,4.240947590,chair_twohand_endpoint_se3_contact_refined
32,1.291667,0.558460341,0.809078418,4.953848123,0.635475056,0.354750613,-0.350087623,0.589713585,0.067763391,1.043721457,0.006904935,0.212570238,0.040137564,1468.604736328,1468.604736328,640.000000000,360.000000000,1.685177375,4.763955891,0.946098441,5.255714784,chair_twohand_endpoint_se3_contact_refined
33,1.333333,0.557029190,0.790405373,4.956003464,0.634803929,0.356473349,-0.349125836,0.589967688,0.066400277,1.044957833,0.010881306,0.214448181,0.042144532,1468.604736328,1468.604736328,640.000000000,360.000000000,1.379772077,3.726311167,0.935997003,6.109768625,chair_twohand_endpoint_se3_contact_refined
34,1.375000,0.553948277,0.771012381,4.959657040,0.633489452,0.358976421,-0.346800505,0.591232994,0.062580518,1.045233980,0.018032158,0.220582121,0.045425997,1468.604736328,1468.604736328,640.000000000,360.000000000,1.439474959,3.543560954,0.950953305,7.621119847,chair_twohand_endpoint_se3_contact_refined
35,1.416667,0.549586322,0.749563899,4.961023230,0.632148662,0.361312722,-0.343926452,0.592921395,0.058089301,1.044346302,0.025746283,0.225486403,0.047808125,1468.604736328,1468.604736328,640.000000000,360.000000000,1.580668978,4.239671044,0.966093141,7.271157876,chair_twohand_endpoint_se3_contact_refined
36,1.458333,0.545129841,0.726009581,4.968600955,0.629798371,0.364990991,-0.340294042,0.595260912,0.051144585,1.044417042,0.036572327,0.225667988,0.047708645,1468.604736328,1468.604736328,640.000000000,360.000000000,2.177880158,6.233673585,1.068174202,8.349801848,chair_twohand_endpoint_se3_contact_refined
37,1.500000,0.538316787,0.701713891,4.971491626,0.626278469,0.369730951,-0.336980117,0.597928678,0.041990612,1.046753058,0.048509266,0.223559640,0.046475974,1468.604736328,1468.604736328,640.000000000,360.000000000,1.878030661,5.221048190,1.022848661,7.875460936,chair_twohand_endpoint_se3_contact_refined
38,1.541667,0.529576920,0.676834176,4.973445556,0.622498540,0.375228290,-0.332938104,0.600709178,0.032281675,1.049172366,0.062654334,0.216882907,0.043787092,1468.604736328,1468.604736328,640.000000000,360.000000000,1.436523090,3.323092891,0.945676899,8.126928934,chair_twohand_endpoint_se3_contact_refined
39,1.583333,0.519044364,0.650999752,4.973010042,0.618439292,0.381169523,-0.329091145,0.603275770,0.022473709,1.052670459,0.077184860,0.207080553,0.039953808,1468.604736328,1468.604736328,640.000000000,360.000000000,1.350783040,2.443105117,0.936671176,8.755995883,chair_twohand_endpoint_se3_contact_refined
40,1.625000,0.506388763,0.625201245,4.970524157,0.614367381,0.388018442,-0.324717404,0.605436220,0.013243160,1.056847471,0.093863024,0.198034574,0.036028754,1468.604736328,1468.604736328,640.000000000,360.000000000,1.383682322,2.830643800,0.931846591,8.729910131,chair_twohand_endpoint_se3_contact_refined
41,1.666667,0.491625473,0.599113295,4.964999502,0.610299063,0.395106268,-0.318937446,0.608033714,0.003360313,1.059179237,0.112985288,0.196913882,0.034380740,1468.604736328,1468.604736328,640.000000000,360.000000000,1.425669638,3.032038079,0.935290030,9.432328611,chair_twohand_endpoint_se3_contact_refined
42,1.708333,0.476439544,0.573688005,4.960717639,0.606043241,0.401415002,-0.313140391,0.611163384,-0.007597139,1.060239178,0.130979630,0.200561255,0.034542857,1468.604736328,1468.604736328,640.000000000,360.000000000,1.403755238,3.038464688,0.921695977,6.534681164,chair_twohand_endpoint_se3_contact_refined
43,1.750000,0.462154660,0.548386696,4.958505788,0.600758840,0.407048920,-0.308019046,0.615243253,-0.021498133,1.061322064,0.146982658,0.205918547,0.035308390,1468.604736328,1468.604736328,640.000000000,360.000000000,1.424240645,3.133896957,0.921976933,6.721727587,chair_twohand_endpoint_se3_contact_refined
44,1.791667,0.449096323,0.523256970,4.956511064,0.595404599,0.411873875,-0.303535078,0.619451152,-0.035700829,1.062135304,0.160845710,0.210565880,0.035842047,1468.604736328,1468.604736328,640.000000000,360.000000000,1.484704190,3.297514832,0.932167799,9.203234094,chair_twohand_endpoint_se3_contact_refined
45,1.833333,0.437627838,0.498327553,4.951856334,0.589941595,0.416973412,-0.301231745,0.622383743,-0.048196167,1.066968080,0.171946224,0.214128649,0.036313219,1468.604736328,1468.604736328,640.000000000,360.000000000,1.543755340,3.463406367,0.938601313,13.227633097,chair_twohand_endpoint_se3_contact_refined
46,1.875000,0.428859853,0.474246752,4.949800617,0.585072143,0.421552814,-0.299821830,0.624572399,-0.058721483,1.072402888,0.180966520,0.215899706,0.036500105,1468.604736328,1468.604736328,640.000000000,360.000000000,1.631024121,3.763865481,0.941668525,12.852782675,chair_twohand_endpoint_se3_contact_refined
47,1.916667,0.421608629,0.452952270,4.942847025,0.580065160,0.424906626,-0.300441263,0.626668825,-0.069332507,1.079103697,0.185167745,0.216457234,0.036584253,1468.604736328,1468.604736328,640.000000000,360.000000000,1.620527902,3.624251983,0.937722987,11.127163020,chair_twohand_endpoint_se3_contact_refined
48,1.958333,0.417767873,0.431846427,4.944375404,0.578937013,0.426522164,-0.300507164,0.626582974,-0.070904921,1.081937605,0.187530767,0.217218187,0.036801824,1468.604736328,1468.604736328,640.000000000,360.000000000,1.557005435,3.338732161,0.924673510,8.764556088,chair_twohand_endpoint_se3_contact_refined
49,2.000000,0.414372235,0.416144381,4.941244305,0.577361757,0.426788939,-0.300623343,0.627797904,-0.075064019,1.082606268,0.187772008,0.218356823,0.037088722,1468.604736328,1468.604736328,640.000000000,360.000000000,1.556284998,3.339225336,0.918749410,8.621875756,chair_twohand_endpoint_se3_contact_refined
50,2.041667,0.411098556,0.404182247,4.936935190,0.576833290,0.426426804,-0.298293161,0.629638568,-0.078563890,1.078241059,0.190637711,0.220019836,0.037373781,1468.604736328,1468.604736328,640.000000000,360.000000000,1.673116265,3.773666370,0.930191702,10.925669731,chair_twohand_endpoint_se3_contact_refined
51,2.083333,0.408800513,0.393963926,4.933699591,0.578083177,0.424435103,-0.296493496,0.630687157,-0.078218900,1.071976719,0.190241341,0.222330185,0.037901131,1468.604736328,1468.604736328,640.000000000,360.000000000,1.715025458,3.946958898,0.938513200,12.231141078,chair_twohand_endpoint_se3_contact_refined
52,2.125000,0.405786866,0.386684114,4.924482863,0.580258912,0.422305159,-0.293814446,0.631372330,-0.075947587,1.064056319,0.190919722,0.223437883,0.038343753,1468.604736328,1468.604736328,640.000000000,360.000000000,1.696406762,3.753919503,0.946176784,11.827413434,chair_twohand_endpoint_se3_contact_refined
53,2.166667,0.404725036,0.380833388,4.928846084,0.584172509,0.419275715,-0.290512094,0.631310603,-0.069972719,1.053623053,0.191139264,0.222019128,0.038319106,1468.604736328,1468.604736328,640.000000000,360.000000000,1.685487145,3.659735786,0.954524604,11.856818383,chair_twohand_endpoint_se3_contact_refined
54,2.208333,0.404672878,0.377231016,4.932291037,0.586276257,0.417213051,-0.290906249,0.630544983,-0.065691197,1.050791572,0.187429043,0.217378760,0.037656082,1468.604736328,1468.604736328,640.000000000,360.000000000,1.686312884,3.655508585,0.955531226,12.741488914,chair_twohand_endpoint_se3_contact_refined
55,2.250000,0.405367007,0.375294020,4.935307306,0.587771985,0.416128649,-0.292709933,0.629032539,-0.061227572,1.051863362,0.183144129,0.211518160,0.037092426,1468.604736328,1468.604736328,640.000000000,360.000000000,1.662025412,3.585107644,0.945012197,8.628097853,chair_twohand_endpoint_se3_contact_refined
56,2.291667,0.407150330,0.375379855,4.941776597,0.590000276,0.415169456,-0.295490915,0.626273995,-0.053834681,1.054707792,0.177617742,0.205268540,0.036806781,1468.604736328,1468.604736328,640.000000000,360.000000000,1.663228495,3.639403232,0.939727481,8.248526311,chair_twohand_endpoint_se3_contact_refined
57,2.333333,0.411044098,0.376342858,4.955195502,0.591991698,0.415989496,-0.300373933,0.621509508,-0.043838742,1.063916051,0.171707891,0.198056568,0.036708007,1468.604736328,1468.604736328,640.000000000,360.000000000,1.619331435,3.576083532,0.910777212,6.319674909,chair_twohand_endpoint_se3_contact_refined
58,2.375000,0.415471555,0.379905079,4.971000902,0.595803556,0.416240880,-0.305014924,0.615408440,-0.029133276,1.071801534,0.165284147,0.189292216,0.036506730,1468.604736328,1468.604736328,640.000000000,360.000000000,1.685625771,3.882902392,0.939710735,9.434179349,chair_twohand_endpoint_se3_contact_refined
59,2.416667,0.419882299,0.385588584,4.984351465,0.599821484,0.416282395,-0.309806339,0.609051055,-0.013723452,1.079621621,0.158319289,0.178303214,0.036211298,1468.604736328,1468.604736328,640.000000000,360.000000000,1.646626612,3.773728684,0.934005969,9.051482252,chair_twohand_endpoint_se3_contact_refined
60,2.458333,0.423545773,0.392082750,4.990769493,0.602794776,0.417381973,-0.315356676,0.602478974,0.000469993,1.090501986,0.151839662,0.163630698,0.035278364,1468.604736328,1468.604736328,640.000000000,360.000000000,1.646146955,3.730898147,0.942128434,12.416067036,chair_twohand_endpoint_se3_contact_refined
61,2.500000,0.426483934,0.399476624,4.998709753,0.605761216,0.417141320,-0.322697431,0.595745615,0.014920002,1.102120149,0.140690810,0.146757700,0.034191079,1468.604736328,1468.604736328,640.000000000,360.000000000,1.556331889,3.442156902,0.906753973,8.376953161,chair_twohand_endpoint_se3_contact_refined
62,2.541667,0.427636737,0.406823719,5.004697473,0.607466715,0.417764420,-0.330602672,0.589201962,0.027241993,1.116194174,0.130002289,0.127839427,0.033222112,1468.604736328,1468.604736328,640.000000000,360.000000000,1.511784126,3.345264241,0.891035104,8.320591556,chair_twohand_endpoint_se3_contact_refined
63,2.583333,0.425522886,0.414137182,5.000606469,0.608949258,0.417032997,-0.338508288,0.583674926,0.037735594,1.128053538,0.117240550,0.110722199,0.033718810,1468.604736328,1468.604736328,640.000000000,360.000000000,1.409158023,3.028620767,0.853876237,6.983147480,chair_twohand_endpoint_se3_contact_refined
64,2.625000,0.421934089,0.420584311,4.999962087,0.611464566,0.415038373,-0.344327619,0.579044665,0.048430273,1.134374269,0.105630830,0.096187965,0.035535934,1468.604736328,1468.604736328,640.000000000,360.000000000,1.456471234,3.493469591,0.849285515,6.929890592,chair_twohand_endpoint_se3_contact_refined
65,2.666667,0.415998493,0.427201041,4.995555953,0.614362340,0.411974482,-0.348889136,0.575423594,0.058179122,1.136820797,0.094257016,0.084045458,0.038195103,1468.604736328,1468.604736328,640.000000000,360.000000000,1.452989461,3.687290210,0.799621779,5.641101505,chair_twohand_endpoint_se3_contact_refined
66,2.708333,0.407914709,0.432465573,4.990189277,0.617288661,0.408330441,-0.352365798,0.572764615,0.066519696,1.136493355,0.083612145,0.074394282,0.041664090,1468.604736328,1468.604736328,640.000000000,360.000000000,1.659551720,4.530719889,0.864142295,6.112632486,chair_twohand_endpoint_se3_contact_refined
