frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
5,right_hand,penetration,-0.0008,0.0011,0.0000,0.10
6,right_hand,penetration,-0.0012,0.0018,0.0000,0.10
46,right_hand,penetration,-0.0001,0.0023,0.0000,0.16
47,right_hand,penetration,-0.0039,0.0008,0.0000,0.28
48,right_hand,penetration,-0.0011,0.0015,0.0000,0.28
49,right_hand,penetration,-0.0010,0.0005,0.0000,0.19
58,left_hand,penetration,-0.0026,0.0035,0.0000,0.39
59,left_hand,penetration,-0.0008,0.0008,0.0000,0.67
60,left_hand,penetration,-0.0007,0.0008,0.0000,0.73
61,left_hand,penetration,-0.0006,0.0006,0.0000,0.57
62,left_hand,penetration,-0.0018,0.0005,0.0000,0.62
63,left_hand,penetration,-0.0024,0.0009,0.0000,0.56
64,left_hand,penetration,-0.0035,0.0007,0.0000,0.54
65,left_hand,penetration,-0.0008,0.0005,0.0000,0.38
74,left_hand,penetration,-0.0008,0.0023,0.0000,0.46
77,left_hand,penetration,-0.0013,0.0003,0.0000,0.53
78,left_hand,penetration,-0.0009,-0.0004,0.0000,0.87
79,left_hand,penetration,-0.0032,0.0004,0.0000,0.80
80,left_hand,penetration,-0.0012,0.0008,0.0000,0.44
80,right_hand,penetration,-0.0005,0.0023,0.0000,0.44
81,right_hand,penetration,-0.0043,0.0009,0.0000,0.25
82,right_hand,penetration,-0.0022,0.0011,0.0000,0.15
84,left_hand,penetration,-0.0000,0.0002,0.0000,0.23
87,left_hand,penetration,-0.0001,0.0013,0.0000,0.22
88,left_hand,penetration,-0.0002,0.0012,0.0000,0.24
89,left_hand,penetration,-0.0010,0.0009,0.0000,0.33
90,left_hand,penetration,-0.0010,0.0013,0.0000,0.34
91,left_hand,penetration,-0.0017,0.0008,0.0000,0.45
92,left_hand,penetration,-0.0024,0.0009,0.0000,0.50
93,left_hand,penetration,-0.0025,0.0004,0.0000,0.53
94,left_hand,penetration,-0.0032,0.0004,0.0000,0.46
95,left_hand,penetration,-0.0035,0.0006,0.0000,0.42
96,left_hand,penetration,-0.0034,0.0006,0.0000,0.40
97,left_hand,penetration,-0.0039,0.0005,0.0000,0.42
98,left_hand,penetration,-0.0035,0.0003,0.0000,0.36
99,left_hand,penetration,-0.0031,0.0004,0.0000,0.32
100,left_hand,penetration,-0.0027,0.0008,0.0000,0.24
102,left_hand,penetration,-0.0007,0.0023,0.0000,0.33
103,left_hand,penetration,-0.0058,0.0008,0.0000,0.73
104,left_hand,penetration,-0.0028,0.0001,0.0000,1.72
105,left_hand,penetration,-0.0004,0.0003,0.0000,1.34
106,left_hand,penetration,-0.0062,0.0009,0.0000,0.70
107,left_hand,penetration,-0.0062,0.0010,0.0000,0.54
108,left_hand,penetration,-0.0051,0.0010,0.0000,0.46
109,left_hand,penetration,-0.0037,0.0009,0.0000,0.45
110,left_hand,penetration,-0.0025,0.0008,0.0000,0.32
111,left_hand,penetration,-0.0006,0.0008,0.0000,0.35
112,left_hand,penetration,-0.0017,0.0007,0.0000,0.44
113,left_hand,penetration,-0.0004,-0.0007,0.0000,0.86
114,left_hand,penetration,-0.0026,0.0004,0.0000,0.40
114,right_hand,penetration,-0.0078,0.0008,0.0000,0.40
115,left_hand,penetration,-0.0033,-0.0001,0.0000,0.40
116,left_hand,penetration,-0.0012,0.0007,0.0000,0.43
117,left_hand,penetration,-0.0026,0.0017,0.0000,0.24
