frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
1,0.000000,2.463104,5.279877,1.505730,1.571106,15252,0.730698,0.8804,0.0000,mask
2,0.033333,2.440979,5.247474,1.500577,1.584598,15436,0.707208,0.8508,0.0000,mask
3,0.066667,2.427109,5.224007,1.491539,1.603879,15391,0.684823,0.8236,0.0000,mask
4,0.100000,2.442094,5.239443,1.478409,1.629030,15133,0.682389,0.8177,0.0000,mask
5,0.133333,2.452974,5.244847,1.459395,1.664990,15143,0.681617,0.8137,0.0000,mask
6,0.166667,2.437158,5.208023,1.430557,1.721530,14841,0.681596,0.8089,0.0000,mask
7,0.200000,2.450898,5.209747,1.388862,1.805787,15324,0.676865,0.8096,0.0000,mask
8,0.233333,2.467700,5.211433,1.336607,1.913087,14795,0.661131,0.7880,0.0000,mask
9,0.266667,2.497799,5.228406,1.281935,2.026389,14717,0.664639,0.7949,0.0000,mask
10,0.300000,2.498681,5.209880,1.233753,2.127124,14628,0.655605,0.7838,0.0000,mask
11,0.333333,2.514298,5.214268,1.195973,2.207236,14602,0.659152,0.7895,0.0000,mask
12,0.366667,2.516603,5.206954,1.166665,2.270922,14916,0.662676,0.7960,0.0000,mask
13,0.400000,2.543609,5.230901,1.141848,2.326485,14912,0.659148,0.7920,0.0000,mask
14,0.433333,2.538411,5.219326,1.119610,2.377296,14442,0.660169,0.7907,0.0000,mask
15,0.466667,2.556512,5.234743,1.101500,2.418744,14834,0.650262,0.7828,0.0000,mask
16,0.500000,2.567679,5.243274,1.090808,2.442429,14878,0.640775,0.7715,0.0000,mask
17,0.533333,2.582913,5.257448,1.089142,2.444290,14890,0.626785,0.7554,0.0000,mask
18,0.566667,2.570385,5.242329,1.094159,2.429918,14944,0.641501,0.7720,0.0000,mask
19,0.600000,2.577805,5.249197,1.100720,2.411756,14993,0.647988,0.7806,0.0000,mask
20,0.633333,2.584339,5.254792,1.104702,2.399868,14991,0.646274,0.7773,0.0000,mask
21,0.666667,2.591232,5.260243,1.105942,2.394490,15015,0.642213,0.7746,0.0000,mask
22,0.700000,2.585305,5.250741,1.107256,2.388148,15080,0.642585,0.7751,0.0000,mask
23,0.733333,2.583546,5.244732,1.110582,2.375493,15126,0.650334,0.7815,0.0000,mask
24,0.766667,2.573914,5.228898,1.114537,2.360174,15135,0.655980,0.7872,0.0000,mask
25,0.800000,2.582772,5.233486,1.115770,2.351707,14980,0.670617,0.8027,0.0000,mask
26,0.833333,2.582307,5.228464,1.112008,2.356919,15075,0.681298,0.8093,0.0000,mask
27,0.866667,2.576473,5.218241,1.103288,2.375650,14427,0.682849,0.8045,0.0000,mask
28,0.900000,2.570738,5.207829,1.091002,2.403147,14874,0.679568,0.8075,0.0000,mask
29,0.933333,2.615042,5.250114,1.077117,2.433409,14728,0.677987,0.8062,0.0000,mask
30,0.966667,2.627173,5.256210,1.064188,2.460403,14664,0.670343,0.7892,0.0000,mask
31,1.000000,2.666003,5.291389,1.054571,2.479901,14710,0.658661,0.7800,0.0000,mask
32,1.033333,2.639906,5.260938,1.048605,2.492720,14659,0.660062,0.7701,0.0000,mask
33,1.066667,2.676021,5.298708,1.043892,2.505230,14059,0.664680,0.7731,0.0000,mask
34,1.100000,2.680021,5.303894,1.037044,2.524596,13979,0.654162,0.7509,0.0000,mask
35,1.133333,2.699713,5.323774,1.026832,2.551623,14475,0.646250,0.7517,0.0000,mask
36,1.166667,2.730161,5.322324,1.016779,2.575484,14316,0.577223,0.7250,0.0785,mask
37,1.200000,2.796699,5.381814,1.015254,2.573988,14230,0.573242,0.7082,0.0771,mask
38,1.233333,2.739315,5.346441,1.032214,2.521471,13781,0.644018,0.7377,0.0065,mask
39,1.266667,2.816643,5.384199,1.074199,2.401427,14162,0.599863,0.7610,0.1018,mask
40,1.300000,2.812849,5.349348,1.142111,2.213284,13920,0.534589,0.7250,0.1857,mask
41,1.333333,2.815160,5.416054,1.232826,1.969248,13803,0.663880,0.8029,0.0499,mask
42,1.366667,2.756305,5.384038,1.339617,1.691646,13468,0.721241,0.8328,0.0000,mask
43,1.400000,2.809045,5.454812,1.449476,1.415650,13827,0.638316,0.7853,0.0651,mask
44,1.433333,2.796062,5.218571,1.544788,1.182470,13786,0.363101,0.7958,0.9282,mask
45,1.466667,2.758188,5.245856,1.613688,1.015534,13301,0.450764,0.8180,0.5914,mask
46,1.500000,2.805737,5.250194,1.659133,0.902937,13884,0.383569,0.8098,0.8409,mask
47,1.533333,2.789304,5.385690,1.695637,0.808198,13832,0.581909,0.9076,0.3365,mask
48,1.566667,2.754738,5.342417,1.737406,0.697515,13761,0.481928,0.7374,0.3185,mask
49,1.600000,2.738187,5.352134,1.790435,0.555684,13617,0.509433,0.7216,0.2214,mask
50,1.633333,2.742827,5.234109,1.855121,0.379005,13764,0.393312,0.7468,0.6410,mask
51,1.666667,2.715331,5.350680,1.937232,0.150446,13352,0.529746,0.6914,0.1212,mask
52,1.700000,2.745252,5.306855,2.055804,-0.177918,13970,0.424887,0.6845,0.3733,mask
53,1.733333,2.763325,5.328135,2.233392,-0.660729,13296,0.390590,0.6430,0.4112,mask
54,1.766667,2.752207,5.492070,2.467982,-1.290259,13920,0.517841,0.6152,0.0148,mask
55,1.800000,2.791085,5.233461,2.712059,-1.944216,13299,0.229942,0.5500,1.0654,mask
56,1.833333,2.770947,5.150777,2.886590,-2.419533,13921,0.197704,0.5105,1.2082,mask
57,1.866667,2.793126,5.266200,2.920267,-2.529494,13501,0.211618,0.4774,0.9349,mask
58,1.900000,2.815000,5.311331,2.781142,-2.185066,14172,0.209865,0.4795,0.9527,mask
59,1.933333,2.825400,5.243958,2.491505,-1.438647,13742,0.216909,0.5522,1.1838,mask
60,1.966667,2.812945,5.454698,2.129055,-0.492485,14252,0.428559,0.5396,0.0710,mask
61,2.000000,2.833843,5.436577,1.799900,0.371799,13755,0.406086,0.5126,0.0699,mask
62,2.033333,2.837862,5.407189,1.586174,0.934022,14228,0.443536,0.5483,0.0543,mask
63,2.066667,2.806172,5.326235,1.510793,1.131039,14400,0.454863,0.5891,0.1016,mask
64,2.100000,2.841549,5.342140,1.546610,1.033841,14458,0.392862,0.5589,0.2083,mask
65,2.133333,2.851372,5.445469,1.645079,0.771277,14124,0.508925,0.6190,0.0324,mask
66,2.166667,2.846024,5.343474,1.751253,0.488268,13842,0.367881,0.5491,0.2864,mask
67,2.200000,2.870707,5.282993,1.811125,0.325204,14187,0.305904,0.5791,0.6247,mask
68,2.233333,2.872749,5.210272,1.792771,0.363910,14302,0.238817,0.5404,0.9430,mask
69,2.266667,2.874365,5.348549,1.710117,0.567898,14223,0.368679,0.5547,0.2817,mask
70,2.300000,2.868085,5.397686,1.615670,0.802371,14059,0.452040,0.5637,0.0721,mask
71,2.333333,2.856048,5.351675,1.560664,0.937464,14053,0.481133,0.6109,0.0859,mask
72,2.366667,2.895871,5.360510,1.559074,0.940313,13969,0.462363,0.6507,0.2099,mask
73,2.400000,2.850650,5.347555,1.583432,0.883692,13435,0.445557,0.5700,0.1001,mask
74,2.433333,2.778356,5.238794,1.589010,0.881474,13343,0.419545,0.5698,0.1536,mask
75,2.466667,2.750128,5.241920,1.548544,0.998920,13806,0.490233,0.5996,0.0378,mask
76,2.500000,2.728879,5.221666,1.477194,1.190582,13783,0.538685,0.6418,0.0000,mask
77,2.533333,2.779396,5.284361,1.429719,1.310605,13643,0.545945,0.6455,0.0000,mask
78,2.566667,2.798302,5.306373,1.467654,1.199435,13711,0.552489,0.6482,0.0000,mask
79,2.600000,2.828203,5.310236,1.612076,0.806357,13696,0.507968,0.6645,0.1189,mask
80,2.633333,2.823207,5.289001,1.810693,0.273690,13145,0.405576,0.5822,0.2353,mask
81,2.666667,2.780680,5.203083,1.953462,-0.106414,13484,0.312398,0.5021,0.3553,mask
82,2.700000,2.805596,5.056311,1.945492,-0.084589,13049,0.140296,0.4284,1.6289,mask
83,2.733333,2.731467,5.217128,1.783463,0.345657,13588,0.479739,0.5655,0.0000,mask
84,2.766667,2.778881,5.273151,1.557820,0.944154,13793,0.472585,0.5562,0.0000,mask
85,2.800000,2.766470,5.233976,1.375864,1.427689,13603,0.529585,0.6263,0.0000,mask
86,2.833333,2.777373,5.226523,1.286521,1.667809,13578,0.520499,0.6343,0.0425,mask
87,2.866667,2.781379,5.246285,1.272111,1.711397,13557,0.542722,0.6486,0.0104,mask
88,2.900000,2.755362,5.193553,1.291705,1.665578,13303,0.496128,0.6402,0.1050,mask
89,2.933333,2.768608,5.224014,1.320712,1.593554,13613,0.492203,0.6268,0.0785,mask
90,2.966667,2.781277,5.257275,1.356181,1.501855,13622,0.486198,0.5915,0.0425,mask
91,3.000000,2.781276,5.261831,1.399001,1.388605,13500,0.481308,0.5929,0.0506,mask
92,3.033333,2.794605,5.256870,1.440674,1.278605,13568,0.468658,0.6231,0.1379,mask
93,3.066667,2.814436,5.291350,1.467566,1.210759,13566,0.450603,0.6063,0.1477,mask
