event,audio_time,audio_frame,peak,prominence,rms_rise,sharpness,audio_score
audio event 1,0.096000,3,3.602436,2.901102,0.000000,3.017546,0.131685
audio event 2,1.760000,53,20.134550,20.134550,0.000000,17.518038,0.800000
audio event 3,2.240000,67,2.995135,2.622726,0.000069,2.020547,0.250932
audio event 4,2.944000,88,19.005125,19.005125,0.000002,16.877999,0.762810
audio event 5,3.488000,105,14.699160,14.699160,0.000000,13.387797,0.589165
audio event 6,4.128000,124,12.352781,12.352781,0.000000,10.150818,0.485700
audio event 7,4.864000,146,11.356832,11.350449,0.000000,9.527102,0.448112
audio event 8,5.184000,156,3.181596,2.778335,0.000094,2.303268,0.310636
audio event 9,5.536000,166,15.021508,15.021508,0.000017,13.490118,0.634883
audio event 10,5.888000,177,13.124966,13.124735,0.000000,11.109340,0.518832
audio event 11,6.272000,188,3.382539,3.126479,0.000097,1.917342,0.321800
audio event 12,6.816000,204,10.365673,10.345364,0.000009,9.095392,0.429963
audio event 13,7.200000,216,2.630337,2.229318,0.000047,1.853768,0.190900
