frame,time,stage_label,r_center_u,r_center_v,r_depth,r_support,r_contact,r_smooth_xy,r_smooth_z,r_reg,E_visual,E_depth,E_support,E_contact,E_smooth,E_reg,E_total,contact_active,audio_contact_frame
1,0.000000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0
2,0.033333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000692977,0.004416681,,0.000000000,0.000000000,0.000000000,0.000000000,0.000019987,0.000000000,0.000019987,1,0
3,0.066667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000526444,0.003800868,,0.000000000,0.000000000,0.000000000,0.000000000,0.000014724,0.000000000,0.000014724,1,0
4,0.100000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000314865,0.001361765,,0.000000000,0.000000000,0.000000000,0.000000000,0.000001954,0.000000000,0.000001954,1,0
5,0.133333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000634218,0.005128646,,0.000000000,0.000000000,0.000000000,0.000000000,0.000026705,0.000000000,0.000026705,0,0
6,0.166667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000660241,0.005727465,,0.000000000,0.000000000,0.000000000,0.000000000,0.000033240,0.000000000,0.000033240,0,0
7,0.200000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000374956,0.003279865,,0.000000000,0.000000000,0.000000000,0.000000000,0.000010898,0.000000000,0.000010898,0,0
8,0.233333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000086335,0.001093437,,0.000000000,0.000000000,0.000000000,0.000000000,0.000001203,0.000000000,0.000001203,0,0
9,0.266667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000145798,-0.000701678,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000514,0.000000000,0.000000514,0,0
10,0.300000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000194203,0.001939565,,0.000000000,0.000000000,0.000000000,0.000000000,0.000003800,0.000000000,0.000003800,0,0
11,0.333333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000432570,0.003261082,,0.000000000,0.000000000,0.000000000,0.000000000,0.000010822,0.000000000,0.000010822,0,0
12,0.366667,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000430274,0.003135862,,0.000000000,0.000000000,0.000000000,0.000000000,0.000010019,0.000000000,0.000010019,1,0
13,0.400000,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000151659,-0.001363554,,0.000000000,0.000000000,0.000000000,0.000000000,0.000001882,0.000000000,0.000001882,1,0
14,0.433333,stage3_translation3_init,0.000000000,0.000000000,0.000000000,,,0.000035961,0.000151158,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000024,0.000000000,0.000000024,0,0
