frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
1,0.000000,3.195653511,0.000000000,0.000000000,0.000000000,0.000000000,0.010015006,,0.000000000,,,,,3.185638505,3.185638505,pass,unclear,0,,,0,,non_invasive_loss_audit_from_generic_outputs
2,0.033333,3.196063092,0.000000000,0.000000000,0.000000000,0.000000000,0.046512686,,0.000000000,0.000000000,0.000000000,,,3.149550406,3.149550406,pass,unclear,1,,,1,,non_invasive_loss_audit_from_generic_outputs
3,0.066667,3.151524311,0.000000000,0.000000000,0.000000000,0.000000000,0.032811700,,0.000000000,0.000000000,0.000000000,,,3.118712611,3.118712611,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
4,0.100000,3.151175560,0.000000000,0.000000000,0.000000000,0.000000000,0.043647984,,0.000000000,0.000000000,0.000000000,,,3.107527576,3.107527576,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
5,0.133333,3.102558097,0.000000000,0.000000000,0.000000000,0.000000000,0.036130406,,0.000000000,0.000000000,0.000000000,,,3.066427691,3.066427691,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
6,0.166667,3.073469694,0.000000000,0.000000000,0.000000000,0.000000000,0.052506056,,0.000000000,0.000000000,0.000000000,,,3.020963638,3.020963638,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
7,0.200000,3.050922662,0.000000000,0.000000000,0.000000000,0.000000000,0.055858486,,0.000000000,0.000000001,0.000000001,,,2.995064175,2.995064175,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
8,0.233333,3.044785114,0.000000000,0.000000000,0.000000000,0.000000000,0.058301966,,0.000000000,0.000000005,0.000000005,,,2.986483143,2.986483143,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
9,0.266667,3.021313667,0.000000000,0.000000000,0.000000000,0.000000000,0.029125518,,0.000000000,0.000000043,0.000000043,,,2.992188106,2.992188106,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
10,0.300000,2.997660730,0.000000000,0.000000000,0.000000000,0.000000000,0.020829706,,0.000000000,0.000000088,0.000000088,,,2.976830936,2.976830936,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
11,0.333333,2.968277320,0.000000000,0.000000000,0.000000000,0.000000000,0.017051659,,0.000000000,0.000000059,0.000000059,,,2.951225602,2.951225602,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
12,0.366667,2.936765552,0.000000000,0.000000000,0.000000000,0.000000000,0.010245084,,0.000000000,0.000000010,0.000000010,,,2.926520458,2.926520458,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
