frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
1,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,0.000860,0.000000,0.200000,0,0,0.000000
2,0,0,0,0,0.001331,0.001256,0.000018,0.000000,1,0.000619,0.000000,0.200000,0,0,0.000000
3,0,0,0,0,0.000290,0.000914,0.000018,0.000001,1,0.000640,0.000000,0.558518,0,0,0.000000
4,0,0,0,0,0.000991,0.000880,0.000019,0.000002,1,0.000696,0.000000,0.558518,0,0,0.000000
5,0,0,0,0,0.000114,0.000253,0.000019,0.000001,1,0.000789,0.000000,0.507744,0,0,0.000000
6,0,0,0,0,0.000200,0.000098,0.000020,0.000012,1,0.000644,0.000000,0.507744,0,0,0.000000
7,0,0,0,0,0.000151,0.000102,0.000026,0.000055,1,0.000517,0.000000,0.507744,0,0,0.000000
8,0,0,0,0,0.000231,0.000103,0.000074,0.000276,1,0.000355,0.000000,0.507744,0,0,0.000000
9,0,0,0,0,0.000286,0.000099,0.000207,0.000502,1,0.000538,0.000000,0.507744,0,0,0.000000
10,0,0,0,0,0.000205,0.000385,0.000298,0.000537,1,0.000351,0.000000,0.507744,0,0,0.000000
11,0,0,0,0,0.000201,0.000365,0.000243,0.000333,1,0.000641,0.000000,0.507744,0,0,0.000000
12,0,0,0,0,0.000305,0.000113,0.000099,0.000093,1,0.000372,0.000000,0.558518,0,0,0.000000
13,0,0,0,0,0.000361,0.000247,0.000039,0.000007,1,0.000324,0.000000,0.558518,0,0,0.000000
14,0,0,0,0,0.000114,0.000351,0.000045,0.000008,1,0.000398,0.000000,0.507744,0,0,0.000000
15,0,0,0,0,0.000418,0.000462,0.000050,0.000008,1,0.000505,0.000000,0.558518,0,0,0.000000
16,0,0,0,0,0.000194,0.000386,0.000057,0.000011,1,0.000396,0.000000,0.558518,0,0,0.000000
17,0,0,0,0,0.000343,0.000154,0.000067,0.000011,1,0.000645,0.000000,0.558518,0,0,0.000000
18,0,0,0,0,0.000193,0.000352,0.000078,0.000012,1,0.000784,0.000000,0.558518,0,0,0.000000
19,0,0,0,0,0.000163,0.000618,0.000090,0.000013,1,0.000690,0.000000,0.558518,0,0,0.000000
20,0,0,0,0,0.000455,0.000745,0.000103,0.000016,1,0.000958,0.000000,0.558518,0,0,0.000000
21,0,0,0,0,0.000422,0.000155,0.000118,0.000019,1,0.000687,0.000000,0.558518,0,0,0.000000
22,0,0,0,0,0.000432,0.000469,0.000135,0.000023,1,0.000655,0.000000,0.558518,0,0,0.000000
23,0,0,0,0,0.000101,0.000355,0.000156,0.000027,1,0.000756,0.000000,0.558518,0,0,0.000000
24,0,0,0,0,0.000278,0.000372,0.000180,0.000032,1,0.001015,0.000000,0.558518,0,0,0.000000
25,0,0,0,0,0.000122,0.000188,0.000210,0.000036,1,0.001198,0.000000,0.558518,0,0,0.000000
26,0,0,0,0,0.000238,0.000259,0.000244,0.000040,1,0.001562,0.000000,0.558518,0,0,0.000000
27,0,0,0,0,0.000404,0.000317,0.000283,0.000045,1,0.002148,0.000000,0.558518,0,0,0.000000
28,0,0,0,0,0.000258,0.000534,0.000328,0.000050,1,0.002627,0.000000,0.558518,0,0,0.000000
29,0,0,0,0,0.000282,0.000654,0.000378,0.000056,1,0.002897,0.000000,0.558518,0,0,0.000000
30,0,0,0,0,0.000377,0.000397,0.000433,0.000062,1,0.003537,0.000000,0.558518,0,0,0.000000
31,0,0,0,0,0.000173,0.000192,0.000495,0.000070,1,0.003942,0.000000,0.558518,0,0,0.000000
32,0,0,0,0,0.000238,0.003345,0.000563,0.000078,1,0.004308,0.000000,0.558518,0,0,0.000000
33,0,0,0,0,0.003133,0.002408,0.000640,0.000088,1,0.007509,0.000000,0.558518,0,0,0.000000
