frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
1,0,0,0,0,optimize,static_hold,0.000000,0.000000,0.100000,0.120000,0.120000,0,0,0,0,0.000860,0.000000
2,0,0,0,0,optimize,short_impact,0.001331,0.000018,0.300000,0.420000,0.340000,0,0,0,0,0.000619,0.000000
3,0,0,0,0,optimize,sustained_grasp,0.000290,0.000018,0.180000,0.220000,0.220000,0,0,0,0,0.000640,0.000000
4,0,0,0,0,optimize,sustained_grasp,0.000991,0.000019,0.180000,0.220000,0.220000,0,0,0,0,0.000696,0.000000
5,0,0,0,0,optimize,static_hold,0.000114,0.000019,0.100000,0.120000,0.120000,0,0,0,0,0.000789,0.000000
6,0,0,0,0,optimize,static_hold,0.000200,0.000021,0.100000,0.120000,0.120000,0,0,0,0,0.000644,0.000000
7,0,0,0,0,optimize,static_hold,0.000151,0.000027,0.100000,0.120000,0.120000,0,0,0,0,0.000517,0.000000
8,0,0,0,0,optimize,static_hold,0.000231,0.000074,0.100000,0.120000,0.120000,0,0,0,0,0.000355,0.000000
9,0,0,0,0,optimize,static_hold,0.000286,0.000208,0.100000,0.120000,0.120000,0,0,0,0,0.000538,0.000000
10,0,0,0,0,optimize,static_hold,0.000205,0.000297,0.100000,0.120000,0.120000,0,0,0,0,0.000351,0.000000
11,0,0,0,0,optimize,static_hold,0.000201,0.000243,0.100000,0.120000,0.120000,0,0,0,0,0.000641,0.000000
12,0,0,0,0,optimize,sustained_grasp,0.000305,0.000099,0.180000,0.220000,0.220000,0,0,0,0,0.000372,0.000000
13,0,0,0,0,optimize,sustained_grasp,0.000361,0.000039,0.180000,0.220000,0.220000,0,0,0,0,0.000324,0.000000
14,0,0,0,0,optimize,static_hold,0.000114,0.000045,0.100000,0.120000,0.120000,0,0,0,0,0.000398,0.000000
15,0,0,0,0,optimize,sustained_grasp,0.000418,0.000051,0.180000,0.220000,0.220000,0,0,0,0,0.000505,0.000000
16,0,0,0,0,optimize,sustained_grasp,0.000194,0.000057,0.180000,0.220000,0.220000,0,0,0,0,0.000396,0.000000
17,0,0,0,0,optimize,sustained_grasp,0.000343,0.000067,0.180000,0.220000,0.220000,0,0,0,0,0.000645,0.000000
18,0,0,0,0,optimize,sustained_grasp,0.000193,0.000078,0.180000,0.220000,0.220000,0,0,0,0,0.000784,0.000000
19,0,0,0,0,optimize,sustained_grasp,0.000163,0.000090,0.180000,0.220000,0.220000,0,0,0,0,0.000690,0.000000
20,0,0,0,0,optimize,sustained_grasp,0.000455,0.000103,0.180000,0.220000,0.220000,0,0,0,0,0.000958,0.000000
21,0,0,0,0,optimize,sustained_grasp,0.000422,0.000118,0.180000,0.220000,0.220000,0,0,0,0,0.000687,0.000000
22,0,0,0,0,optimize,sustained_grasp,0.000432,0.000135,0.180000,0.220000,0.220000,0,0,0,0,0.000655,0.000000
23,0,0,0,0,optimize,sustained_grasp,0.000101,0.000155,0.180000,0.220000,0.220000,0,0,0,0,0.000756,0.000000
24,0,0,0,0,optimize,sustained_grasp,0.000278,0.000180,0.180000,0.220000,0.220000,0,0,0,0,0.001015,0.000000
25,0,0,0,0,optimize,sustained_grasp,0.000122,0.000210,0.180000,0.220000,0.220000,0,0,0,0,0.001198,0.000000
26,0,0,0,0,optimize,sustained_grasp,0.000238,0.000244,0.180000,0.220000,0.220000,0,0,0,0,0.001562,0.000000
27,0,0,0,0,optimize,sustained_grasp,0.000404,0.000283,0.180000,0.220000,0.220000,0,0,0,0,0.002148,0.000000
28,0,0,0,0,optimize,sustained_grasp,0.000258,0.000328,0.180000,0.220000,0.220000,0,0,0,0,0.002627,0.000000
29,0,0,0,0,optimize,sustained_grasp,0.000282,0.000377,0.180000,0.220000,0.220000,0,0,0,0,0.002897,0.000000
30,0,0,0,0,optimize,sustained_grasp,0.000377,0.000433,0.180000,0.220000,0.220000,0,0,0,0,0.003537,0.000000
31,0,0,0,0,optimize,sustained_grasp,0.000173,0.000494,0.180000,0.220000,0.220000,0,0,0,0,0.003942,0.000000
32,0,0,0,0,optimize,sustained_grasp,0.000238,0.000564,0.180000,0.220000,0.220000,0,0,0,0,0.004308,0.000000
33,0,0,0,0,optimize,sustained_grasp,0.003133,0.000640,0.180000,0.220000,0.220000,0,0,0,0,0.007509,0.000000
34,0,0,0,0,optimize,sustained_grasp,0.002104,0.000726,0.180000,0.220000,0.220000,0,0,0,0,0.009164,0.000000
35,0,0,0,0,optimize,sustained_grasp,0.000607,0.000822,0.180000,0.220000,0.220000,0,0,0,0,0.009554,0.000000
36,0,0,0,0,optimize,sustained_grasp,0.000951,0.000927,0.180000,0.220000,0.220000,0,0,0,0,0.010119,0.000000
37,0,0,0,0,optimize,sustained_grasp,0.000669,0.001046,0.180000,0.220000,0.220000,0,0,0,0,0.010714,0.000000
38,0,0,0,0,optimize,sustained_grasp,0.000276,0.001175,0.180000,0.220000,0.220000,0,0,0,0,0.011699,0.000000
39,0,0,0,0,optimize,sustained_grasp,0.002087,0.001317,0.180000,0.220000,0.220000,0,0,0,0,0.011262,0.000000
40,0,0,0,0,optimize,static_hold,0.001017,0.001426,0.100000,0.120000,0.120000,0,0,0,0,0.013558,0.000000
41,0,0,0,0,optimize,static_hold,0.000036,0.001519,0.100000,0.120000,0.120000,0,0,0,0,0.015108,0.000000
42,0,0,0,0,optimize,static_hold,0.000248,0.001632,0.100000,0.120000,0.120000,0,0,0,0,0.016537,0.000000
43,0,0,0,0,optimize,sustained_grasp,0.000518,0.001766,0.180000,0.220000,0.220000,0,0,0,0,0.017892,0.000000
44,0,0,0,0,optimize,sustained_grasp,0.000189,0.001976,0.180000,0.220000,0.220000,0,0,0,0,0.019698,0.000000
45,0,0,0,0,optimize,sustained_grasp,0.000445,0.002317,0.180000,0.220000,0.220000,0,0,0,0,0.022083,0.000000
46,0,0,0,0,optimize,sustained_grasp,0.000441,0.002666,0.180000,0.220000,0.220000,0,0,0,0,0.024418,0.000000
47,0,0,0,0,optimize,sustained_grasp,0.000316,0.003017,0.180000,0.220000,0.220000,0,0,0,0,0.027666,0.000000
48,0,0,0,0,optimize,sustained_grasp,0.000669,0.003379,0.180000,0.220000,0.220000,0,0,0,0,0.030416,0.000000
49,0,0,0,0,optimize,sustained_grasp,0.000080,0.003745,0.180000,0.220000,0.220000,0,0,0,0,0.034088,0.000000
50,0,0,0,0,optimize,short_impact,0.000513,0.008489,0.300000,0.420000,0.340000,0,0,0,0,0.039285,0.000000
51,0,0,0,0,optimize,sustained_grasp,0.000824,0.012737,0.180000,0.220000,0.220000,0,0,0,1,0.048800,0.000000
52,0,0,0,0,optimize,short_impact,0.179475,0.084861,0.300000,0.420000,0.340000,0,0,0,1,0.061074,0.000000
53,0,0,0,0,optimize,sustained_grasp,0.011822,0.085185,0.180000,0.220000,0.220000,0,1,0,1,0.029393,0.000000
54,0,1,0,0,optimize,high_speed,0.241937,0.217126,0.300000,0.420000,0.340000,1,0,1,0,0.038673,0.000000
55,0,1,0,0,optimize,high_speed,0.245288,0.217349,0.300000,0.420000,0.340000,1,0,1,0,0.049974,0.000000
56,0,0,0,0,optimize,high_speed,0.166174,0.184240,0.300000,0.420000,0.340000,1,0,0,0,0.039352,0.000000
57,0,0,0,0,optimize,high_speed,0.162586,0.166590,0.300000,0.420000,0.340000,1,0,0,0,0.040344,0.000000
58,0,0,0,0,optimize,high_speed,0.154958,0.127444,0.300000,0.420000,0.340000,0,0,0,1,0.046958,0.000000
59,0,0,0,0,optimize,uniform_motion,0.012809,0.062355,0.180000,0.220000,0.220000,0,0,0,1,0.037479,0.000000
60,0,0,0,0,optimize,high_speed,0.131552,0.106569,0.300000,0.420000,0.340000,0,0,0,0,0.016121,0.000000
61,0,0,0,0,optimize,free_motion,0.111159,0.107005,0.180000,0.220000,0.220000,0,0,0,0,0.009798,0.000000
62,0,0,0,0,optimize,free_motion,0.100937,0.105701,0.180000,0.220000,0.220000,0,0,0,0,0.005061,0.000000
63,0,0,0,0,optimize,free_motion,0.077268,0.050155,0.180000,0.220000,0.220000,0,0,0,0,0.025735,0.000000
64,0,0,0,0,optimize,static_hold,0.010340,0.038097,0.100000,0.120000,0.120000,0,0,0,0,0.011094,0.000000
65,0,0,0,0,optimize,uniform_motion,0.028557,0.037608,0.180000,0.220000,0.220000,0,0,0,0,0.020768,0.000000
66,0,0,0,0,optimize,free_motion,0.063525,0.037375,0.180000,0.220000,0.220000,0,0,0,0,0.006244,0.000000
67,0,0,0,0,optimize,uniform_motion,0.033792,0.023674,0.180000,0.220000,0.220000,0,0,0,0,0.017201,0.000000
68,0,0,0,0,optimize,static_hold,0.011379,0.020646,0.100000,0.120000,0.120000,0,0,0,0,0.003354,0.000000
69,0,0,0,0,optimize,uniform_motion,0.013590,0.011433,0.180000,0.220000,0.220000,0,0,0,0,0.005507,0.000000
70,0,0,0,0,optimize,uniform_motion,0.014262,0.011497,0.180000,0.220000,0.220000,0,0,0,0,0.002806,0.000000
71,0,0,0,0,optimize,uniform_motion,0.016326,0.021731,0.180000,0.220000,0.220000,0,0,0,0,0.005529,0.000000
72,0,0,0,0,optimize,uniform_motion,0.032982,0.028393,0.180000,0.220000,0.220000,0,0,0,0,0.004521,0.000000
73,0,0,0,0,optimize,free_motion,0.051393,0.033112,0.180000,0.220000,0.220000,0,0,0,0,0.019086,0.000000
74,0,0,0,0,optimize,uniform_motion,0.012869,0.034411,0.180000,0.220000,0.220000,0,0,0,0,0.013071,0.000000
75,0,0,0,0,optimize,free_motion,0.052564,0.050987,0.180000,0.220000,0.220000,0,0,0,0,0.013612,0.000000
76,0,0,0,0,optimize,free_motion,0.069296,0.067983,0.180000,0.220000,0.220000,0,0,0,0,0.013642,0.000000
77,0,0,0,0,optimize,free_motion,0.089013,0.068805,0.180000,0.220000,0.220000,0,0,0,0,0.016462,0.000000
78,0,0,0,0,optimize,free_motion,0.090420,0.069406,0.180000,0.220000,0.220000,0,0,0,0,0.037715,0.000000
79,0,0,0,0,optimize,uniform_motion,0.013072,0.070071,0.180000,0.220000,0.220000,0,0,0,0,0.034292,0.000000
80,0,0,0,0,optimize,free_motion,0.105201,0.091326,0.180000,0.220000,0.220000,0,0,0,0,0.021107,0.000000
81,0,0,0,0,optimize,free_motion,0.110153,0.092892,0.180000,0.220000,0.220000,0,0,0,0,0.007532,0.000000
82,0,0,0,0,optimize,high_speed,0.131280,0.092846,0.300000,0.420000,0.340000,0,0,0,1,0.041186,0.000000
83,0,0,0,0,optimize,uniform_motion,0.012504,0.072663,0.180000,0.220000,0.220000,0,0,0,1,0.026744,0.000000
84,0,0,0,0,optimize,high_speed,0.141988,0.126338,0.300000,0.420000,0.340000,0,0,0,0,0.015530,0.000000
85,0,0,0,0,optimize,high_speed,0.156588,0.154656,0.300000,0.420000,0.340000,1,0,0,0,0.017442,0.000000
86,0,0,0,0,optimize,sustained_grasp_high_speed,0.166848,0.154496,0.300000,0.420000,0.340000,1,0,0,0,0.019728,0.000000
87,0,0,0,0,optimize,sustained_grasp,0.078880,0.059502,0.180000,0.220000,0.220000,0,1,0,1,0.034259,0.000000
88,0,0,0,0,optimize,sustained_grasp,0.095189,0.049160,0.180000,0.220000,0.220000,0,0,0,0,0.027454,0.000000
89,0,0,0,0,optimize,sustained_grasp,0.019335,0.049768,0.180000,0.220000,0.220000,0,0,0,0,0.027026,0.000000
90,0,0,0,0,optimize,free_motion,0.065624,0.053238,0.180000,0.220000,0.220000,0,0,0,0,0.013958,0.000000
91,0,0,0,0,optimize,free_motion,0.073904,0.053444,0.180000,0.220000,0.220000,0,0,0,0,0.010473,0.000000
92,0,0,0,0,optimize,free_motion,0.055888,0.053273,0.180000,0.220000,0.220000,0,0,0,0,0.011153,0.000000
93,0,0,0,0,optimize,free_motion,0.036134,0.038665,0.180000,0.220000,0.220000,0,0,0,0,0.008961,0.000000
94,0,0,0,0,optimize,uniform_motion,0.018251,0.017569,0.180000,0.220000,0.220000,0,0,0,0,0.012573,0.000000
95,0,0,0,0,optimize,uniform_motion,0.020043,0.011873,0.180000,0.220000,0.220000,0,0,0,0,0.018842,0.000000
96,0,0,0,0,optimize,uniform_motion,0.018845,0.011666,0.180000,0.220000,0.220000,0,0,0,0,0.025487,0.000000
97,0,0,0,0,optimize,uniform_motion,0.024104,0.011820,0.180000,0.220000,0.220000,0,0,0,0,0.032584,0.000000
98,0,0,0,0,optimize,uniform_motion,0.018084,0.011817,0.180000,0.220000,0.220000,0,0,0,0,0.040379,0.000000
99,0,0,0,0,optimize,uniform_motion,0.019506,0.011914,0.180000,0.220000,0.220000,0,0,0,0,0.050082,0.000000
100,0,0,0,0,optimize,free_motion,0.048555,0.057369,0.180000,0.220000,0.220000,0,0,0,0,0.062055,0.000000
101,0,0,0,0,optimize,free_motion,0.075662,0.065099,0.180000,0.220000,0.220000,0,0,0,0,0.073552,0.000000
102,0,0,0,0,optimize,free_motion,0.080362,0.064951,0.180000,0.220000,0.220000,0,0,0,0,0.088812,0.000000
103,0,0,0,0,optimize,sustained_grasp,0.073468,0.064623,0.180000,0.220000,0.220000,0,0,0,0,0.104497,0.000000
104,0,0,0,0,optimize,sustained_grasp,0.017948,0.002447,0.180000,0.220000,0.220000,0,0,0,0,0.120212,0.000000
105,0,0,0,0,optimize,free_motion,0.072478,0.062800,0.180000,0.220000,0.220000,0,0,0,0,0.110124,0.000000
106,0,0,0,0,optimize,free_motion,0.072025,0.063270,0.180000,0.220000,0.220000,0,0,0,0,0.100406,0.000000
107,0,0,0,0,optimize,free_motion,0.069133,0.063279,0.180000,0.220000,0.220000,0,0,0,0,0.092192,0.000000
108,0,0,0,0,optimize,free_motion,0.044501,0.034384,0.180000,0.220000,0.220000,0,0,0,0,0.086008,0.000000
109,0,0,0,0,optimize,static_hold,0.009455,0.030472,0.100000,0.120000,0.120000,0,0,0,0,0.078184,0.000000
110,0,0,0,0,optimize,free_motion,0.047001,0.024700,0.180000,0.220000,0.220000,0,0,0,0,0.074889,0.000000
111,0,0,0,0,optimize,uniform_motion,0.026243,0.024348,0.180000,0.220000,0.220000,0,0,0,0,0.064744,0.000000
112,0,0,0,0,optimize,uniform_motion,0.016426,0.004077,0.180000,0.220000,0.220000,0,0,0,0,0.058441,0.000000
113,0,0,0,0,optimize,static_hold,0.007540,0.004383,0.100000,0.120000,0.120000,0,0,0,0,0.053354,0.000000
114,0,0,0,0,optimize,static_hold,0.010956,0.004570,0.100000,0.120000,0.120000,0,0,0,0,0.048028,0.000000
115,0,0,0,0,optimize,uniform_motion,0.021310,0.004827,0.180000,0.220000,0.220000,0,0,0,0,0.042512,0.000000
116,0,0,0,0,optimize,uniform_motion,0.016498,0.010908,0.180000,0.220000,0.220000,0,0,0,0,0.040355,0.000000
117,0,0,0,0,optimize,uniform_motion,0.012350,0.022365,0.180000,0.220000,0.220000,0,0,0,0,0.036744,0.000000
118,0,0,0,0,optimize,free_motion,0.036282,0.023529,0.180000,0.220000,0.220000,0,0,0,0,0.035614,0.000000
119,0,0,0,0,optimize,uniform_motion,0.017299,0.030851,0.180000,0.220000,0.220000,0,0,0,0,0.033945,0.000000
120,0,0,0,0,optimize,free_motion,0.059509,0.058430,0.180000,0.220000,0.220000,0,0,0,0,0.040509,0.000000
121,0,0,0,0,optimize,free_motion,0.076168,0.078879,0.180000,0.220000,0.220000,0,0,0,0,0.047661,0.000000
122,0,0,0,0,optimize,free_motion,0.084871,0.079009,0.180000,0.220000,0.220000,0,0,0,0,0.052883,0.000000
123,0,0,0,0,optimize,free_motion,0.104746,0.078427,0.180000,0.220000,0.220000,0,0,0,1,0.074751,0.000000
124,0,0,0,0,optimize,static_hold,0.008379,0.005023,0.100000,0.120000,0.120000,0,0,0,0,0.073871,0.000000
125,0,0,0,0,optimize,sustained_grasp,0.010016,0.022550,0.180000,0.220000,0.220000,0,0,0,1,0.083283,0.000000
126,0,0,0,0,optimize,high_speed,0.120905,0.056567,0.300000,0.420000,0.340000,0,0,0,0,0.055265,0.000000
127,0,0,0,0,optimize,free_motion,0.061888,0.056605,0.180000,0.220000,0.220000,0,0,0,0,0.057832,0.000000
128,0,0,0,0,optimize,static_hold,0.007874,0.051423,0.100000,0.120000,0.120000,0,0,0,0,0.054760,0.000000
129,0,0,0,0,optimize,free_motion,0.068196,0.051222,0.180000,0.220000,0.220000,0,0,0,0,0.054332,0.000000
130,0,0,0,0,optimize,uniform_motion,0.027263,0.051239,0.180000,0.220000,0.220000,0,0,0,0,0.061433,0.000000
131,0,0,0,0,optimize,high_speed,0.114305,0.073786,0.300000,0.420000,0.340000,0,0,0,0,0.049748,0.000000
132,0,0,0,0,optimize,free_motion,0.053793,0.073933,0.180000,0.220000,0.220000,0,0,0,0,0.041183,0.000000
133,0,0,0,0,optimize,uniform_motion,0.026110,0.008261,0.180000,0.220000,0.220000,0,0,0,0,0.040202,0.000000
134,0,0,0,0,optimize,static_hold,0.008528,0.007519,0.100000,0.120000,0.120000,0,0,0,0,0.036498,0.000000
135,0,0,0,0,optimize,uniform_motion,0.012694,0.005081,0.180000,0.220000,0.220000,0,0,0,0,0.029854,0.000000
136,0,0,0,0,optimize,uniform_motion,0.016480,0.005207,0.180000,0.220000,0.220000,0,0,0,0,0.022882,0.000000
137,0,0,0,0,optimize,uniform_motion,0.031970,0.032557,0.180000,0.220000,0.220000,0,0,0,0,0.020297,0.000000
138,0,0,0,0,optimize,free_motion,0.062202,0.036139,0.180000,0.220000,0.220000,0,0,0,0,0.030003,0.000000
139,0,0,0,0,optimize,static_hold,0.007309,0.036432,0.100000,0.120000,0.120000,0,0,0,0,0.028361,0.000000
140,0,0,0,0,optimize,free_motion,0.049509,0.050207,0.180000,0.220000,0.220000,0,0,0,0,0.032480,0.000000
141,0,0,0,0,optimize,free_motion,0.073956,0.052533,0.180000,0.220000,0.220000,0,0,0,0,0.032910,0.000000
142,0,0,0,0,optimize,free_motion,0.088051,0.063591,0.180000,0.220000,0.220000,0,0,0,0,0.047661,0.000000
143,0,0,0,0,optimize,static_hold,0.008150,0.063624,0.100000,0.120000,0.120000,0,0,0,0,0.054150,0.000000
144,0,0,0,0,optimize,free_motion,0.086282,0.063553,0.180000,0.220000,0.220000,0,0,0,0,0.051255,0.000000
145,0,0,0,0,optimize,sustained_grasp,0.093326,0.063413,0.180000,0.220000,0.220000,0,0,0,0,0.060231,0.000000
146,0,0,0,0,optimize,sustained_grasp,0.054439,0.041729,0.180000,0.220000,0.220000,0,0,0,1,0.071111,0.000000
147,0,0,0,0,optimize,sustained_grasp,0.085684,0.055724,0.180000,0.220000,0.220000,0,0,0,0,0.057525,0.000000
148,0,0,0,0,optimize,free_motion,0.107537,0.068682,0.180000,0.220000,0.220000,0,0,0,1,0.063855,0.000000
149,0,0,0,0,optimize,static_hold,0.005056,0.068845,0.100000,0.120000,0.120000,0,0,0,0,0.055824,0.000000
150,0,0,0,0,optimize,free_motion,0.096847,0.068978,0.180000,0.220000,0.220000,0,0,0,0,0.043235,0.000000
151,0,0,0,0,optimize,free_motion,0.076422,0.069020,0.180000,0.220000,0.220000,0,0,0,0,0.040012,0.000000
152,0,0,0,0,optimize,free_motion,0.062279,0.068856,0.180000,0.220000,0.220000,0,0,0,0,0.037160,0.000000
153,0,0,0,0,optimize,free_motion,0.054175,0.035749,0.180000,0.220000,0.220000,0,0,0,0,0.039721,0.000000
154,0,0,0,0,optimize,static_hold,0.004414,0.030956,0.100000,0.120000,0.120000,0,0,0,0,0.035159,0.000000
155,0,0,0,0,optimize,uniform_motion,0.033736,0.022226,0.180000,0.220000,0.220000,0,0,0,0,0.029914,0.000000
156,0,0,0,0,optimize,uniform_motion,0.022266,0.017160,0.180000,0.220000,0.220000,0,0,0,0,0.027468,0.000000
157,0,0,0,0,optimize,static_hold,0.006100,0.003491,0.100000,0.120000,0.120000,0,0,0,0,0.027439,0.000000
158,0,0,0,0,optimize,static_hold,0.004101,0.003836,0.100000,0.120000,0.120000,0,0,0,0,0.027487,0.000000
159,0,0,0,0,optimize,uniform_motion,0.017869,0.004333,0.180000,0.220000,0.220000,0,0,0,0,0.025455,0.000000
160,0,0,0,0,optimize,uniform_motion,0.033821,0.038098,0.180000,0.220000,0.220000,0,0,0,0,0.029901,0.000000
161,0,0,0,0,optimize,free_motion,0.069413,0.063107,0.180000,0.220000,0.220000,0,0,0,0,0.029401,0.000000
162,0,0,0,0,optimize,free_motion,0.064222,0.063335,0.180000,0.220000,0.220000,0,0,0,0,0.032187,0.000000
163,0,0,0,0,optimize,free_motion,0.070778,0.055528,0.180000,0.220000,0.220000,0,0,0,0,0.047742,0.000000
164,0,0,0,0,optimize,static_hold,0.008304,0.051618,0.100000,0.120000,0.120000,0,0,0,0,0.054279,0.000000
165,0,0,0,0,optimize,free_motion,0.094016,0.014607,0.180000,0.220000,0.220000,0,0,0,1,0.080979,0.000000
166,0,0,0,0,optimize,sustained_grasp_high_speed,0.130746,0.039998,0.300000,0.420000,0.340000,0,0,0,0,0.069805,0.000000
167,0,0,0,0,optimize,free_motion,0.048009,0.040925,0.180000,0.220000,0.220000,0,0,0,1,0.055148,0.000000
168,0,0,0,0,optimize,high_speed,0.123704,0.060168,0.300000,0.420000,0.340000,0,0,0,1,0.037757,0.000000
169,0,0,0,0,optimize,uniform_motion,0.029336,0.019193,0.180000,0.220000,0.220000,0,0,0,0,0.031281,0.000000
170,0,0,0,0,optimize,free_motion,0.079582,0.053990,0.180000,0.220000,0.220000,0,0,0,0,0.007435,0.000000
171,0,0,0,0,optimize,free_motion,0.073139,0.054151,0.180000,0.220000,0.220000,0,0,0,0,0.024940,0.000000
172,0,0,0,0,optimize,free_motion,0.058213,0.053943,0.180000,0.220000,0.220000,0,0,0,0,0.037060,0.000000
173,0,0,0,0,optimize,uniform_motion,0.028911,0.026888,0.180000,0.220000,0.220000,0,0,0,0,0.042314,0.000000
174,0,0,0,0,optimize,free_motion,0.038949,0.020085,0.180000,0.220000,0.220000,0,0,0,0,0.059823,0.000000
