frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
2,2,4,0.033333,plane_support_contact_event,unknown_plane,1.000000,strong,1.000000,0.003152,0.000000,0.000000,0.000000,0.000000
12,12,13,0.366667,plane_support_contact_event,unknown_plane,1.000000,strong,1.000000,0.047260,0.000000,0.000000,0.000000,0.000000
15,15,39,0.466667,plane_support_contact_event,unknown_plane,1.000000,strong,1.000000,0.046575,0.000000,0.000000,0.000000,0.000000
43,43,50,1.400000,plane_support_contact_event,unknown_plane,1.000000,strong,1.000000,0.273249,0.000000,0.000000,0.000000,0.000000
51,50,53,1.666667,anchor_contact_event,left_foot,0.382928,proposal,0.976220,0.382928,1.000000,0.000000,0.000000,0.000000
87,86,87,2.866667,anchor_contact_event,left_foot,0.517703,soft,0.000000,0.517703,1.000000,0.000000,0.000000,0.000000
104,103,104,3.433333,anchor_contact_event,right_foot,0.192504,none,0.000000,0.192504,1.000000,0.000000,0.000000,0.000000
146,145,146,4.833333,anchor_contact_event,left_foot,0.497398,soft,0.000000,0.497398,1.000000,0.000000,0.000000,0.000000
206,206,206,6.833333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.003317,1.000000,0.000000,0.000000,0.000000
219,219,219,7.266667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.172343,0.022165,0.000000,0.000000,0.000000
226,226,226,7.500000,plane_support_contact_event,floor,1.000000,strong,1.000000,0.545324,0.000000,0.000000,0.000000,0.000000
230,230,231,7.633333,plane_support_contact_event,floor,1.000000,strong,1.000000,0.514339,0.000000,0.000000,0.000000,0.000000
234,234,242,7.766667,plane_support_contact_event,floor,1.000000,strong,1.000000,0.398697,0.000000,0.000000,0.000000,0.000000
