frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
1,0.000000,left,boundary_015,619.000,844.000,56.023010,56.023010,0.869467,0.024087,none,0,0
2,0.033333,left,boundary_015,618.000,844.000,57.834797,57.834797,0.874779,0.032781,none,0,0
3,0.066667,left,boundary_015,618.000,844.000,59.544992,59.544992,0.881049,0.041818,none,0,0
4,0.100000,left,boundary_015,617.000,842.000,58.012091,58.012091,0.892267,0.032683,none,0,0
5,0.133333,left,boundary_015,617.000,842.000,57.814586,57.814586,0.897637,0.022916,none,0,0
6,0.166667,left,boundary_015,617.000,842.000,56.126186,56.126186,0.924804,0.004257,none,0,0
7,0.200000,left,boundary_016,618.000,845.000,53.778027,53.778027,0.927848,0.006340,none,0,0
8,0.233333,left,boundary_015,617.000,841.000,50.987216,50.987216,0.929270,0.009955,none,0,0
9,0.266667,left,boundary_018,617.000,843.000,47.160735,47.160735,0.928050,0.017772,none,0,0
10,0.300000,left,boundary_017,617.000,847.000,43.575973,43.575973,0.933434,0.029358,none,0,0
11,0.333333,left,boundary_017,617.000,847.000,41.264745,41.264745,0.937114,0.039733,none,0,0
12,0.366667,left,boundary_016,617.000,846.000,39.879327,39.879327,0.937750,0.047260,none,0,0
13,0.400000,left,boundary_019,618.000,844.000,40.432147,40.432147,0.945529,0.044130,none,0,0
14,0.433333,left,boundary_021,619.000,850.000,42.186654,42.186654,0.951292,0.035285,none,0,0
15,0.466667,left,boundary_015,617.000,842.000,39.997805,39.997805,0.949986,0.046575,none,0,0
16,0.500000,left,boundary_015,617.000,842.000,38.649275,38.649275,0.953203,0.054857,none,0,0
17,0.533333,left,boundary_015,617.000,842.000,37.435918,37.435918,0.953933,0.063256,none,0,0
18,0.566667,left,boundary_015,617.000,842.000,36.687180,36.687180,0.954441,0.068912,none,0,0
19,0.600000,left,boundary_016,618.000,847.000,38.453681,38.453681,0.963805,0.056148,none,0,0
20,0.633333,left,boundary_015,617.000,842.000,36.721543,36.721543,0.962545,0.068645,none,0,0
21,0.666667,left,boundary_015,617.000,843.000,36.462114,36.462114,0.964126,0.070686,none,0,0
22,0.700000,left,boundary_019,618.000,843.000,38.151774,38.151774,0.970601,0.058188,none,0,0
23,0.733333,left,boundary_019,618.000,844.000,38.893631,38.893631,0.974389,0.053276,none,0,0
24,0.766667,left,boundary_015,617.000,842.000,38.389442,38.389442,0.974360,0.056578,none,0,0
25,0.800000,left,boundary_015,617.000,843.000,38.489329,38.489329,0.975528,0.055911,none,0,0
26,0.833333,left,boundary_015,617.000,842.000,39.335382,39.335382,0.978317,0.050509,none,0,0
27,0.866667,left,boundary_015,617.000,842.000,39.883353,39.883353,0.980068,0.047236,none,0,0
