frame,observed_mask,rendered_mask,iou,coverage,render_false_coverage,observed_area_px,rendered_area_px
1,samples_known_object/10_football/results/segmentation/masks/00001_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00001_mask.pgm,0.8433847592332866,0.986870897155361,0.1470449172576832,3656.0,4230.0
2,samples_known_object/10_football/results/segmentation/masks/00002_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00002_mask.pgm,0.8632119514472456,0.9863963723659642,0.12638790455941412,3749.0,4233.0
3,samples_known_object/10_football/results/segmentation/masks/00003_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00003_mask.pgm,0.8630841121495327,0.9871726349545697,0.1271266540642722,3742.0,4232.0
4,samples_known_object/10_football/results/segmentation/masks/00004_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00004_mask.pgm,0.8628091460569295,0.9863963723659642,0.1268004722550177,3749.0,4235.0
5,samples_known_object/10_football/results/segmentation/masks/00005_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00005_mask.pgm,0.8626078843013762,0.9866595517609391,0.1272126504602313,3748.0,4237.0
6,samples_known_object/10_football/results/segmentation/masks/00006_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00006_mask.pgm,0.8580390334572491,0.9855884707766213,0.13105882352941176,3747.0,4250.0
7,samples_known_object/10_football/results/segmentation/masks/00007_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00007_mask.pgm,0.8577736462932838,0.9861074004808976,0.13173370971536108,3743.0,4251.0
8,samples_known_object/10_football/results/segmentation/masks/00008_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00008_mask.pgm,0.8557491289198607,0.9863453815261044,0.13399153737658676,3735.0,4254.0
9,samples_known_object/10_football/results/segmentation/masks/00009_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00009_mask.pgm,0.8546511627906976,0.9849906191369606,0.13407163053722904,3731.0,4244.0
10,samples_known_object/10_football/results/segmentation/masks/00010_mask.png,samples_known_object/10_football/results/clean_ablation_no_vlm_llm/evaluation/render_masks/00010_mask.pgm,0.8502080443828016,0.9842119347069842,0.13803609093039607,3737.0,4267.0
