frame,time,correspondence_id,u,v,track_confidence,visible_fraction,occlusion_state,source
1,0.000000,center,654.000,837.500,1.000000,1.000000,visible,cotracker_box_center
2,0.033333,center,654.170,837.902,1.000000,1.000000,visible,cotracker_box_center
3,0.066667,center,654.102,837.968,1.000000,1.000000,visible,cotracker_box_center
4,0.100000,center,653.801,837.846,1.000000,1.000000,visible,cotracker_box_center
5,0.133333,center,653.770,837.825,1.000000,1.000000,visible,cotracker_box_center
6,0.166667,center,653.819,837.781,1.000000,1.000000,visible,cotracker_box_center
7,0.200000,center,653.867,837.769,1.000000,1.000000,visible,cotracker_box_center
8,0.233333,center,653.930,837.727,1.000000,1.000000,visible,cotracker_box_center
9,0.266667,center,653.986,837.652,1.000000,1.000000,visible,cotracker_box_center
10,0.300000,center,654.038,837.609,1.000000,1.000000,visible,cotracker_box_center
11,0.333333,center,653.972,837.612,1.000000,1.000000,visible,cotracker_box_center
12,0.366667,center,653.976,837.712,1.000000,1.000000,visible,cotracker_box_center
13,0.400000,center,654.015,837.824,1.000000,1.000000,visible,cotracker_box_center
14,0.433333,center,654.028,837.859,1.000000,1.000000,visible,cotracker_box_center
15,0.466667,center,654.155,837.911,1.000000,1.000000,visible,cotracker_box_center
16,0.500000,center,654.179,837.852,1.000000,1.000000,visible,cotracker_box_center
17,0.533333,center,654.285,837.889,1.000000,1.000000,visible,cotracker_box_center
18,0.566667,center,654.347,837.902,1.000000,1.000000,visible,cotracker_box_center
19,0.600000,center,654.294,837.907,1.000000,1.000000,visible,cotracker_box_center
20,0.633333,center,654.443,837.902,1.000000,1.000000,visible,cotracker_box_center
21,0.666667,center,654.378,837.780,1.000000,1.000000,visible,cotracker_box_center
22,0.700000,center,654.271,837.687,1.000000,1.000000,visible,cotracker_box_center
23,0.733333,center,654.257,837.717,1.000000,1.000000,visible,cotracker_box_center
24,0.766667,center,654.224,837.632,1.000000,1.000000,visible,cotracker_box_center
25,0.800000,center,654.207,837.668,1.000000,1.000000,visible,cotracker_box_center
26,0.833333,center,654.131,837.686,1.000000,1.000000,visible,cotracker_box_center
27,0.866667,center,654.010,837.632,1.000000,1.000000,visible,cotracker_box_center
28,0.900000,center,653.935,837.671,1.000000,1.000000,visible,cotracker_box_center
29,0.933333,center,654.001,837.606,1.000000,1.000000,visible,cotracker_box_center
30,0.966667,center,653.894,837.668,1.000000,1.000000,visible,cotracker_box_center
31,1.000000,center,653.917,837.720,1.000000,1.000000,visible,cotracker_box_center
32,1.033333,center,653.993,837.738,1.000000,1.000000,visible,cotracker_box_center
33,1.066667,center,653.000,838.000,1.000000,1.000000,visible,cotracker_box_center
34,1.100000,center,652.708,838.625,1.000000,1.000000,visible,cotracker_box_center
35,1.133333,center,652.864,838.748,1.000000,1.000000,visible,cotracker_box_center
36,1.166667,center,652.936,838.445,1.000000,1.000000,visible,cotracker_box_center
37,1.200000,center,653.085,838.284,1.000000,1.000000,visible,cotracker_box_center
38,1.233333,center,653.152,838.345,1.000000,1.000000,visible,cotracker_box_center
39,1.266667,center,653.814,838.171,1.000000,1.000000,visible,cotracker_box_center
40,1.300000,center,653.481,838.188,1.000000,1.000000,visible,cotracker_tb_center
41,1.333333,center,653.469,838.188,1.000000,1.000000,visible,cotracker_tb_center
42,1.366667,center,653.546,838.162,1.000000,1.000000,visible,cotracker_tb_center
43,1.400000,center,653.704,838.100,1.000000,1.000000,visible,cotracker_tb_center
44,1.433333,center,653.766,838.099,1.000000,1.000000,visible,cotracker_tb_center
45,1.466667,center,653.733,838.241,1.000000,1.000000,visible,cotracker_tb_center
46,1.500000,center,653.850,838.156,1.000000,1.000000,visible,cotracker_tb_center
47,1.533333,center,653.747,838.145,1.000000,1.000000,visible,cotracker_tb_center
48,1.566667,center,653.966,838.133,1.000000,1.000000,visible,cotracker_tb_center
49,1.600000,center,653.962,838.107,1.000000,1.000000,visible,cotracker_tb_center
50,1.633333,center,654.115,838.037,1.000000,1.000000,visible,cotracker_tb_center
51,1.666667,center,653.866,838.142,1.000000,1.000000,visible,cotracker_tb_center
52,1.700000,center,682.704,787.710,1.000000,1.000000,visible,cotracker_center_fallback
53,1.733333,center,682.303,787.945,1.000000,1.000000,visible,cotracker_center_fallback
54,1.766667,center,700.809,711.024,1.000000,1.000000,visible,cotracker_center_fallback
55,1.800000,center,711.371,631.171,1.000000,1.000000,visible,cotracker_center_fallback
56,1.833333,center,716.724,576.812,1.000000,1.000000,visible,cotracker_center_fallback
57,1.866667,center,724.903,523.836,1.000000,1.000000,visible,cotracker_center_fallback
58,1.900000,center,732.455,473.137,1.000000,1.000000,visible,cotracker_center_fallback
59,1.933333,center,733.883,471.808,1.000000,1.000000,visible,cotracker_center_fallback
60,1.966667,center,736.776,428.165,1.000000,1.000000,visible,cotracker_center_fallback
61,2.000000,center,739.852,391.241,1.000000,1.000000,visible,cotracker_center_fallback
62,2.033333,center,739.156,357.469,1.000000,1.000000,visible,cotracker_center_fallback
63,2.066667,center,740.762,331.639,1.000000,1.000000,visible,cotracker_center_fallback
64,2.100000,center,740.644,331.136,1.000000,1.000000,visible,cotracker_center_fallback
65,2.133333,center,739.000,322.000,1.000000,1.000000,visible,cotracker_box_center
66,2.166667,center,741.410,300.780,1.000000,1.000000,visible,cotracker_center_fallback
67,2.200000,center,742.876,289.768,1.000000,1.000000,visible,cotracker_center_fallback
68,2.233333,center,743.253,290.267,1.000000,1.000000,visible,cotracker_center_fallback
69,2.266667,center,743.808,287.364,1.000000,1.000000,visible,cotracker_center_fallback
70,2.300000,center,744.791,289.624,1.000000,1.000000,visible,cotracker_center_fallback
71,2.333333,center,744.361,293.179,1.000000,1.000000,visible,cotracker_center_fallback
72,2.366667,center,746.498,302.977,1.000000,1.000000,visible,cotracker_center_fallback
73,2.400000,center,748.150,319.512,1.000000,1.000000,visible,cotracker_center_fallback
74,2.433333,center,748.607,320.629,1.000000,1.000000,visible,cotracker_center_fallback
75,2.466667,center,749.805,337.679,1.000000,1.000000,visible,cotracker_center_fallback
76,2.500000,center,750.508,360.670,1.000000,1.000000,visible,cotracker_center_fallback
77,2.533333,center,750.450,390.604,1.000000,1.000000,visible,cotracker_center_fallback
78,2.566667,center,752.857,421.011,1.000000,1.000000,visible,cotracker_center_fallback
79,2.600000,center,753.021,422.541,1.000000,1.000000,visible,cotracker_center_fallback
80,2.633333,center,752.208,458.373,1.000000,1.000000,visible,cotracker_center_fallback
81,2.666667,center,749.915,496.014,1.000000,1.000000,visible,cotracker_center_fallback
82,2.700000,center,749.826,541.187,1.000000,1.000000,visible,cotracker_center_fallback
83,2.733333,center,749.961,543.330,1.000000,1.000000,visible,cotracker_center_fallback
84,2.766667,center,750.221,592.473,1.000000,1.000000,visible,cotracker_center_fallback
85,2.800000,center,750.415,646.871,1.000000,1.000000,visible,cotracker_center_fallback
86,2.833333,center,749.690,705.028,1.000000,1.000000,visible,cotracker_center_fallback
87,2.866667,center,749.134,732.573,1.000000,1.000000,visible,cotracker_center_fallback
88,2.900000,center,749.427,700.441,1.000000,1.000000,visible,cotracker_center_fallback
89,2.933333,center,749.669,698.530,1.000000,1.000000,visible,cotracker_center_fallback
90,2.966667,center,747.153,676.864,1.000000,1.000000,visible,cotracker_center_fallback
91,3.000000,center,743.886,652.106,1.000000,1.000000,visible,cotracker_center_fallback
92,3.033333,center,743.780,633.705,1.000000,1.000000,visible,cotracker_center_fallback
93,3.066667,center,742.111,622.901,1.000000,1.000000,visible,cotracker_center_fallback
94,3.100000,center,741.809,622.113,1.000000,1.000000,visible,cotracker_center_fallback
95,3.133333,center,741.106,619.174,1.000000,1.000000,visible,cotracker_center_fallback
96,3.166667,center,742.166,620.595,1.000000,1.000000,visible,cotracker_center_fallback
97,3.200000,center,740.500,626.500,1.000000,1.000000,visible,cotracker_box_center
98,3.233333,center,740.854,626.938,1.000000,1.000000,visible,cotracker_box_center
99,3.266667,center,741.964,629.445,1.000000,1.000000,visible,cotracker_lr_center
100,3.300000,center,742.128,646.028,1.000000,1.000000,visible,cotracker_center_fallback
101,3.333333,center,743.449,672.964,1.000000,1.000000,visible,cotracker_center_fallback
102,3.366667,center,743.445,701.887,1.000000,1.000000,visible,cotracker_center_fallback
103,3.400000,center,742.455,728.398,1.000000,1.000000,visible,cotracker_center_fallback
104,3.433333,center,742.280,729.242,1.000000,1.000000,visible,cotracker_center_fallback
105,3.466667,center,740.928,702.666,1.000000,1.000000,visible,cotracker_center_fallback
