frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,vlm_pose_refine_disabled,vlm_gate_optimizer_mode,decision_source
1,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,1.355750,1.859000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
2,short_impact,1,1,1,1,1,1,1,1,1,1,0.590400,1.355750,1.859000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
3,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.065750,1.529000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
4,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
5,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,1.812500,2.640000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
6,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.970000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
7,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.970000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
8,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.970000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
9,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.970000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
10,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.970000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
11,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.640000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
12,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.812500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
13,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
14,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,1.812500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
15,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.812500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
16,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
17,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
18,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
19,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
20,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
21,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
22,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
23,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
24,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
25,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
26,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
27,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
28,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
29,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
30,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
31,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
32,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
33,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
34,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
35,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
36,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
37,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
38,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
39,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
40,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,1.812500,2.640000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
41,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.970000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
42,static_hold,1,1,1,1,1,1,1,1,1,1,0.656000,2.102500,2.640000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
43,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.812500,2.310000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
44,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
45,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
46,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
47,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
48,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.980000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
49,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.522500,1.529000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
50,short_impact,1,1,1,1,1,1,1,1,1,1,0.590400,1.065750,1.529000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
51,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.065750,1.078000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
52,short_impact,1,1,1,1,1,1,1,1,1,1,0.590400,1.065750,1.529000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
53,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.721600,1.065750,1.001000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
54,high_speed,1,1,1,1,1,1,1,1,1,1,0.639600,0.964250,0.924000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
55,high_speed,1,1,1,1,1,1,1,1,1,1,0.639600,0.406000,0.396000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
56,high_speed,1,1,1,1,1,1,1,1,1,1,0.639600,0.406000,0.396000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
57,high_speed,1,1,1,1,1,1,1,1,1,1,0.639600,0.406000,0.396000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
58,high_speed,1,1,1,1,1,1,1,1,1,1,0.639600,0.406000,0.649000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
59,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.574000,0.797500,0.649000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
60,high_speed,1,1,1,1,1,1,1,1,1,1,0.639600,0.797500,0.858000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
61,free_motion,1,1,1,1,1,1,1,1,1,1,0.574000,0.725000,0.814000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
62,free_motion,1,1,1,1,1,1,1,1,1,1,0.574000,1.044000,1.023000,1,stage_audit_residual_reweight:machine,,,,0,,generic_sequence_se3_mainline
