frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
1,0.000000,0.869467,0.024087,0.976220,0,0,0,0,0,strong,foot,left_foot,left,foot,56.023010,56.023010,0.091118,0.000000,unknown_plane,local_plane,-0.717939,0.900459,boundary_015,619.000,844.000,563.128,848.111
2,0.033333,0.874779,0.032781,1.000000,0,0,1,1,0,strong,floor,floor,,foot,57.834797,57.834797,0.200667,0.000000,unknown_plane,local_plane,-0.422666,0.908462,boundary_015,618.000,844.000,,
3,0.066667,0.881049,0.041818,1.000000,0,0,1,1,0,strong,floor,floor,,foot,59.544992,59.544992,0.157906,0.000000,unknown_plane,local_plane,-0.225687,0.922322,boundary_015,618.000,844.000,,
4,0.100000,0.892267,0.032683,1.000000,0,0,1,1,0,strong,floor,floor,,foot,58.012091,58.012091,0.178775,0.000000,unknown_plane,local_plane,-0.094600,0.935648,boundary_015,617.000,842.000,,
5,0.133333,0.897637,0.022916,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,57.814586,57.814586,0.151302,0.000000,unknown_plane,local_plane,-0.063624,0.939152,boundary_015,617.000,842.000,559.341,846.243
6,0.166667,0.924804,0.004257,0.976220,0,0,0,0,0,strong,foot,left_foot,left,foot,56.126186,56.126186,0.180867,0.000000,unknown_plane,local_plane,-0.306899,0.943261,boundary_015,617.000,842.000,560.976,845.393
7,0.200000,0.927848,0.006340,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,53.778027,53.778027,0.180699,0.000000,unknown_plane,local_plane,-0.227425,0.936315,boundary_016,618.000,845.000,564.223,845.290
8,0.233333,0.929270,0.009955,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,50.987216,50.987216,0.183299,0.000000,unknown_plane,local_plane,-0.176611,0.940829,boundary_015,617.000,841.000,566.208,845.452
9,0.266667,0.928050,0.017772,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,47.160735,47.160735,0.112531,0.000000,unknown_plane,local_plane,-0.147080,0.943919,boundary_018,617.000,843.000,569.925,845.850
10,0.300000,0.933434,0.029358,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,43.575973,43.575973,0.084395,0.000000,unknown_plane,local_plane,-0.132872,0.958172,boundary_017,617.000,847.000,573.428,846.382
