frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
1,0.000000,654.057,841.010,36.661,4.925767,4.966547
2,0.033333,653.609,840.700,36.729,4.959425,4.976423
3,0.066667,653.609,840.700,36.730,4.975782,4.984922
4,0.100000,653.565,840.754,36.747,5.005215,4.987967
5,0.133333,653.565,840.754,36.747,5.015926,4.999435
6,0.166667,653.410,840.943,36.810,5.027416,5.012242
7,0.200000,653.414,840.939,36.809,5.006238,5.019576
8,0.233333,653.414,840.939,36.809,5.006045,5.022021
9,0.266667,653.396,841.132,36.746,5.049069,5.020452
10,0.300000,653.099,841.510,36.868,5.027119,5.024789
11,0.333333,652.971,841.673,36.922,5.022335,5.032081
12,0.366667,652.883,841.785,36.960,5.004944,5.039093
13,0.400000,653.963,841.114,36.692,5.057774,5.036044
14,0.433333,653.951,841.300,36.611,5.057281,5.036382
15,0.466667,653.408,841.117,36.741,5.055132,5.037879
16,0.500000,653.408,841.117,36.741,5.027719,5.048080
17,0.533333,653.408,841.117,36.741,5.029492,5.049184
18,0.566667,653.408,841.117,36.741,5.032811,5.045833
19,0.600000,653.443,841.127,36.770,5.076352,5.036422
20,0.633333,653.443,841.127,36.770,5.065503,5.030533
21,0.666667,653.443,841.127,36.770,5.033823,5.030694
22,0.700000,654.165,841.055,36.544,4.989257,5.029874
23,0.733333,654.171,841.049,36.543,4.986495,5.018841
24,0.766667,653.443,841.127,36.770,5.030617,5.002802
25,0.800000,653.443,841.127,36.770,5.027071,4.996577
26,0.833333,653.643,841.184,36.938,4.999119,4.996014
27,0.866667,653.643,841.184,36.938,4.953236,4.998157
28,0.900000,653.643,841.184,36.938,4.990242,4.990281
29,0.933333,653.643,841.184,36.938,4.985319,4.981416
30,0.966667,653.643,841.184,36.938,5.001494,4.980618
31,1.000000,653.443,841.127,36.770,4.975488,4.986083
32,1.033333,653.656,841.012,37.010,4.965015,4.987385
33,1.066667,653.459,840.953,36.846,4.993539,4.991817
34,1.100000,653.459,840.953,36.846,4.991482,4.993576
35,1.133333,653.459,840.953,36.846,4.999356,4.999259
36,1.166667,653.644,841.025,37.014,5.016339,4.999830
37,1.200000,653.988,841.259,36.600,5.013813,4.990856
38,1.233333,654.260,841.087,36.627,5.015272,4.984491
39,1.266667,653.431,840.899,36.786,4.969008,4.973414
40,1.300000,652.798,841.817,36.936,4.930724,4.957736
41,1.333333,654.351,840.841,36.488,4.946927,4.942424
42,1.366667,653.439,841.051,36.708,4.921814,4.923183
43,1.400000,653.609,841.700,36.730,4.906600,4.918103
44,1.433333,653.609,841.700,36.730,4.906625,4.907543
45,1.466667,653.609,841.700,36.730,4.880585,4.879600
46,1.500000,653.609,841.700,36.730,4.933448,4.858893
47,1.533333,653.609,841.700,36.730,4.856798,4.857152
48,1.566667,653.606,841.764,36.706,4.751324,4.834893
49,1.600000,653.846,841.767,36.612,4.776874,4.973053
50,1.633333,653.662,841.831,36.736,4.894406,5.103855
51,1.666667,653.837,841.776,36.616,4.750818,5.383040
52,1.700000,683.500,786.000,39.538,5.847698,5.501188
53,1.733333,683.000,787.500,39.386,5.849066,5.648315
54,1.766667,699.817,711.419,39.901,6.811098,5.664925
55,1.800000,712.643,639.364,40.503,5.578354,5.874301
56,1.833333,716.460,583.623,40.479,5.806762,5.928452
57,1.866667,721.771,532.500,41.269,5.010675,5.973300
58,1.900000,726.556,480.972,40.327,6.216453,5.885127
59,1.933333,726.960,481.405,40.116,6.226752,6.023747
60,1.966667,730.452,438.284,40.442,6.162998,6.123530
61,2.000000,732.235,400.765,41.441,6.193891,6.337594
62,2.033333,734.710,369.740,40.316,6.548700,6.364119
63,2.066667,736.074,343.810,40.055,6.505243,6.324986
64,2.100000,736.074,343.810,40.055,6.509120,6.321988
65,2.133333,739.344,322.781,40.541,6.402125,6.316236
66,2.166667,741.565,305.000,40.449,5.952824,6.305417
67,2.200000,742.400,295.001,40.717,6.142012,6.287615
68,2.233333,741.873,294.894,41.214,6.153632,6.280913
69,2.266667,742.967,291.222,40.804,6.472961,6.277381
70,2.300000,743.586,290.133,40.854,6.380634,6.341159
71,2.333333,743.302,294.574,40.664,6.462204,6.376399
72,2.366667,745.234,303.719,40.376,6.377405,6.405460
