frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
1,0.000000,654.000,837.500,654.000,837.500,654.000,837.500,cotracker_box_center,center,654.000,868.000,868.000,30.500,30.500,cotracker_bottom,,,stage2_contact_policy,4.966547,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.925767,4.966547,4.966547,4.966547,1.000000,0.000000,,,36.661
2,0.033333,654.170,837.902,654.170,837.902,654.170,837.902,cotracker_box_center,center,654.170,868.345,868.345,30.443,30.443,cotracker_bottom,,,stage2_contact_policy,4.976423,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.959425,4.976423,4.976423,4.976423,1.000000,0.000000,,,36.729
3,0.066667,654.102,837.968,654.102,837.968,654.102,837.968,cotracker_box_center,center,654.102,868.417,868.417,30.449,30.449,cotracker_bottom,,,stage2_contact_policy,4.984922,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.975782,4.984922,4.984922,4.984922,1.000000,0.000000,,,36.730
4,0.100000,653.801,837.846,653.801,837.846,653.801,837.846,cotracker_box_center,center,653.801,868.212,868.212,30.366,30.366,cotracker_bottom,,,stage2_contact_policy,4.987967,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.005215,4.987967,4.987967,4.987967,1.000000,0.000000,,,36.747
5,0.133333,653.770,837.825,653.770,837.825,653.770,837.825,cotracker_box_center,center,653.770,868.167,868.167,30.342,30.342,cotracker_bottom,,,stage2_contact_policy,4.999435,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.015926,4.999435,4.999435,4.999435,1.000000,0.000000,,,36.747
6,0.166667,653.819,837.781,653.819,837.781,653.819,837.781,cotracker_box_center,center,653.819,868.102,868.102,30.321,30.321,cotracker_bottom,,,stage2_contact_policy,5.012242,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.027416,5.012242,5.012242,5.012242,1.000000,0.000000,,,36.810
7,0.200000,653.867,837.769,653.867,837.769,653.867,837.769,cotracker_box_center,center,653.867,868.096,868.096,30.327,30.327,cotracker_bottom,,,stage2_contact_policy,5.019576,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.006238,5.019576,5.019576,5.019576,1.000000,0.000000,,,36.809
8,0.233333,653.930,837.727,653.930,837.727,653.930,837.727,cotracker_box_center,center,653.930,868.061,868.061,30.334,30.334,cotracker_bottom,,,stage2_contact_policy,5.022021,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.006045,5.022021,5.022021,5.022021,1.000000,0.000000,,,36.809
9,0.266667,653.986,837.652,653.986,837.652,653.986,837.652,cotracker_box_center,center,653.986,868.004,868.004,30.352,30.352,cotracker_bottom,,,stage2_contact_policy,5.020452,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.049069,5.020452,5.020452,5.020452,1.000000,0.000000,,,36.746
10,0.300000,654.038,837.609,654.038,837.609,654.038,837.609,cotracker_box_center,center,654.038,867.946,867.946,30.337,30.337,cotracker_bottom,,,stage2_contact_policy,5.024789,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.027119,5.024789,5.024789,5.024789,1.000000,0.000000,,,36.868
11,0.333333,653.972,837.612,653.972,837.612,653.972,837.612,cotracker_box_center,center,653.972,867.944,867.944,30.332,30.332,cotracker_bottom,,,stage2_contact_policy,5.032081,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.022335,5.032081,5.032081,5.032081,1.000000,0.000000,,,36.922
12,0.366667,653.976,837.712,653.976,837.712,653.976,837.712,cotracker_box_center,center,653.976,868.042,868.042,30.330,30.330,cotracker_bottom,,,stage2_contact_policy,5.039093,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.004944,5.039093,5.039093,5.039093,1.000000,0.000000,,,36.960
13,0.400000,654.015,837.824,654.015,837.824,654.015,837.824,cotracker_box_center,center,654.015,868.194,868.194,30.370,30.370,cotracker_bottom,,,stage2_contact_policy,5.036044,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,5.057774,5.036044,5.036044,5.036044,1.000000,0.000000,,,36.692
