case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,used_for_anchor_update,used_for_contact_residual,used_for_report
football,stage4,2,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,2,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,46,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,46,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,242,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,242,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,1,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,1,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,122,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
football,stage4,122,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,1
