frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
1,0.000000,-0.863534,0.842242,6.206677,-1.138863,0.940203,6.654950,53.5,0,left_foot,left_foot_toe,5769
2,0.041667,-0.862515,0.843847,6.208353,-1.146601,0.942429,6.648883,53.3,0,left_foot,left_foot_toe,5769
3,0.083333,-0.862745,0.844405,6.210029,-1.149777,0.941019,6.641619,52.7,0,left_foot,left_foot_toe,5769
4,0.125000,-0.863568,0.844210,6.211704,-1.145661,0.937930,6.635822,51.8,0,left_foot,left_foot_toe,5769
5,0.166667,-0.863840,0.844590,6.213380,-1.142151,0.932064,6.629052,50.8,0,left_foot,left_foot_toe,5769
6,0.208333,-0.863918,0.844677,6.215055,-1.135185,0.924628,6.619779,49.4,0,left_foot,left_foot_toe,5769
7,0.250000,-0.864046,0.844978,6.216731,-1.123933,0.919869,6.612582,47.9,0,left_foot,left_foot_toe,5769
8,0.291667,-0.864197,0.845123,6.218405,-1.117659,0.917307,6.609977,47.2,0,left_foot,left_foot_toe,5769
9,0.333333,-0.864455,0.845275,6.220079,-1.106918,0.915381,6.609658,46.4,0,left_foot,left_foot_toe,5769
10,0.375000,-0.864741,0.845386,6.221751,-1.096862,0.913796,6.607155,45.5,0,left_foot,left_foot_toe,5769
11,0.416667,-0.865157,0.845768,6.223421,-1.090762,0.912988,6.607141,45.0,0,left_foot,left_foot_toe,5769
12,0.458333,-0.865663,0.846094,6.225089,-1.086431,0.923709,6.600451,44.2,0,left_foot,left_foot_toe,5772
13,0.500000,-0.865728,0.846439,6.226754,-1.083980,0.923882,6.596883,43.7,0,left_foot,left_foot_toe,5772
14,0.541667,-0.865942,0.846631,6.228415,-1.088666,0.923499,6.605751,44.5,0,left_foot,left_foot_toe,5772
15,0.583333,-0.866054,0.846885,6.230074,-1.087689,0.921764,6.611681,44.8,0,left_foot,left_foot_toe,5772
16,0.625000,-0.866131,0.847118,6.231731,-1.085766,0.918032,6.619678,45.1,0,left_foot,left_foot_toe,5772
17,0.666667,-0.866135,0.847462,6.233387,-1.084175,0.914012,6.627594,45.5,0,left_foot,left_foot_toe,5772
18,0.708333,-0.866088,0.847821,6.235046,-1.082206,0.909437,6.626234,45.1,0,left_foot,left_foot_toe,5772
19,0.750000,-0.866410,0.848240,6.236713,-1.086052,0.909052,6.633154,45.7,0,left_foot,left_foot_toe,5772
20,0.791667,-0.866236,0.848520,6.238394,-1.083708,0.909749,6.636779,45.8,0,left_foot,left_foot_toe,5772
21,0.833333,-0.866541,0.848400,6.240098,-1.084406,0.909975,6.645149,46.4,0,left_foot,left_foot_toe,5772
22,0.875000,-0.867048,0.848390,6.241837,-1.087034,0.909840,6.650423,46.8,0,left_foot,left_foot_toe,5772
23,0.916667,-0.867251,0.848916,6.243622,-1.088827,0.910850,6.649171,46.6,0,left_foot,left_foot_toe,5772
24,0.958333,-0.867632,0.848849,6.245466,-1.088606,0.910050,6.643084,45.9,0,left_foot,left_foot_toe,5772
25,1.000000,-0.867943,0.849172,6.247380,-1.088941,0.909048,6.642447,45.7,0,left_foot,left_foot_toe,5772
