frame,time,refined_time,source,evidence,event_type,interaction_mode,contact_quality,impact,relevant,target_entity,contact_target,contact_constraint,object_local_x,object_local_y,object_local_z,semantic_contact_part,vlm_hand_part,vlm_handle_contact,vlm_rim_contact,vlm_constraint,vlm_object_conf,contact_state,interval_id,stable_entity,manip_gamma,manip_weight,promote_anchor,allow_slide,audio_support,confidence
3,0.08,0.03,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.045,0.8
53,1.744,1.735,audio,audio,strike,impulsive,hard,medium,1,left_foot,part,point,,,,,,,,,,direct_contact,0,left_foot,1.0,1.0,1,0,1.0,0.8
57,1.8667,1.7384,visual,visual,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,1,left_hand,1.0,0.5,0,0,1.0,0.8
68,2.224,2.135,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.047,0.8
89,2.924,2.92,audio,audio,strike,impulsive,hard,medium,1,left_foot,part,point,,,,,,,,,,direct_contact,2,left_foot,1.0,1.0,1,0,1.0,0.8
96,3.168,3.1284,audio+visual,audio+visual,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,3,left_hand,1.0,0.5,0,0,0.056,0.8
105,3.456,3.4434,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.396,0.8
112,3.696,3.6567,audio+visual,audio+visual,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,4,left_hand,1.0,0.5,0,0,0.076,0.8
119,3.936,3.9,audio,audio,strike,impulsive,hard,medium,0,left_hand,part,point,,,,,,,,,,no_contact,-1,none,1.0,1.0,1,0,0.059,0.8
124,4.088,4.0767,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.522,0.8
132,4.352,4.3184,audio+visual,audio+visual,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,5,left_hand,1.0,0.5,0,0,0.071,0.8
146,4.84,4.83,audio,audio,strike,impulsive,hard,medium,1,left_foot,part,point,,,,,,,,,,direct_contact,6,left_foot,1.0,1.0,1,0,0.48,0.8
156,5.168,5.2284,audio+visual,audio+visual,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,7,left_hand,1.0,0.5,0,0,0.052,0.8
166,5.504,5.4917,audio,audio,strike,impulsive,hard,medium,1,left_foot,part,point,,,,,,,,,,direct_contact,8,left_foot,1.0,1.0,1,0,0.421,0.8
177,5.872,5.8534,audio+visual,audio+visual,strike,impulsive,hard,medium,1,right_foot,part,point,,,,,,,,,,direct_contact,9,right_foot,1.0,1.0,1,0,0.424,0.8
189,6.256,6.3834,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.079,0.8
200,6.6333,6.61,visual,visual,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,10,left_hand,1.0,0.5,0,0,0.06,0.8
205,6.784,6.7767,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.864,0.8
217,7.184,7.1417,audio,audio,strike,impulsive,hard,medium,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.113,0.8
