frame,time,source,detector,audio_score,audio_event_type,audio_conf,fused_event_type,interaction_mode,contact_quality,contact_constraint,allow_slide,fused_conf,contact_target,target_entity,manip_gamma,manip_weight,promote_anchor,obj_u,obj_v,obj_speed,obj_accel,vel_reversal,nearest_part,part_dist_px,part_speed,flow_mag,proximity_min,flow_spike,visual_cue,attack,decay_ms,centroid,bandwidth,flatness,hf_ratio,zcr,rms,hpr,mfcc1,mfcc2,mfcc3,mfcc4
3,0.08000,audio,combined,0.10087,tap,0.50000,tap,impulsive,soft,point,0,0.30000,part,left_hand,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,left_hand,nan,15.84256,0.36867,0,0,none,0.33867,11.00000,1974.79654,1901.81438,0.50781,0.39859,0.15144,0.00811,0.54116,80.16486,-1.35126,31.29016,5.60076
43,1.74400,audio,combined,1.00000,strike,0.85000,strike,impulsive,hard,point,0,0.51000,part,left_hand,1.00000,1.00000,1,0.00000,0.00000,0.00000,0.00000,0,left_hand,nan,16.95856,0.92616,0,0,none,0.99011,14.00000,1365.69556,1877.41807,0.34572,0.27690,0.04506,0.48000,0.72910,112.95129,23.19443,44.65665,-9.94581
54,2.22400,audio,combined,0.01925,tap,0.50000,tap,impulsive,soft,point,0,0.30000,part,right_foot,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,right_foot,nan,36.88519,1.38244,0,0,none,0.73523,6.00000,1741.27190,1718.07311,0.45151,0.33079,0.12891,0.00932,0.70191,90.87822,-4.53491,20.64910,-11.74484
71,2.92400,audio,combined,0.79082,strike,0.85000,strike,impulsive,hard,point,0,0.51000,part,left_hand,1.00000,1.00000,1,0.00000,0.00000,0.00000,0.00000,0,left_hand,nan,8.53380,0.85194,0,0,none,0.98067,10.00000,1300.40337,1709.21071,0.35238,0.26026,0.05632,0.28712,0.92209,114.78049,14.04297,45.67530,1.76843
77,3.16800,audio,combined,0.05209,tap,0.50000,tap,impulsive,soft,point,0,0.30000,part,left_hand,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,left_hand,nan,10.55604,0.99626,0,0,none,0.10311,25.00000,1699.41515,1757.27456,0.42045,0.34463,0.13392,0.01117,0.72517,75.86539,-14.24491,33.93951,12.93761
84,3.45600,audio,combined,0.65631,strike,0.85000,strike,impulsive,hard,point,0,0.91000,part,left_foot,1.00000,1.00000,1,0.00000,0.00000,0.00000,0.00000,0,left_foot,nan,24.09167,1.30741,0,1,flow_spike,0.92877,18.00000,1619.34032,1782.04705,0.40293,0.30134,0.06508,0.07794,0.76809,117.28525,14.33207,58.28643,6.91771
90,3.69600,audio,combined,0.07732,tap,0.50000,tap,impulsive,soft,point,0,0.30000,part,left_foot,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,left_foot,nan,18.80237,0.94186,0,0,none,0.32613,27.00000,1618.82018,1682.35558,0.40346,0.32397,0.10263,0.01507,0.56948,101.87218,-5.35986,35.91858,-8.06842
95,3.93600,audio,combined,0.00000,strike,0.85000,strike,impulsive,hard,point,0,0.51000,part,left_hand,1.00000,1.00000,1,0.00000,0.00000,0.00000,0.00000,0,left_hand,nan,21.57919,1.51073,0,0,none,0.91303,11.00000,1717.24660,1761.55581,0.44125,0.35096,0.12015,0.09158,0.59430,94.31529,-6.17367,35.76493,-8.30775
99,4.08800,audio,combined,0.61738,strike,0.85000,strike,impulsive,hard,point,0,0.51000,part,right_foot,1.00000,1.00000,1,0.00000,0.00000,0.00000,0.00000,0,right_foot,nan,23.06861,1.46866,0,0,none,0.91303,11.00000,1960.53355,1797.79246,0.48581,0.42078,0.08636,0.09158,0.78430,114.01099,2.97045,40.01936,7.25043
105,4.35200,audio,combined,0.06044,tap,0.50000,tap,impulsive,soft,point,0,0.30000,part,left_hand,1.00000,0.50000,0,0.00000,0.00000,0.00000,0.00000,0,left_hand,nan,5.35968,0.77121,0,0,none,0.55232,24.00000,1550.07396,1734.10808,0.39571,0.29728,0.08886,0.01283,0.56543,99.22639,-11.15015,18.41849,-13.81627
117,4.84000,audio,combined,0.50209,strike,0.85000,strike,impulsive,hard,point,0,0.51000,part,right_hand,1.00000,1.00000,1,0.00000,0.00000,0.00000,0.00000,0,right_hand,nan,1.15225,0.15887,0,0,none,0.94843,11.00000,1552.06746,1888.55485,0.42134,0.30385,0.05382,0.09139,0.89032,121.85055,17.74631,46.47573,3.84241
